,,,
Pokemon ID,Game,Language,Description
75,1,9,Rolls down slopes to move. It rolls over any obstaclewithout slowing or changing its direction.
76,1,9,Its boulder-like body is extremely hard. It caneasily withstand dynamite blasts without damage.
77,1,9,Its hooves are 10 times harder than diamonds. It cantrample anything completely flat in little time.
78,1,9,"Very competitive, this POKéMON will chase anythingthat moves fast in the hopes of racing it."
79,1,9,Incredibly slow and dopey. It takes 5 secondsfor it to feel pain when under attack.
80,1,9,The SHELLDER that is latched onto SLOWPOKE's tailis said to feed on the host's left over scraps.
81,1,9,Uses anti-gravity to stay suspended. Appears withoutwarning and uses THUNDER WAVE and similar moves.
82,1,9,Formed by several MAGNEMITEs linked together. Theyfrequently appear when sunspots flare up.
83,1,9,The sprig of green onions it holds is itsweapon. It is used much like a metal sword.
84,1,9,A bird that makes up for its poor flying with itsfast foot speed. Leaves giant footprints.
85,1,9,"Uses its three brains to execute complex plans.While two heads sleep, one head stays awake."
86,1,9,The protruding horn on its head is very hard.It is used for bashing through thick ice.
87,1,9,Stores thermal energy in its body. Swims at asteady 8 knots even in intensely cold waters.
88,1,9,Appears in filthy areas. Thrives by sucking uppolluted sludge that is pumped out of factories.
89,1,9,"Thickly covered with a filthy, vile sludge. Itis so toxic, even its footprints contain poison."
90,1,9,Its hard shell repels any kind of attack.It is vulnerable only when its shell is open.
91,1,9,"When attacked, it launches its horns in quickvolleys. Its innards have never been seen."
92,1,9,"Almost invisible, this gaseous POKéMON cloaksthe target and puts it to sleep without notice."
93,1,9,"Because of its ability to slip through blockwalls, it is said to be from an­ other dimension."
94,1,9,"Under a full moon, this POKéMON likes to mimicthe shadows of people and laugh at their fright."
95,1,9,"As it grows, the stone portions of its body hardento become similar to a diamond, but colored black."
96,1,9,Puts enemies to sleep then eats their dreams.Occasionally gets sick from eating bad dreams.
97,1,9,"When it locks eyes with an enemy, it will use a mix ofPSI moves such as HYPNOSIS and CONFUSION."
98,1,9,"Its pincers are not only powerful weapons, they areused for balance when walking sideways."
99,1,9,"The large pincer has 10000 hp of crushing power.However, its huge size makes it unwieldy to use."
100,1,9,"Usually found in power plants. Easily mistakenfor a POKé BALL, they have zapped many people."
101,1,9,It stores electric energy under very high pressure.It often explodes with little or no provocation.
102,1,9,"Often mistaken for eggs. When disturbed,they quickly gather and attack in swarms."
103,1,9,"Legend has it that on rare occasions, one of its headswill drop off and continue on as an EXEGGCUTE."
104,1,9,"Because it never removes its skull helmet, no onehas ever seen this POKéMON's real face."
105,1,9,The bone it holds is its key weapon. It throws thebone skillfully like a boomerang to KO targets.
106,1,9,"When in a hurry, its legs lengthen progressively.It runs smoothly with extra long, loping strides."
107,1,9,"While apparently doing nothing, it fires punches inlightning fast volleys that are impossible to see."
108,1,9,Its tongue can be extended like a chameleon's. Itleaves a tingling sensation when it licks enemies.
109,1,9,"Because it stores several kinds of toxic gases inits body, it is prone to exploding without warning."
110,1,9,"Where two kinds of poison gases meet, 2 KOFFINGscan fuse into a WEEZING over many years."
111,1,9,Its massive bones are 1000 times harder than humanbones. It can easily knock a trailer flying.
112,1,9,"Protected by an armor-like hide, it is capable ofliving in molten lava of 3,600 degrees."
113,1,9,A rare and elusive POKéMON that is said to bringhappiness to those who manage to get it.
114,1,9,The whole body is swathed with wide vines that aresimilar to sea­ weed. Its vines shake as it walks.
115,1,9,The infant rarely ventures out of its mother'sprotective pouch until it is 3 years old.
116,1,9,Known to shoot down flying bugs with precisionblasts of ink from the surface of the water.
117,1,9,Capable of swim­ ming backwards by rapidly flappingits wing-like pectoral fins and stout tail.
118,1,9,"Its tail fin billows like an elegant ballroomdress, giving it the nickname of the Water Queen."
119,1,9,"In the autumn spawning season, they can be seenswimming power­ fully up rivers and creeks."
120,1,9,An enigmatic POKéMON that can effortlesslyregenerate any appendage it loses in battle.
121,1,9,Its central core glows with the seven colors ofthe rainbow. Some people value the core as a gem.
122,1,9,"If interrupted while it is miming, it willslap around the offender with its broad hands."
123,1,9,"With ninja-like agility and speed, it can create theillusion that there is more than one."
124,1,9,It seductively wiggles its hips as it walks. Itcan cause people to dance in unison with it.
125,1,9,"Normally found near power plants, they can wanderaway and cause major blackouts in cities."
126,1,9,Its body always burns with an orange glow thatenables it to hide perfectly among flames.
127,1,9,"If it fails to crush the victim in its pincers,it will swing it around and toss it hard."
128,1,9,"When it targets an enemy, it charges furiouslywhile whipping its body with its long tails."
129,1,9,"In the distant past, it was somewhat strongerthan the horribly weak descendants that exist today."
130,1,9,"Rarely seen in the wild. Huge and vicious, itis capable of destroying entire cities in a rage."
131,1,9,A POKéMON that has been over­ hunted almost toextinction. It can ferry people across the water.
132,1,9,Capable of copying an enemy's genetic code to instantlytransform itself into a duplicate of the enemy.
133,1,9,Its genetic code is irregular. It may mutate ifit is exposed to radiation from element STONEs.
134,1,9,Lives close to water. Its long tail is ridgedwith a fin which is often mistaken for a mermaid's.
135,1,9,It accumulates negative ions in the atmosphere toblast out 10000- volt lightning bolts.
136,1,9,"When storing thermal energy in its body, itstemperature could soar to over 1600 degrees."
137,1,9,A POKéMON that consists entirely of programmingcode. Capable of moving freely in cyberspace.
138,1,9,"Although long extinct, in rare cases, it can begenetically resurrected from fossils."
139,1,9,A prehistoric POKéMON that died out when itsheavy shell made it impossible to catch prey.
140,1,9,A POKéMON that was resurrected from a fossilfound in what was once the ocean floor eons ago.
141,1,9,Its sleek shape is perfect for swim­ ming. It slashesprey with its claws and drains the body fluids.
142,1,9,"A ferocious, pre­ historic POKéMON that goes for theenemy's throat with its serrated saw-like fangs."
143,1,9,"Very lazy. Just eats and sleeps. As its rotundbulk builds, it becomes steadily more slothful."
144,1,9,A legendary bird POKéMON that is said to appear todoomed people who are lost in icy mountains.
145,1,9,A legendary bird POKéMON that is said to appearfrom clouds while dropping enormous lightning bolts.
146,1,9,Known as the legendary bird of fire. Every flapof its wings creates a dazzling flash of flames.
147,1,9,Long considered a mythical POKéMON until recentlywhen a small colony was found living underwater.
148,1,9,A mystical POKéMON that exudes a gentle aura.Has the ability to change climate conditions.
149,1,9,An extremely rarely seen marine POKéMON.Its intelligence is said to match that of humans.
150,1,9,It was created by a scientist after years of horrificgene splicing and DNA engineering experiments.
151,1,9,So rare that it is still said to be a mirage bymany experts. Only a few people have seen it worldwide.
1,2,9,A strange seed was planted on its back at birth.The plant sprouts and grows with this POKéMON.
2,2,9,"When the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs."
3,2,9,The plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.
4,2,9,"Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail."
5,2,9,"When it swings its burning tail, it elevates thetemperature to unbearably high levels."
6,2,9,Spits fire that is hot enough to melt boulders.Known to cause forest fires unintentionally.
7,2,9,"After birth, its back swells and hardens into ashell. Powerfully sprays foam from its mouth."
8,2,9,"Often hides in water to stalk unwary prey. Forswimming fast, it moves its ears to maintain balance."
9,2,9,A brutal POKéMON with pressurized water jets on itsshell. They are used for high speed tackles.
10,2,9,Its short feet are tipped with suction pads thatenable it to tirelessly climb slopes and walls.
11,2,9,"This POKéMON is vulnerable to attack while itsshell is soft, exposing its weak and tender body."
12,2,9,"In battle, it flaps its wings at high speed torelease highly toxic dust into the air."
13,2,9,"Often found in forests, eating leaves.It has a sharp venomous stinger on its head."
14,2,9,"Almost incapable of moving, this POKéMON can onlyharden its shell to protect itself from predators."
15,2,9,Flies at high speed and attacks using its largevenomous stingers on its forelegs and tail.
16,2,9,A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.
17,2,9,"Very protective of its sprawling territorial area,this POKéMON will fiercely peck at any intruder."
18,2,9,"When hunting, it skims the surface of water at highspeed to pick off unwary prey such as MAGIKARP."
19,2,9,"Bites anything when it attacks. Small and veryquick, it is a common sight in many places."
20,2,9,It uses its whis­ kers to maintain its balance.It apparently slows down if they are cut off.
21,2,9,Eats bugs in grassy areas. It has to flap itsshort wings at high speed to stay airborne.
22,2,9,"With its huge and magnificent wings, it can keep aloftwithout ever having to land for rest."
23,2,9,"Moves silently and stealthily. Eats the eggs ofbirds, such as PIDGEY and SPEAROW, whole."
24,2,9,It is rumored that the ferocious warning markingson its belly differ from area to area.
25,2,9,"When several of these POKéMON gather, theirelectricity could build and cause lightning storms."
26,2,9,Its long tail serves as a ground to protectitself from its own high voltage power.
27,2,9,Burrows deep underground in arid locationsfar from water. It only emerges to hunt for food.
28,2,9,Curls up into a spiny ball when threatened. Itcan roll while curled up to attack or escape.
29,2,9,"Although small, its venomous barbs render thisPOKéMON dangerous. The female has smaller horns."
30,2,9,The female's horn develops slowly. Prefers physicalattacks such as clawing and biting.
31,2,9,Its hard scales provide strong protection. Ituses its hefty bulk to execute powerful moves.
32,2,9,"Stiffens its ears to sense danger. The larger itshorns, the more powerful its secreted venom."
33,2,9,An aggressive POKéMON that is quick to attack.The horn on its head secretes a powerful venom.
34,2,9,"It uses its powerful tail in battle to smash,constrict, then break the prey's bones."
35,2,9,Its magical and cute appeal has many admirers.It is rare and found only in certain areas.
36,2,9,A timid fairy POKéMON that is rarely seen. Itwill run and hide the moment it senses people.
37,2,9,"At the time of birth, it has just one tail.The tail splits from its tip as it grows older."
38,2,9,Very smart and very vengeful. Grabbing one ofits many tails could result in a 1000-year curse.
39,2,9,"When its huge eyes light up, it sings a mysteriouslysoothing melody that lulls its enemies to sleep."
40,2,9,"The body is soft and rubbery. When angered, it willsuck in air and inflate itself to an enormous size."
41,2,9,Forms colonies in perpetually dark places. Usesultrasonic waves to identify and approach targets.
42,2,9,"Once it strikes, it will not stop draining energyfrom the victim even if it gets too heavy to fly."
43,2,9,"During the day, it keeps its face buried in theground. At night, it wanders around sowing its seeds."
44,2,9,The fluid that oozes from its mouth isn't drool.It is a nectar that is used to attract prey.
45,2,9,"The larger its petals, the more toxic pollen itcontains. Its big head is heavy and hard to hold up."
46,2,9,Burrows to suck tree roots. The mushrooms on itsback grow by draw­ ing nutrients from the bug host.
47,2,9,A host-parasite pair in which the parasite mushroomhas taken over the host bug. Prefers damp places.
48,2,9,Lives in the shadows of tall trees where iteats insects. It is attracted by light at night.
49,2,9,The dust-like scales covering its wings arecolor coded to indicate the kinds of poison it has.
50,2,9,Lives about one yard underground where it feeds onplant roots. It sometimes appears above ground.
51,2,9,A team of DIGLETT triplets. It triggers hugeearthquakes by burrowing 60 miles underground.
52,2,9,Adores circular objects. Wanders the streets on anightly basis to look for dropped loose change.
53,2,9,"Although its fur has many admirers, it is tough toraise as a pet because of its fickle meanness."
54,2,9,"While lulling its enemies with its vacant look, thiswily POKéMON will use psychokinetic powers."
55,2,9,"Often seen swim­ ming elegantly by lake shores. Itis often mistaken for the Japanese monster, Kappa."
56,2,9,Extremely quick to anger. It could be docile onemoment then thrashing away the next instant.
57,2,9,Always furious and tenacious to boot. It will notabandon chasing its quarry until it is caught.
58,2,9,Very protective of its territory. It will bark andbite to repel intruders from its space.
59,2,9,A POKéMON that has been admired since the pastfor its beauty. It runs agilely as if on wings.
60,2,9,Its newly grown legs prevent it from running. Itappears to prefer swimming than trying to stand.
61,2,9,"Capable of living in or out of water. When outof water, it sweats to keep its body slimy."
62,2,9,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
63,2,9,"Using its ability to read minds, it will identifyimpending danger and TELEPORT to safety."
64,2,9,It emits special alpha waves from its body thatinduce headaches just by being close by.
65,2,9,"Its brain can out­ perform a super­ computer.Its intelligence quotient is said to be 5,000."
66,2,9,Loves to build its muscles. It trains in allstyles of martial arts to become even stronger.
67,2,9,"Its muscular body is so powerful, it must wear a powersave belt to be able to regulate its motions."
68,2,9,"Using its heavy muscles, it throws powerful punchesthat can send the victim clear over the horizon."
69,2,9,A carnivorous POKéMON that traps and eats bugs.It uses its root feet to soak up needed moisture.
70,2,9,It spits out POISONPOWDER to immobilize theenemy and then finishes it with a spray of ACID.
71,2,9,"Said to live in huge colonies deep in jungles,although no one has ever returned from there."
72,2,9,Drifts in shallow seas. Anglers who hook them byaccident are often punished by its stinging acid.
73,2,9,"The tentacles are normally kept short. On hunts,they are extended to ensnare and immobilize prey."
74,2,9,"Found in fields and mountains. Mistaking themfor boulders, people often step or trip on them."
75,2,9,Rolls down slopes to move. It rolls over any obstaclewithout slowing or changing its direction.
76,2,9,Its boulder-like body is extremely hard. It caneasily withstand dynamite blasts without damage.
77,2,9,Its hooves are 10 times harder than diamonds. It cantrample anything completely flat in little time.
78,2,9,"Very competitive, this POKéMON will chase anythingthat moves fast in the hopes of racing it."
79,2,9,Incredibly slow and dopey. It takes 5 secondsfor it to feel pain when under attack.
80,2,9,The SHELLDER that is latched onto SLOWPOKE's tailis said to feed on the host's left over scraps.
81,2,9,Uses anti-gravity to stay suspended. Appears withoutwarning and uses THUNDER WAVE and similar moves.
82,2,9,Formed by several MAGNEMITEs linked together. Theyfrequently appear when sunspots flare up.
83,2,9,The sprig of green onions it holds is itsweapon. It is used much like a metal sword.
84,2,9,A bird that makes up for its poor flying with itsfast foot speed. Leaves giant footprints.
85,2,9,"Uses its three brains to execute complex plans.While two heads sleep, one head stays awake."
86,2,9,The protruding horn on its head is very hard.It is used for bashing through thick ice.
87,2,9,Stores thermal energy in its body. Swims at asteady 8 knots even in intensely cold waters.
88,2,9,Appears in filthy areas. Thrives by sucking uppolluted sludge that is pumped out of factories.
89,2,9,"Thickly covered with a filthy, vile sludge. Itis so toxic, even its footprints contain poison."
90,2,9,Its hard shell repels any kind of attack.It is vulnerable only when its shell is open.
91,2,9,"When attacked, it launches its horns in quickvolleys. Its innards have never been seen."
92,2,9,"Almost invisible, this gaseous POKéMON cloaksthe target and puts it to sleep without notice."
93,2,9,"Because of its ability to slip through blockwalls, it is said to be from an­ other dimension."
94,2,9,"Under a full moon, this POKéMON likes to mimicthe shadows of people and laugh at their fright."
95,2,9,"As it grows, the stone portions of its body hardento become similar to a diamond, but colored black."
96,2,9,Puts enemies to sleep then eats their dreams.Occasionally gets sick from eating bad dreams.
97,2,9,"When it locks eyes with an enemy, it will use a mix ofPSI moves such as HYPNOSIS and CONFUSION."
98,2,9,"Its pincers are not only powerful weapons, they areused for balance when walking sideways."
99,2,9,"The large pincer has 10000 hp of crushing power.However, its huge size makes it unwieldy to use."
100,2,9,"Usually found in power plants. Easily mistakenfor a POKé BALL, they have zapped many people."
101,2,9,It stores electric energy under very high pressure.It often explodes with little or no provocation.
102,2,9,"Often mistaken for eggs. When disturbed,they quickly gather and attack in swarms."
103,2,9,"Legend has it that on rare occasions, one of its headswill drop off and continue on as an EXEGGCUTE."
104,2,9,"Because it never removes its skull helmet, no onehas ever seen this POKéMON's real face."
105,2,9,The bone it holds is its key weapon. It throws thebone skillfully like a boomerang to KO targets.
106,2,9,"When in a hurry, its legs lengthen progressively.It runs smoothly with extra long, loping strides."
107,2,9,"While apparently doing nothing, it fires punches inlightning fast volleys that are impossible to see."
108,2,9,Its tongue can be extended like a chameleon's. Itleaves a tingling sensation when it licks enemies.
109,2,9,"Because it stores several kinds of toxic gases inits body, it is prone to exploding without warning."
110,2,9,"Where two kinds of poison gases meet, 2 KOFFINGscan fuse into a WEEZING over many years."
111,2,9,Its massive bones are 1000 times harder than humanbones. It can easily knock a trailer flying.
112,2,9,"Protected by an armor-like hide, it is capable ofliving in molten lava of 3,600 degrees."
113,2,9,A rare and elusive POKéMON that is said to bringhappiness to those who manage to get it.
114,2,9,The whole body is swathed with wide vines that aresimilar to sea­ weed. Its vines shake as it walks.
115,2,9,The infant rarely ventures out of its mother'sprotective pouch until it is 3 years old.
116,2,9,Known to shoot down flying bugs with precisionblasts of ink from the surface of the water.
117,2,9,Capable of swim­ ming backwards by rapidly flappingits wing-like pectoral fins and stout tail.
118,2,9,"Its tail fin billows like an elegant ballroomdress, giving it the nickname of the Water Queen."
119,2,9,"In the autumn spawning season, they can be seenswimming power­ fully up rivers and creeks."
120,2,9,An enigmatic POKéMON that can effortlesslyregenerate any appendage it loses in battle.
121,2,9,Its central core glows with the seven colors ofthe rainbow. Some people value the core as a gem.
122,2,9,"If interrupted while it is miming, it willslap around the offender with its broad hands."
123,2,9,"With ninja-like agility and speed, it can create theillusion that there is more than one."
124,2,9,It seductively wiggles its hips as it walks. Itcan cause people to dance in unison with it.
125,2,9,"Normally found near power plants, they can wanderaway and cause major blackouts in cities."
126,2,9,Its body always burns with an orange glow thatenables it to hide perfectly among flames.
127,2,9,"If it fails to crush the victim in its pincers,it will swing it around and toss it hard."
128,2,9,"When it targets an enemy, it charges furiouslywhile whipping its body with its long tails."
129,2,9,"In the distant past, it was somewhat strongerthan the horribly weak descendants that exist today."
130,2,9,"Rarely seen in the wild. Huge and vicious, itis capable of destroying entire cities in a rage."
131,2,9,A POKéMON that has been over­ hunted almost toextinction. It can ferry people across the water.
132,2,9,Capable of copying an enemy's genetic code to instantlytransform itself into a duplicate of the enemy.
133,2,9,Its genetic code is irregular. It may mutate ifit is exposed to radiation from element STONEs.
134,2,9,Lives close to water. Its long tail is ridgedwith a fin which is often mistaken for a mermaid's.
135,2,9,It accumulates negative ions in the atmosphere toblast out 10000- volt lightning bolts.
136,2,9,"When storing thermal energy in its body, itstemperature could soar to over 1600 degrees."
137,2,9,A POKéMON that consists entirely of programmingcode. Capable of moving freely in cyberspace.
138,2,9,"Although long extinct, in rare cases, it can begenetically resurrected from fossils."
139,2,9,A prehistoric POKéMON that died out when itsheavy shell made it impossible to catch prey.
140,2,9,A POKéMON that was resurrected from a fossilfound in what was once the ocean floor eons ago.
141,2,9,Its sleek shape is perfect for swim­ ming. It slashesprey with its claws and drains the body fluids.
142,2,9,"A ferocious, pre­ historic POKéMON that goes for theenemy's throat with its serrated saw-like fangs."
143,2,9,"Very lazy. Just eats and sleeps. As its rotundbulk builds, it becomes steadily more slothful."
144,2,9,A legendary bird POKéMON that is said to appear todoomed people who are lost in icy mountains.
145,2,9,A legendary bird POKéMON that is said to appearfrom clouds while dropping enormous lightning bolts.
146,2,9,Known as the legendary bird of fire. Every flapof its wings creates a dazzling flash of flames.
147,2,9,Long considered a mythical POKéMON until recentlywhen a small colony was found living underwater.
148,2,9,A mystical POKéMON that exudes a gentle aura.Has the ability to change climate conditions.
149,2,9,An extremely rarely seen marine POKéMON.Its intelligence is said to match that of humans.
150,2,9,It was created by a scientist after years of horrificgene splicing and DNA engineering experiments.
151,2,9,So rare that it is still said to be a mirage bymany experts. Only a few people have seen it worldwide.
1,3,9,"It can go for days without eating a single morsel.In the bulb on its back, it stores energy."
2,3,9,The bulb on its back grows by drawing energy.It gives off an aroma when it is ready to bloom.
3,3,9,The flower on its back catches the sun's rays.The sunlight is then absorbed and used for energy.
4,3,9,The flame at the tip of its tail makes a sound asit burns. You can only hear it in quiet places.
5,3,9,"Tough fights could excite this POKéMON. Whenexcited, it may blow out bluish- white flames."
6,3,9,"When expelling a blast of super hot fire, the redflame at the tip of its tail burns more intensely."
7,3,9,Shoots water at prey while in the water.Withdraws into its shell when in danger.
8,3,9,"When tapped, this POKéMON will pull in its head, butits tail will still stick out a little bit."
9,3,9,"Once it takes aim at its enemy, it blasts out waterwith even more force than a fire hose."
10,3,9,"If you touch the feeler on top of its head, it willrelease a horrible stink to protect itself."
11,3,9,"Hardens its shell to protect itself. However, a largeimpact may cause it to pop out of its shell."
12,3,9,"Its wings, covered with poisonous powders, repelwater. This allows it to fly in the rain."
13,3,9,Beware of the sharp stinger on its head. Ithides in grass and bushes where it eats leaves.
14,3,9,"Able to move only slightly. When endangered, itmay stick out its stinger and poison its enemy."
15,3,9,It has 3 poisonous stingers on its forelegs and itstail. They are used to jab its enemy repeatedly.
16,3,9,"Very docile. If attacked, it will often kick upsand to protect itself rather than fight back."
17,3,9,This POKéMON is full of vitality. It constantlyflies around its large territory in search of prey.
18,3,9,"This POKéMON flies at Mach 2 speed, seeking prey.Its large talons are feared as wicked weapons."
19,3,9,"Will chew on any­ thing with its fangs. If you seeone, it is certain that 40 more live in the area."
20,3,9,"Its hind feet are webbed. They act as flippers, soit can swim in rivers and hunt for prey."
21,3,9,"Inept at flying high. However, it can fly aroundvery fast to protect its ter­ ritory."
22,3,9,"A POKéMON that dates back many years. If itsenses danger, it flies high and away, instantly."
23,3,9,"The older it gets, the longer it grows. At night,it wraps its long body around tree branches to rest."
24,3,9,The frightening patterns on its belly have beenstudied. Six variations have been confirmed.
25,3,9,"It keeps its tail raised to monitor its surroundings.If you yank its tail, it will try to bite you."
26,3,9,"When electricity builds up inside its body, itbecomes feisty. It also glows in the dark."
27,3,9,"Its body is dry. When it gets cold at night, itshide is said to become coated with a fine dew."
28,3,9,"It is skilled at slashing enemies with its claws.If broken, they start to grow back in a day."
29,3,9,"A mild-mannered POKéMON that does not like tofight. Beware, its small horns secrete venom."
30,3,9,"When resting deep in its burrow, its thorns alwaysretract. This is proof that it is relaxed."
31,3,9,Tough scales cover the sturdy body of this POKéMON.It appears that the scales grow in cycles.
32,3,9,"Its large ears are always kept upright. If itsenses danger, it will attack with a poisonous sting."
33,3,9,"Its horns contain venom. If they are stabbed intoan enemy, the impact makes the poison leak out."
34,3,9,"Its steel-like hide adds to its powerful tackle.Its horns are so hard, they can pierce a diamond."
35,3,9,"Adored for their cute looks and playfulness. Theyare thought to be rare, as they do not appear often."
36,3,9,"They appear to be very protective of their own world.It is a kind of fairy, rarely seen by people."
37,3,9,"Both its fur and its tails are beautiful. As itgrows, the tails split and form more tails."
38,3,9,"According to an enduring legend, 9 noble saintswere united and reincarnated as this POKéMON."
39,3,9,Uses its alluring eyes to enrapture its foe. It thensings a pleasing melody that lulls the foe to sleep.
40,3,9,"Its body is full of elasticity. By inhaling deeply,it can continue to inflate itself without limit."
41,3,9,Emits ultrasonic cries while it flies. They actas a sonar used to check for ob­ jects in its way.
