[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Position]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Hito]	[MBTI]	[Loves]	[Hates]	[Description]	[Characteristic]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Chimchar Monferno Infernape	Male			76148546																																				
Cobalion	Male			11317376																																				
Conkeldurr	Male			41145933																																				
Cresselia	Female			74332662																																				
Cubone Marowak (Alola)	Male			86300610																																				
Cubone Marowak	Female			52431933																																				
Cutiefly Ribombee	Female			39056760																																				
Cyndaquil Quilava Typhlosion	Female	Matilde	Quemar	60259177		WOD, Germany, Rhineland, Nürburg	Bodyguard	Hetero	Switch	Switch	184	96	88	Queasy #CC3333	Jessica Madsen/Chie Nakamura		ISTP	NGGGAAAAAAAHHH!!!	AAAAAAGHHH!!!!	Black and red instead of yellow and navy, pale white eyes, Gemini tattoo on right arm.		78	184	78	109	85	100	86	Fire/Dark	Fighting	Hardy	Iron Ball: Halves speed, heavy damage when thrown.	Eruption: (150/SA/Fire) Lower HP decreases power ~ Brightest Lariat: (50/AT/Dark) Hits 2 times, ignores stat changes ~ Heat Crash: (100/AT/Fire) Damage increased if foe is lighter ~ Fling: (?/AT/Dark) Damage and effect depends on held item	TKO: (400/AT/Dark) 1 turn charge	Flash Rainbow: If hit by (Type), boosts (Type) moves.	None	None	Powerful Dark type moves with STAB, and a horrifyingly strong finisher.	Not effective in teams, low bulk.	Crush: Dairou Tengoku ~ Roommates: Nirvana Moksha, Cefca Pagliaccio, Flaros Overfield
Cyndaquil Quilava Typhlosion	Male			35467529																																				
Darkrai	Female			26967253																																				
Darumaka Darmanitan	Male			38424255																																				
Deerling Sawsbuck	Female			41328163																																				
Deerling Sawsbuck	Male			25601295																																				
Deino Zweilous Hydreigon	Male			91112010																																				
Deoxys	Unknown			33281711																																				
Dialga	Male			13670491																																				
Ditto	Non Binary			30697571																																				
Dratini Dragonair Dragonite	Female			23897958																																				
Dratini Dragonair Dragonite	Male			78817525																																				
Drillbur Excadrill	Male			18597762																																				
Drowzee Hypno	Male			92574152																																				
Druddigon	Male			61458922																																				
Ducklett Swanna	Female			63796728																																				
Duskull Dusclops Dusknoir	Male			89844420																																				
Eevee Espeon	Female	Ai	Nonaka	27789559		WOL, Mist Continent	Magnagate Scientist	Hetero	Sub	Bottom	86	26	31							Eyes and inner ears are magenta instead of blue.		65	65	65	130	110	90	66	Psychic	Fairy	Lonely	Entercards (14): Summon long-range dungeons from ley lines using 4 cards.	Dazzling Gleam (80/SA/Psychic) Hits all foes ~ Calm Mind (Psychic) +1 SA and SD ~ Heal Bell (Normal) Heals team from status conditions ~ Noon Sun (Normal) Heals 100% HP at midday, 0% HP at midnight	Ragnarok: (300/SA/Psychic) 1 turn charge, causes Confusion.	Magic Bounce: Reflects status moves		None	Great at long range support and healing, can flee with Entercards.	Without team and items, helpless.	Husband: Kosuke Toriumi
Eevee Espeon	Male			73140339																																				
Eevee Flareon	Female			42750223																																				
Eevee Flareon	Male			36183570																																				
Eevee Glaceon	Female			64607539																																				
Eevee Glaceon	Male			57046130																																				
Eevee Jolteon	Female			65749259																																				
Eevee Jolteon	Male			57416540																																				
Eevee Leafeon	Female			51669987																																				
Eevee Leafeon	Male			12038964																																				
Eevee Sylveon	Female	Lyra	Chronos	74872117																																				
Eevee Sylveon	Male			71382850																																				
Eevee Umbreon	Female			81209830																																				
Eevee Umbreon	Male	Kosuke	Toriumi	55876207		WOL, Mist Continent	Magnagate Scientist	Bi	Dom	Top	111	29	30							Red eyes with blue pupils, yellow stripes are pale, black fur instead of navy.		65	65	65	110	130	90	70	Dark	Fairy	Bold	Entercards (19): Summon long-range dungeons from ley lines using 4 cards.	Foul Play: (95/AT/Dark) Uses foe's AT instead of user's ~ Toxic (Poison) Badly poisons foe ~ Assurance (60/AT/Dark) Double power if foe has been hurt in the same turn ~ New Moon (Normal) Heals 0% HP at midday, 100% HP at midnight	Yamidakunai: (190/AT/Dark) +1 Priority	Magin Sync: Reflects status conditions		None	Leaves foes intoxicated and hurt for the team to finish, and moves to the next.	Without team and items, helpless.	Wife: Ai Nonaka
Eevee Vaporeon	Female			80713401																																				
Eevee Vaporeon	Male			70267200																																				
Ekans Arbok	Male			97774062																																				
Emolga	Female			13306547																																				
Emolga	Male			72336600																																				
Fennekin Braixen Delphox	Female			78212224																																				
Fletchling Fletchinder Talonflame	Female			49844071																																				
Fomantis Lurantis	Female			16172888																																				
Froakie Frogadier Greninja	Male			25289480																																				
Furfrou	Female			33542125																																				
Gastly Haunter Gengar	Male			89989104																																				
Genesect	Male			37534090																																				
Gible Gabite Garchomp	Male			33695810																																				
Giratina	Male			35779100																																				
Golett Golurk	Male			16795075																																				
Goomy Sliggoo Goodra	Male			27590845																																				
Groudon	Male			99770697																																				
Gurdurr	Male			27363654																																				
Heatmor	Male			80823390																																				
Helioptile Heliolisk	Male			20869029																																				
Ho-Oh	Female			13225966																																				
Igglybuff Jigglypuff Wigglytuff	Male			81438841																																				
Jangmo-o Hakamo-o Kommo-o	Male			63665378																																				
Jirachi	Female			95478305																																				
Joltik Galvantula	Male			13722937																																				
Joltik Galvantula	Female			63046529																																				
Kartana	Unknown			84265650																																				
Keldeo	Male			52656156																																				
Kyogre	Male			11020341																																				
Kyurem	Unknown			87437405																																				
Lapras	Female			27328982																																				
Larvesta Volcarona	Female			67755572																																				
Larvitar Pupitar Tyranitar	Male			72793150																																				
Latias	Female			15067769																																				
Latios	Male	Flaros	Overfield	95287268																																				
Lillipup Herdier Stoutland	Male			11155524																																				
Litten Torracat Incineroar	Female			40573995																																				
Litwick Lampent Chandelure	Male			13132009																																				
Lugia	Male	Leroy	Estrus	22204428																																				
Lunala	Female			33139627																																				
Mareep Flaaffy Ampharos	Male			92037653																																				
Mareep Flaaffy Ampharos	Female			58051660																																				
Marshadow	Male			96433531																																				
Mawile	Female			96487310																																				
Meditite Medicham	Female			14564578																																				
Meloetta	Female			80867638																																				
Mew	Both?			14378192																																				
Mewtwo	Female			21773830																																				
Mewtwo	Male			61543177																																				
Mienfoo Mienshao	Female			37472737																																				
Mienfoo Mienshao	Male			26334516																																				
Milotic	Female			38765662																																				
Milotic	Male			25364044																																				
Minccino Cinccino	Male			69719590																																				
Minccino Cinccino	Female			28327960																																				
Minun	Male			91514131																																				
Mudkip Marshtomp Swampert	Male			21678907																																				
Munna Musharna	Female			35398788																																				
Necrozma	Unknown			18633327																																				
Nidoran Nidorina Nidoqueen	Female			35891921																																				
Nidoran Nidorino Nidoking	Male			16451106																																				
Nihilego	Unknown			11137896																																				
Noibat Noivern	Female			33871920																																				
Noibat Noivern	Male			61846344																																				
Oricorio	Female			26058914																																				
Oricorio	Male			74501165																																				
Oshawott Dewott Samurott	Male	Dairou	Tengoku	74040426	03/05/2004	WOD, Japan, Kansai, Sekigahara	Post Town Paradise Leader	Bi	Dom	Top	164	97	101							Blue eyes, more vibrant colors, vine band on each arm.		100	110	90	100	70	70	71	Water	Steel	Relaxed	Hope Scarf: Enhanced Reunion Cape that allows teleportation ~ Mystic Water: Boosts Water moves	Tempest Blade: (25/AT/Water) Hits 3 to 5 times ~ Octopus Slash (10/AT/Water) Hits 8 times, +1 Crit chance ~ Hydro Pump (110/SA/Water) ~ Retaliate (70/AT/Normal) Double power if ally fainted	Zantetsuken (400/AT/Steel) 1 turn charge, +1 Priority	Torrent: Boosts Water moves in a pinch			Training with the Tempest Blade gives him an edge in the offensive.	Not very effective without Tsutami.	Wife: Tsutami Tengoku ~ Son: Tsutarou Tengoku
Oshawott Dewott Samurott	Male			13528376																																				
Pachirisu	Female	Jeongi	Park	95312170																																				
Palkia	Male			87136214																																				
Pancham Pangoro	Male			78128671																																				
Pawniard Bisharp	Male			55891011																																				
Pawniard Bisharp	Male			25895495																																				
Petilil Lilligant	Female			25891808																																				
Pichu Pikachu Raichu (Alola)	Female			45345893																																				
Pichu Pikachu Raichu	Male			48239801																																				
Pidove Tranquill Unfeazant	Male			43840600																																				
Pikipek Trumbeak Toucannon	Female			60248689																																				
Piplup Prinplup Empoleon	Male			93103200																																				
Plusle	Female			53911830																																				
Popplio Brionne Primarina	Female	Cefca	Pagliaccio	74778800		WOD, Spain, Catalunya, Montmeló	Teacher in Music Conservatoires	Any~	Switch	Switch	179	46	87	Waltograph #3366CC	Susan Calloway/Mika Nakashima		ESFP	Dragons, Sex, Children	Only very small and trivial things.	Black beads, stars and fins, blue eyes and nose. All blue hues turn green during Regik.		90	74	74	126	116	60	69	Water/Fairy	Psychic	Jolly	Hair Beads: All Infatuated foes don't recover.	Hydro Pump (110/SA/Water) ~ Moonblast (95/SA/Fairy) 30% Chance -1 SA to foe ~ Sparkling Aria (90/SA/Water) Hits all foes, cures Burn ~ Scald (80/SA/Water) Burns foe, cures Frozen		Fluid Voice: All sound moves become Water Type	None	Regik: Refills and doubles HP stat, completely random effect every turn.	Her Regik makes her fighting style completely unpredictable...	...But can backfire pretty hard.	Non-Consensual Sex Slaves: Nirvana Moksha, Matilde Quemar, Flaros Overfield
Popplio Brionne Primarina	Male	Elton	Armada	85346059																																				
Purrloin Liepard	Female			21603781																																				
Ralts Kirlia Gallade	Male			91404468																																				
Ralts Kirlia Gardevoir	Female			44068063																																				
Rayquaza	Female			74498264																																				
Reshiram	Female	Shiro	Ryuumouto	30298868		WOL, Mist Continent		Hetero	Sub	Bottom	286	299	114					Humans, Kuro, Puzzles	Organizations, Lies, Cowards	Claws, rings, and other metallic parts are red.		100	120	100	150	120	90	76	Dragon/Fire	Fire	Quiet	Focus Sash: Resists OHKO's with 1HP left.	Fusion Flare: (100/SA/Fire) 2x power if used with Fusion Bolt ~ Blue Flare (130/SA/Fire) 20% Chance of Burn, might miss ~ Draco Meteor (130/SA/Dragon) -2 SA ~ Roost (Flying) Heals 50% HP		Turboblaze: All Moves and their effects ignore foe's ability.	Yang: Doubles nearby Zekrom's speed	None	Completely walls Steel types, unstoppable with a trainer, or Kuro.	Kyurem, doesn't handle status conditions well.	Brother: Kuro Ryuuniki
Riolu Lucario	Male	Vega	Chronos	11944075																																				
Riolu Lucario	Male			60858472																																				
Rockruff Lycanroc	Female			39870140																																				
Rockruff Lycanroc	Male			83359197																																				
Rowlet Dartrix Decidueye	Male			56327696																																				
Rufflet Braviary	Male			52755645																																				
Sableye	Male			74162161																																				
Salandit Salazzle	Female			71035848																																				
Sandile Krokorok Krookodile	Male			18637555																																				
Sandshrew Sandslash	Female	Kenkyo	Kaze	38673020																																				
Sandshrew Sandslash (Alola)	Male	Hokori	Kaze	13356248																																				
Scraggy Scrafty	Male			12125803																																				
Sentret Furret	Female			79916007																																				
Seviper	Male			50282773																																				
Sewaddle Swadloon Leavanny	Female			32247060																																				
Shinx Luxio Luxray	Female			16677907																																				
Shinx Luxio Luxray	Male			49687393																																				
Shroomish Breloom	Male			77646414																																				
Skarmory	Male			90251952																																				
Skitty Delcatty	Female			40918855																																				
Sneasel Weavile	Female			84435224																																				
Snivy Servine Serperior	Female	Nirvana	Moksha	11647112		WOD, France, Sarthe, Le Mans	Student at Académie de Nantes	Hetero	Sub	Switch	363	77	128	Adamantium Talon #006633	Hellena Taylor/Aya Hisakawa		ISFJ	Scarves. Giratinas, Dubstep	Human weapons, Bullying, Being tied into a pretzel	Black backside, stripes glow green, magenta eyes, pale green belly.		75	75	95	113	95	75	37	Grass/Dragon	Fire	Careful	Griseous Pendant: A necklace with a Griesous Orb shard as trinket, heals status conditions in 1 turn ~ Soccermom Scarf: It's a scarf.	Tera Drain: (75/SA/Grass) 75% health drain ~ Leaf Storm: (130/SA/Grass) -2 SA ~ Substitute: (Normal) Takes 1/4 HP to place a Substitute ~ Hidden Power: (70/SA/???)		Devil's Advocate: Stat changes have an opposite effect.	None	Fallout: Any foe hit by Nirvana is poisoned, and cannot heal from poison.	Fallout and Devil's Advocate turns Nirvana into an untankable, radioactive menace.	Slow and frail, weak against other sweepers.	Roommates: Matilde Quemar, Cefca Pagliaccio, Flaros Overfield
Snivy Servine Serperior	Female	Tsutami	Tengoku	19246558	10/07/2005	WOL, Mist Continent	Post Town Paradise Vice-Leader	Bi	Sub	Bottom	321	64	107							Red eyes, more vibrant colors, shell behind her neck.		75	75	100	75	95	110	70	Grass	Poison	Quirky	Hope Scarf: Enhanced Reunion Cape that allows teleportation ~ Miracle Seed: Boosts Grass moves	Hurricane Blade: (25/AT/Grass) Hits 3 to 5 times ~ Safeguard: (Normal) Prevents conditions for 5 turns ~ Leaf Tornado (70/SA/Grass) 50% -1 AC to foe  ~ Leech Seed: (Grass) Drains 1/8 HP every turn	Taiyouken (400/SA/Steel) 1 turn charge, +1 Priority	Overgrow: Boosts Grass moves in a pinch			Training with the Hurricane Blade gives her an edge in the offensive.	Not very effective without Dairou.	Husband: Dairou Tengoku ~ Son: Tsutarou Tengoku
Snivy Servine Serperior	Male			84561931																																				
Solgaleo	Male			70104609																																				
Squirtle Wartortle Blastoise	Male			16590598																																				
Starly Staravia Staraptor	Female			46517701																																				
Taillow Swellow	Male			52274829																																				
Tepig Pignite Emboar	Male			19152291																																				
Terrakion	Male			81530416																																				
Timburr	Male			63189135																																				
Togepi Togetic Togekiss	Male			66537143																																				
Torchic Combusken Blaziken	Female			81863175																																				
Totodile Croconaw Feraligatr	Male			79066780																																				
Trapinch Vibrava Flygon	Male	Doreikun	Furai	88855548																																				
Treecko Grovyle Sceptile	Male			38904369																																				
Tropius	Male			13527299																																				
Tynamo Eelektrik Eelektross	Male			60798422																																				
TypeNull Silvally	Female			13292077																																				
TypeNull Silvally	Male			48337903																																				
Turtwig Grotle Torterra	Male			29459080																																				
Venipede Whirlipede Scolipede	Male			60174185																																				
Victini	Male			52796440																																				
Victini Female				49491614																																				
Virizion	Female			12253320																																				
Vulpix Ninetales (Alola)	Female			86184529																																				
Vulpix Ninetales	Male	Seikon	Tsukitsune	15323773		WOL, Mystery Continent	Shrine Guardian	Hetero	Dom	Top	143	22	42							Red kitsune patterns on his face, tails, and hair.		91	81	81	81	120	107	93	Fire	Ice	Gentle	Carubyncle: Red gem slotted in her scythe, grants eternal youth. ~ Eevee Beads: Praying beads with each of the evolutionary stones attached: Fire, Water, Thunder, Leaf, Ice, Moon, Sun, Shiny, Dusk, and Dawn. Can evolve and devolve any Eevee or Eeveelution.	Overheat: (130/SA/Fire) -2 SA ~ Will O' Wisp (Fire) Causes Burn ~ Shadow Claw (70/AT/Ghost) +1 Crit chance ~ Hidden Power: (70/SA/???)	Miracle (Fairy) Fully revives a fainted ally.	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Taiyou: Team is immune to Curse, Grudge, and Perish Song.	None	Can take quite a beating, and get back up in an instant. Seems to defy calamity.	Not a great fighter, physically and mentally.	
Wimpod Golisopod	Male			62273362																																				
Wooper Quagsire	Male			97441247																																				
Xerneas	Female	Xenocrates	Edda	79819002																																				
Yveltal	Male	Yggdrasil	Edda	73279005																																				
Zangoose	Male			58458566																																				
Zekrom	Male	Kuro	Ryuuniki	33482560																																				
Zeraora	Male	Codd	Branford	36010777		WOD, USA, Washington, Seattle	President of Nuricom Alliance	Hetero	Dom	Switch	184	84	44			Pendulum - The Tempest		Pokemon, Science, The Universe	Violence, Conspiracies, Control	Black fur is white, yellow fur is black, no lightning stripes.		128	256	128	4	128	256	100	Electric/Fighting/Steel	Dragon	Adamant	Nurichaku: Human-engineered Nunchucks with Tesla coils on each end. x2 AT in exchange of 1 HP per successful move. ~ Magnetar: A compressed Neutron Star Piece. Immune to Trick Room, and Ground/Rock type moves. ~ Nurimitsu Goudachi: Replaces a move with any Slash move.	Alternator: (100/AT/???) Hits ? times, -1 AT. If it Crits, charges One Inch Punch instead ~ Fumetsu (Parry/???) +1 AT if hit ~ One Inch Punch (999/AT/???) 1 turn charge, cannot Crit ~ Stun Gun Kiai (300/AT/???) Causes paralysis, 1 turn recharge	The Tempest (1/SA/Electric) 1 turn charge, stops time for 10 turns. Paralyses user at the end.	Jeet Kune Do: Can switch move type between Electric, FIghting, and Steel. "Be water, my friend."	Overclocking: Team gets +1 SP if hit. If Codd is hit by Team, they transfer any Speed boost to him.	Way Of The Dragon: Only activates when a Non-Pokemon defeats Codd. Revives with Full HP, all moves cause Paralysis, AC and EV are maxed out.	The Power of Pokemon with the Knowledge of Humanity, Codd achieved spiritual and physical Enlightenment, uses his entire body and electric reserves in every single strike, and never seems to feel the slightest hint of exhaustion.	Biggest pushover in the entire galaxy.	Wife: Zhandou Sheng
Zigzagoon Linoone	Male			44511828																																				
Zorua Zoroark	Male			15049826																																				
Zorua Zoroark	Female			20508247																																				
Zygarde	Unknown	Zephyr	Edda	93030940																																				
