Short Name,Default Species,Default Gender,Heart Color,Short Backstory,Teams,Alias,Full Name,Birth Place,Birth Day,Default LV,Default Height/Length (Cm),Default Weight/Mass (Kg),Aura Color,Hidden Type,Favorite Items
Atlas,Golem,TODO,Standard,"Team Rumblerock consists of [GRAVELER], [GRAVELER], and Atlas, who leads the team. Atlas goes with Bryce and Ansa to defeat [GROUDON] in Magma Cavern, but the three end up losing the battle.",Rumblerock,TODO,Atlas Mitchell,Air Continent,TODO,TODO,TODO,TODO,Fiery Red,Grass,TODO
Auda,Venusaur,Female,Shiny,"Used to hang out with Clark and Bryce as kids before they became rivals. Now she lives peacefully in Shiny Town, not a single care in the world.",N/A,TODO,Audovera Denzel,Fire Continent,TODO,150,71 ~ 109 ~ 211 ~ 234,7 ~ 14 ~ 120 ~ 166,Brilliant Green,Ghost,TODO
Barbie,Lopunny,Female,Iridescent,"Barbara used to live as a semi-wild Buneary around Foggy Forest until she found out about Treasure Town, and the existence of Exploration Teams. She became popular in the manner of months due to her glamour, so she immediately decides to evolve and form Team Charm with Hildegarde, an amnesiac, but immensely powerful Gardevoir that just happened to pass by. Pauline joined shortly after, claiming to know Hildegarde and wanting to stay by her side. The three quickly became very protective of each other, achieving Master Rank at near record pace, amassing mountains of treasure (and fans!) and somehow defeating opponents much bigger than them, no matter if in strength or numbers. Even after becoming rivals with Team AWD, their pride was having a success rate of 100%... until Limestone Cavern changed their entire philosophy. Not only it was their first time meeting Puck, but it's where all four, along side Team AWD, discovered that the treasure hidden inside Limestone Cavern was none other than a Time Gear. This causes Barbara and Midna to form a truce and agree that there are some treasure you just can't take, ending their perfect streak. Shortly after, impressed by his ability, Barbara uses a Perfect Apple to convince Puck, usually immune to their charm, to join them for a few explorations. Years later, they return to Pukurin guild to trade Puck's Unown Key for a Perfect Apple. Here they meet Vega and Lyra, and they decide to invite Team Chronos and the Pukurin Guild to explore Aegis Cave with them. Here they find themselves barely being able to stay ahead of Vega and Lyra, as they made quick work of collecting Unown Stones and defeating the Legendary Giants. They had to be saved by them when battling [REGISTEEL], which convinces Barbara to team up with Vega and Lyra. They defeat [REGIGIGAS], and here Barbara finds out that Vega and Lyra are Aura users, which ends up unlocking Concealed Ruins. From this moment, Team Charm used Team Chronos as their benchmark, and pushed themselves to their limits, to the point all three unlocked Mega Evolution thanks to Vega's humanity.",Charm,Barbara The Beauty,Barbara Limestone,Grass Continent,TODO,185,29 ~ 135 ~ 140,4 ~ 34 ~ 25,Elegant Violet,Ground,TODO
Belle,Cinccino,Female,Standard,"Runs the Gift Shop in Post Town. She has a cheery attitude and often ends dialogue with a ""♪"". She is also oblivious to the fact that [RAMPARDOS] has a huge crush on her. Eh, it wouldn't fit anyway.",N/A,TODO,Isabelle Tomoo,Mist Continent,TODO,170,41 ~ 53,6 ~ 7,Mystic Purple,Ice,TODO
Ben,Bibarel,Male,Shiny,TODO,Pukurin,TODO,Benson Gallardo,Grass Continent,TODO,TODO,TODO,TODO,Elegant Violet,Grass,TODO
Betty,Ninetales (Delta),Female,Iridescent,"Born in Empire Town, she spent her whole infanthood stargazing. She felt immense affinity with the stars, and her heart became Iridescent. Unfortunately, her Iridescent colors were VERY unique, which caused her a lot of discrimination. This was one of the many reasons she had trouble becoming an astronomer. She took a boat and visited Silt Village, determined to get a quick job to get cash. Her unusual colors, innocence, and eagerness to do anything, caused her to be quickly kidnapped by Asti, and sold as a slave for a crime she didn't commit. When Vega and Lyra saved Betty, she became an Officer, and swiftly returned to Silt Village to gather proof, so she could jail Asti once and for all. She later became Aaron's partner, but lately hasn't had any time to relax with him, as she had to evolve to keep up with her work. She still keeps her passion in astronomy a secret.",N/A,TODO,Betelgeuse Chase,Grass Continent,TODO,220,47 ~ 104,6 ~ 20,Mystic Purple,Fire,TODO
Blake,Zigzagoon,Male,Standard,"A junior guard in Empire Town. He is fascinated with human weapons, and how they seem incredibly powerful they are against other humans, while being much weaker against Pokemon, often outclassed by Moves.",N/A,TODO,Blakely Stroll,Mist Continent,TODO,33,33 ~ 55,11 ~ 33,Vivid Pink,Bug,TODO
Bo,Mienshao,Male,Shiny,"He became an Aura User by training with a pack of Riolus at a very young age. Used to be an occasional visitor to Post Town, but after evolving he became a very powerful Adventurer. He's planning to create a new Adventure Team of his own instead of joining Tengoku, but he hasn't found a good partner yet. ",N/A,TODO,Bohai Feidan,Mist Continent,TODO,80,89 ~ 139,18 ~ 33,Mystic Purple,Psychic,TODO
Bob,Braviary,Male,Standard,"Used to be an anxious, negative, panicked mess of a Rufflet in Post Town. After the Bittercold he became a bounty hunter notorious for actively ignoring bounties placed on Pokemon who did petty crimes, and only focusing on crimes that actively hurt other Pokemon, no matter if low rank or high rank. He believes strongly in freedom for Pokemon to do what they want, but also considers hurting other Pokemon to be an attack on their freedom.",N/A,TODO,Robert Abraham,"Mist Continent, Post Town",TODO,120,47 ~ 199,10 ~ 72,Refreshing Green,Grass,TODO
Bryce,Blastoise,Male,Standard,"Bryce is the leader of Exploration Team Hydro, formerly a Rescue Team, alongside Jerry and Aston. He once joined a new team designed to rescue Team A.C.T. from Magma Cavern but fails to reach them. Even early on, Bryce appeared to prefer exploring than rescuing, and often discovered new dungeons like Western Cave and Meteor Cave. In fact, he almost reached the end of Western Cave, while teaming up with Clark of Team A.C.T. for a change of pace, but both were defeated by [MEWTWO]. Bryce is quick to anger, a feature that Clark often exploits to boost morale.",Hydro,Blue Tragedy,Brycen Delahunt,Air Continent,1964-04-09,73,48 ~ 100 ~ 195 ~ 199,10 ~ 23 ~ 87 ~ 136,Brilliant Green,Steel,TODO
Cali,Crobat,TODO,Shiny,TODO,Skull,TODO,Callisto Brandon,Grass Continent,TODO,TODO,TODO,TODO,Stunning Orange,Ice,TODO
Cammy,Meloetta ,Unknown,Standard,"Having two alter egos depending on their Forme, Cammy will appear in Paradise after defeating the Bittercold and clearing Worldcore. They are a traveler who is searching for the best music. They will then ask Dai to gather parts to build a Musical Paradise shop. After doing so; they'll want to join the team.",Tengoku,TODO,Camille Thrussell,Mist Continent,TODO,147,69,6,Fiery Red,Fairy,TODO
Candy,Butterfree,Female,Shiny,"Cole's mother. She's the first client of Eve and Adam, and asks them to save her son from a fissure that opened in Tiny Woods. Shortly after the events of the Great Meteor, her heart became Shiny as she realized everyone considered her a mother, not just Cole. She decided to adopt Cole's orphan friend Mer.",N/A,White Winged Mother,Candace Hattawa,"Air Continent, Tiny Woods",TODO,TODO,TODO,TODO,Vivid Pink,Electric,TODO
Capi,Eevee,Female,Iridescent,TODO,Star,TODO,Capella Chronos,Grass Continent,2012-11-11,250,28 ~ 79,5 ~ 18,Elegant Violet,Electric,TODO
Cef,Primarina,Female,Iridescent,TODO,Unity,TODO,Cefca Pagliaccio,Spain; Catalunya,1997-10-27,130,44 ~ 62 ~ 196,8 ~ 18 ~ 46,Vivid Pink,Psychic,TODO
Cham,Magearna,Female,Shiny,TODO,TODO,TODO,Chamomile Scheherazade,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Charl,Magnemite,Unknown,Standard,"Charl was stuck with Magne in Thunderwave Cave before getting rescued by Eve and Adam. When Ganden unlocked Friend Areas; they ask [WIGGLYTUFF] to give the Power Plant Friend Area to Eve. Magnus joins Ganden. after seeing Magnus's huge success despite not evolving, Charl joins as well. Later, they join team M.P.D., a first-of-its-kind Justice Team.","M.P.D., Ganden",Army Of Authority,Charles Rodewald,Air Continent,TODO,TODO,TODO,TODO,TODO,Psychic,TODO
Cinder,Moltres,Female,Standard,"Cinder is encountered in Mount Blaze when Adam is trying to prove Eve's innocence. They are forced to face her in battle, and after defeating her, promise her that they will try to stop the natural disasters. She screeches often and is very intimidating, even screeching when she's doing something mundane like preparing to take off.",N/A,TODO,Cendrillon,Air Continent,TODO,TODO,TODO,TODO,Stately Silver,Dragon,TODO
Claire,Vulpix,Female,Standard,TODO,TODO,TODO,Claralaine Hanley,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Clark,Charizard,Male,Standard,"Clark was Bryce's rival. To defeat him, he decided to join Alder and form Team A.C.T., the third Rescue Team in the world to achieve Gold Rank. He tends to be very hotheaded, as demonstrated by fearlessly demanding another round when Aster got up from Eve and Adam's onslaught. He got tricked by Giuda to lead the hunt when Eve and Adam became fugitives. Clark and his team was led all the way up to Mount Freeze, where he found out first hand that Eve was innocent. When [GROUDON] awakens and starts an earthquake, Clark and his team decide to make up for their mistake by taking down [GROUDON]. Even then, [GROUDON] proved to be too much, and he needed to be saved by Eve and Adam. When Ganden surpassed A.C.T. to become the greatest team in Square Town, and he saw Alder dedicating more of his time helping Ganden out, he decided to also take more of his time being an independent rescuer when not working with A.C.T.. He put his rivalry with Bryce aside and started taking missions together for a change of pace. When they got defeated by [MEWTWO], and he watched as Ganden defeated him, he convinced both Alder and Terry to research Megaevolution with him so they wouldn't fall behind the new generation.",A.C.T.,Red Comedy,Clarikus Zellweger,Air Continent,TODO,150,58 ~ 100 ~ 163 ~ 161 ~ 166,8 ~ 19 ~ 92 ~ 99 ~ 94,Clear Aqua Blue,Poison,TODO
Claus,Celebi,Female,Iridescent,"Being born in the Future Of Darkness, the World Paralysis caused her time powers to weaken more and more every day. Although she can traverse short distances on her own, for longer journeys spanning multiple generations she relies on the Passage of Time at the end of Deep Dusk Forest. Lucas found her and took care of her, which caused her heart to become Shiny very early on. She later joins Lucas and Vega's Planetary Investigation Team, and assists them in escaping to the present to retrieve the Time Gears. She later had to do it again when Lucas, Vega and Lyra were brought back to the future from Garland, but their escape is disrupted by Garland and hindered by Primal [DIALGA]’s interference. However, thanks to quick thinking, the team manages to temporarily outpace their foes and secure their way back, at the cost of Claus getting caught. [SPIRITOMB] kept her prisoner until Lucas was lured into their trap. They almost were all defeated, until at the very last second Vega and Lyra clicked the last Time Gear in place in the past, and time slowly resumed flowing. Primal [DIALGA], afraid of disappearing, went on a frenzy and fled to Vast Ice Mountain to go back to the past and defeat Vega and Lyra, but was ultimately defeated by Claus, Lucas, and Garland before he could. Lucas picked her up to watch the sunrise together while they disappeared, but they were all spared from being erased from history, presumably by [ARCEUS]. After spending a ridiculous time and effort rebuilding the world, [DIALGA] gave Claus one final gift for their heroic actions: Access to Vega and Lyra's separate timeline. Lucas and Claus became leader and partner, and both of their hearts became Iridescent Color when they married.",Planetary Investigation,"The Grass Summoner, The Seeker Of Sunrises",Claus Pine,Grass Continent,TODO,195,55,4,Elegant Violet,Normal,TODO
Codd,Zeraora,Male,Iridescent,TODO,N/A,TODO,Cordium Branford,China; Hong Kong,1940-11-27,255,184,84,Clear Aqua Blue,Dragon,TODO
Cole,Butterfree,Male,Iridescent,"Cole is the first Pokémon rescued by Eve and Adam; when he falls into a fissure in Tiny Woods. Cole wanted to join Ganden more and more every day as they helped him with many things, like rescuing his friend Mer, being protected from Team Meanies, and even received gifts from Eve herself. Cole is one of the only Pokémon to wish the player and the partner luck before they leave as fugitives, and vouch for them until their return. He also helps build their Team Base as his first training to join Ganden. His heart became Shiny when his mother Candy adopted Mer, and Iridescent when he evolved and decided to join Ganden for good shortly before Mer.",Ganden,White Winged Son,Collins Hattawa,"Air Continent, Tiny Woods",TODO,TODO,TODO,TODO,Energetic Yellow,Poison,TODO
Cone,Marowak,Male,Standard,"Conrad noticed Teams always had to waste time diving inside dangerous dungeons in order to train or gather more items. No more, he said! Conrad built Marowak Dojo, which allows Teams to tackle as many mazes as they want per day to gather experience, items, and countless of other advantages. It was less successful than expected and had to be renovated often, until Vega and Lyra fell in love with the concept and used it so much that a secret, Final Maze's entrance fell from the wall. Absolutely not intentional at all, nope.",N/A,TODO,Conrad Meyer,Grass Continent,TODO,96,35 ~ 103,5 ~ 40 ~ 32,Cool Sky Blue,Psychic,TODO
Connor,Carracosta,TODO,Shiny,TODO,N/A,TODO,Connor Kaledvoulch,Water Continent,TODO,TODO,TODO,TODO,Uplifting Pink,Flying,TODO
Conway,Chatot ,Male,Shiny,TODO,Pukurin,TODO,Conway Driscoll,Grass Continent,TODO,190,71,3,Uplifting Pink,Grass,TODO
Coop,Froakie,Male,Iridescent,"Cooper was an ancient Human who dedicated his entire life to Selene's cause, stopping violence and tension between Pokémon all over the world. He had immense adoration towards Selene, and would often team up with her. One day, a Continental War became so violent that it caused Dark Matter to manifest. This convinced Selene that if she kept defeating Dark Matter, she could destroy all the violence that keeps building up in Pokémon, and balance out the world by taking all Pokémon's pain head on against her own skin. After each attempt however, Dark Matter would reappear stronger than before. So instead she asked for help from Cooper, her most trusted human, to come up with a plan to get rid of Dark Matter once and for all. They needed people as strong as them, but without their painful memories, so Selene and Cooper settled on resetting their memory and turning into ordinary Pokémon, a Fennekin and a Froakie. But to make sure they wouldn't fail, they also went to the Tree Of Life and crafted Harmony Scarves with its fibers, so they wouldn't get turned to stone. Cooper retreated to a World Of Dark without Pokémon to mature his soul, while Selene summoned him, while also summoning herself to a date where she would be discovered in a safe location wrapped in her Harmony Scarves. This is how Selene and Cooper met again, as a Fennekin and Froakie, without memories, in Serene Village. The immense stress of the process caused their personality to change a little, but the lack of any painful memories allowed them to become incredibly powerful and have immense empathy, making friends with countless Pokémon, and eventually figuring out that all Pokémon have a good side and a bad side. This meant Dark Matter cannot be defeated because it mustn't be, but rather it must be accepted as a part of themselves. Selene later recovered her memories from [XERNEAS] and explained everything to Cooper before saying goodbye and fading away. This turned Cooper into a husk of a person. He then found out from [XATU] however, that [MEW] might be Selene. At first, when he recruited [MEW], he thought it was the wrong one, but his heart skipped beats when he saw Selene's personality traits in [MEW] slowly manifest. As it turns out, [MEW] actually caught Selene's soul into herself before she could full fade, which allowed Cooper to restore Selene with his Harmony Scarf. Now that she remembered everything, Selene wondered why Cooper would revive someone like her, who did so many mistakes in the past. Cooper told her she wanted her to start her life over, not as a Mew, but as Selene, and have the proper childhood she never had. This shocked Selene, and shattered a massive lock on her heart, which instantly brought it from Standard, to Shiny, to Iridescent, as her pure personality she locked away was suddenly allowed to spring free. No longer having to worry about being hated, Cooper became Iridescent too. Together, Cooper and Selene have been using their true personality to complete the Connection Orb and become invaluable friends with the entire world, while also finding out from each other for the first time what love feels like.",Excalibur,TODO,Cooperium Highwind Excalibur,Canada; Vancouver,2000-11-21,210,37 ~ 74 ~ 152 ~ 155,8 ~ 11 ~ 35 ~ 33,Vivid Pink,Dragon,TODO
Coren,Chimecho,TODO,Standard,"Coren prepares dinner for the Pukurin Guild and runs Chimecho Assembly; allowing Vega and Lyra to recruit other Pokémon to their team. She often teaches Vega and Lyra how to take care of Altair, and how to prepare complex meals at home.",Chronos,TODO,Cornelia Scipio,Grass Continent,TODO,TODO,TODO,TODO,Smart Marine Blue,Ground,TODO
Cross,Litten,Male,Iridescent,"Formerly just James, he is a quiet, orphan, but notorious delinquent in Solstice Academy, often getting in trouble just to spite viceprincipal Kevin. Cross seems completely immune to Kevin's terrifying lectures. He is obviously very traumatized by something, which made him obsessed with getting stronger than anyone else, but he refuses to disclose what it is. This obsession with strength and never fainting often causes him to train so hard that his legs give out, only to grit through the pain and walk to school like nothing happened. He despises weakness, to the point that at the slightest hint of himself being weak, he bursts in flames from rage. He even refuses to evolve until all his stats are maxed out, in order to reach the max quicker. When Hiroko became a human's partner and formed Team Unity, and immediately started skyrocketing in rank, he decided he was going to ""cheat"" as well by getting a partner himself and forming Team Kaizo. For some reason, Yvonne immediately offered herself, probably to keep him in check. Team Kaizo quickly became rivals with Team Unity.",Kaizo,TODO,James Crosshair Anderson,Dragon Continent,TODO,90,37 ~ 66 ~ 174,4 ~ 26 ~ 86,Clear Aqua Blue,Electric,TODO
Dai,Dewott,Male,Iridescent,TODO,Tengoku,TODO,Roudai Tengoku,Japan; Yokohama,1999-05-03,215,61 ~ 96 ~ 164,7 ~ 25 ~ 97,Deep Green,Steel,TODO
Dale,Dhelmise,Male,Standard,"A reformed former pirate who joined Solstice Village as the Shipwright, Carpenter, and Bartender of the Sailor's Cove tavern. He builds nearly indestructible ships for each student, professor, and member of the Solstice Academy, allowing them to reach it safely and defend the entire village, fending off against any threats from the Torn Seas and the Phantom Sea. Lately, he has been taking inspiration from the Solstice Academy's Humanity Library and trying to implement Hydrofoil technology and long range weapons in his boats, without compromising durability.",N/A,TODO,Herman Dallas Teach,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Dami,Skarmory,Female,Standard,"Dami kidnaps Den; thinking that he is causing a recent rash of earthquakes; and brings him to Mt. Steel. However; she is defeated by Eve and Adam, who bring Den back to safety.",N/A,Steel Menace,Damira Nerak,Air Continent,TODO,46,TODO,TODO,Fiery Red,Rock,TODO
Dan,Decidueye,Male,Standard,"If there was an equivalent of human communism in Pokemon form, Dan's probably it. Completes jobs on his own without a team, sneaks into the higher ranks, then steals from them and distributes the wealth to Pokemon who can't even get out of their bed and get food. He got arrested a few times, but always bailed out by those Pokemon in need, who actually often managed to get their life back together and save up money to rescue Dan. It rarely works. But when it does, hooo.",N/A,TODO,Daniel Hood,Dragon Continent,TODO,90,22 ~ 72 ~ 159,1 ~ 17 ~ 33,Uplifting Pink,Electric,TODO
Dar,Dugtrio,TODO,Standard,Dar is Den's father. He comes to Eve and Adam one morning and tells them that his son has been away carried by [REDACTED]. After Den's rescue; the two are usually found near Pokémon Square Pelipper Post Office. He has a tendency of exaggerating his abilities to his son; claiming that he has been to sea. He later moves to Treasure Town and joins the Pukurin Guild as the manager of the two job boards.,Pukurin,Ocean Scavenger,Darya Biddulph,Air Continent,TODO,TODO,TODO,TODO,Smart Marine Blue,Water,TODO
Del,Suicune,Female,Standard,"Deluge was the ruler of Lightning field. She gets challenged, and somehow defeated by Eve and Adam, which ask her to turn the Sunset Wing into a Rainbow Wing. She gets turned to stone by Nobu alongside Surge and Inferno, and in the Voidlands, she devises a plan with Onna to bring Cooper and Selene back to the surface, pretending to command them while sending them past the Door Of Light at the last second.",N/A,TODO,Deluge ,Air Continent,TODO,TODO,TODO,TODO,Energetic Yellow,Fighting,TODO
