ID,EVOID,Pokemon,Class,Rarity,Starter,First Type,Second Type,Egg Group 1,Egg Group 2,First Ability,Second Ability,Hidden Ability,HP,AT,DF,SA,SD,SP,TT,Weight (kg),Weight (lbs),Height (cm),Height (ft in),Shape,♂/♀ Ratio,Growth,Base Connection,Spawn Modifier,Apricorn Chance,Experience,Days To Hatch
9,8,Blastoise,Shellfish Pokémon,Uncommon,No,Water,,Monster,Water 1,Torrent,Swift Swim,Rain Dish,79,83,100,85,105,78,530,86,189,160,"5'03""",Upright,0.875,Slow,40,-60,45,265,20
9M,9,Blastoise (Mega Blastoise),Shellfish Pokémon,Uncommon,No,Water,,Monster,Water 1,Mega Launcher,Swift Swim,Rain Dish,79,103,120,135,115,78,630,101,223,160,"5'03""",Upright,0.875,Slow,40,-60,45,265,20
10,,Caterpie,Worm Pokémon,Common,No,Bug,,Bug,,Shield Dust,Grass Pelt,Run Away,45,30,35,20,20,45,195,3,6,30,"1'00""",Armor,0.5,Fast,50,70,255,40,15
11,10,Metapod,Cocoon Pokémon,Common,No,Bug,,Bug,,Shed Skin,Regenerator,Forewarn,50,20,55,25,25,30,205,10,22,71,"2'04""",Squiggle,0.5,Fast,50,12,120,72,15
12,11,Butterfree,Butterfly Pokémon,Common,No,Bug,Flying,Bug,,Compound Eyes,Swift Swim,Tinted Lens,60,45,50,90,80,70,395,32,71,109,"3'07""",Bug,0.5,Fast,40,-57,45,198,15
13,,Weedle,Hairy Bug Pokémon,Common,No,Bug,Poison,Bug,,Shield Dust,Grass Pelt,Run Away,40,35,30,20,20,50,195,3,7,30,"1'00""",Armor,0.5,Fast,70,70,255,40,15
14,13,Kakuna,Cocoon Pokémon,Common,No,Bug,Poison,Bug,,Shed Skin,Regenerator,Forewarn,45,25,50,25,25,35,205,10,22,61,"2'00""",Squiggle,0.5,Fast,70,12,120,72,15
15,14,Beedrill,Poison Bee Pokémon,Common,No,Bug,Poison,Bug,,Swarm,Long Reach,Sniper,65,90,40,45,80,75,395,29,65,99,"3'03""",Bug,0.5,Fast,60,-57,45,178,15
15M,15,Beedrill (Mega Beedrill),Poison Bee Pokémon,Common,No,Bug,Poison,Bug,,Adaptability,Long Reach,Sniper,65,150,40,15,80,145,495,41,89,140,"4'07""",Bug,0.5,Fast,60,-57,45,178,15
16,,Pidgey,Tiny Bird Pokémon,Common,No,Normal,Flying,Flying,,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,2,4,30,"1'00""",Wings,0.5,Slow,70,70,255,50,15
17,16,Pidgeotto,Bird Pokémon,Common,No,Normal,Flying,Flying,,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,30,66,109,"3'07""",Wings,0.5,Slow,70,12,120,122,15
18,17,Pidgeot,Bird Pokémon,Common,No,Normal,Flying,Flying,,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,40,87,150,"4'11""",Wings,0.5,Slow,60,-57,45,216,15
18M,18,Pidgeot (Mega Pidgeot),Bird Pokémon,Common,No,Normal,Flying,Flying,,No Guard,Tangled Feet,Big Pecks,83,80,80,135,80,121,579,50,111,221,"7'03""",Wings,0.5,Slow,60,-57,45,216,15
19,,Rattata,Mouse Pokémon,Common,No,Normal,,Field,,Run Away,Guts,Hustle,30,56,35,25,35,72,253,3,8,30,"1'00""",Quadruped,0.5,Fast,70,70,255,51,15
19A,,Rattata (Alola Form),Mouse Pokémon,Common,No,Dark,Normal,Field,,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72,253,4,8,30,"1'00""",Quadruped,0.5,Fast,70,70,255,51,15
20,19,Raticate,Mouse Pokémon,Common,No,Normal,,Field,,Run Away,Guts,Hustle,55,81,60,50,70,97,413,19,41,71,"2'04""",Quadruped,0.5,Fast,70,-11,127,145,15
20A,19A,Raticate (Alola Form),Mouse Pokémon,Common,No,Dark,Normal,Field,,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77,413,25,56,71,"2'04""",Quadruped,0.5,Fast,70,-11,127,145,15
21,,Spearow,Tiny Bird Pokémon,Common,No,Normal,Flying,Flying,,Keen Eye,Infiltrator,Sniper,40,60,30,31,31,70,262,2,4,30,"1'00""",Wings,0.5,Fast,70,70,255,52,15
22,21,Fearow,Beak Pokémon,Common,No,Normal,Flying,Flying,,Keen Eye,Infiltrator,Sniper,65,90,65,61,61,100,442,38,84,119,"3'11""",Wings,0.5,Fast,70,-15,90,155,15
23,,Ekans,Snake Pokémon,Common,No,Poison,,Field,Dragon,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,7,15,201,"6'07""",Squiggle,0.5,Fast,70,70,255,58,20
24,23,Arbok,Cobra Pokémon,Common,No,Poison,,Field,Dragon,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,65,143,351,"11'06""",Squiggle,0.5,Fast,70,-15,90,157,20
25,172,Pikachu,Mouse Pokémon,Uncommon,Pika,Electric,,Field,Fairy,Static,Cheek Pouch,Lightning Rod,35,55,40,50,50,90,320,6,13,41,"1'04""",Quadruped,0.5,Fast,50,35,190,112,10
26,25,Raichu,Mouse Pokémon,Uncommon,No,Electric,Psychic,Field,Fairy,Static,Cheek Pouch,Lightning Rod,60,90,55,90,80,110,485,30,66,79,"2'07""",Upright,0.5,Fast,40,-51,75,243,10
26A,25,Raichu (Alola Form),Mouse Pokémon,Uncommon,No,Electric,Water,Field,Fairy,Surge Surfer,Galvanize,Lightning Rod,60,85,50,95,85,110,485,21,46,71,"2'04""",Upright,0.5,Fast,40,-51,75,243,10
27,,Sandshrew,Mouse Pokémon,Uncommon,Special,Ground,,Field,,Sand Veil,Tough Claws,Sand Rush,50,75,85,20,30,40,300,12,27,61,"2'00""",Upright,0.5,Fast,50,70,255,60,20
27A,,Sandshrew (Alola Form),Mouse Pokémon,Uncommon,Special,Ice,Steel,Field,,Snow Cloak,Ice Body,Slush Rush,50,75,90,10,35,40,300,40,88,71,"2'04""",Upright,0.5,Fast,50,70,255,60,20
28,27,Sandslash,Mouse Pokémon,Uncommon,No,Ground,Steel,Field,,Sand Veil,Tough Claws,Sand Rush,75,100,110,45,55,65,450,29,65,99,"3'03""",Upright,0.5,Fast,50,-15,90,158,20
28A,27A,Sandslash (Alola Form),Mouse Pokémon,Uncommon,No,Ice,Steel,Field,,Snow Cloak,Ice Body,Slush Rush,75,100,120,25,65,65,450,55,121,119,"3'11""",Upright,0.5,Fast,50,-15,90,158,20
29,,Nidoran♀,Poison Pin Pokémon,Common,No,Poison,,Monster,Field,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,7,15,41,"1'04""",Quadruped,0,Slow,50,65,235,55,20
30,29,Nidorina,Poison Pin Pokémon,Common,No,Poison,,Undiscovered,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,20,44,79,"2'07""",Quadruped,0,Slow,50,12,120,128,20
31,30,Nidoqueen,Drill Pokémon,Common,No,Poison,Ground,Undiscovered,,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,60,132,130,"4'03""",Upright,0,Slow,40,-57,45,253,20
32,,Nidoran♂,Poison Pin Pokémon,Common,No,Poison,,Monster,Field,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,9,20,51,"1'08""",Quadruped,1,Slow,50,65,235,55,20
33,32,Nidorino,Poison Pin Pokémon,Common,No,Poison,,Monster,Field,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,20,43,89,"2'11""",Quadruped,1,Slow,50,12,120,128,20
34,33,Nidoking,Drill Pokémon,Common,No,Poison,Ground,Monster,Field,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,62,137,140,"4'07""",Upright,1,Slow,40,-57,45,253,20
35,173,Clefairy,Fairy Pokémon,Common,No,Fairy,,Fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,7,17,61,"2'00""",Upright,0.25,Very Fast,100,22,150,113,10
36,35,Clefable,Fairy Pokémon,Common,No,Fairy,,Fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,40,88,130,"4'03""",Upright,0.25,Very Fast,100,-70,25,242,10
37,,Vulpix,Fox Pokémon,Rare,Special,Fire,,Field,,Flash Fire,Flame Body,Drought,38,41,40,50,65,65,299,10,22,61,"2'00""",Quadruped,0.25,Fast,50,48,190,60,20
37A,,Vulpix (Alola Form),Fox Pokémon,Rare,Special,Ice,,Field,,Snow Cloak,Fluffy,Snow Warning,38,41,40,50,65,65,299,10,22,61,"2'00""",Quadruped,0.25,Fast,50,48,190,60,20
38,37,Ninetales,Fox Pokémon,Rare,No,Fire,,Field,,Flash Fire,Flame Body,Drought,73,76,75,81,100,100,505,20,44,109,"3'07""",Quadruped,0.25,Fast,40,-25,75,177,20
38A,37A,Ninetales (Alola Form),Fox Pokémon,Rare,No,Ice,Fairy,Field,,Snow Cloak,Fluffy,Snow Warning,73,67,75,81,100,109,505,20,44,109,"3'07""",Quadruped,0.25,Fast,40,-25,75,177,20
39,174,Jigglypuff,Balloon Pokémon,Uncommon,No,Normal,Fairy,Fairy,,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,5,12,51,"1'08""",Humanoid,0.25,Very Fast,50,25,170,95,10
40,39,Wigglytuff,Balloon Pokémon,Uncommon,No,Normal,Fairy,Fairy,,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,12,27,99,"3'03""",Humanoid,0.25,Very Fast,40,-56,50,218,10
41,,Zubat,Bat Pokémon,Common,No,Poison,Flying,Flying,,Inner Focus,Gluttony,Infiltrator,40,45,35,30,40,55,245,7,17,79,"2'07""",Wings,0.5,Fast,50,70,255,49,15
42,41,Golbat,Bat Pokémon,Common,No,Poison,Flying,Flying,,Inner Focus,Gluttony,Infiltrator,75,80,70,65,75,90,455,55,121,160,"5'03""",Wings,0.5,Fast,50,-15,90,159,15
43,,Oddish,Weed Pokémon,Common,No,Grass,Poison,Grass,,Chlorophyll,Wimp Out,Run Away,45,50,55,75,65,30,320,5,12,51,"1'08""",Legs,0.5,Slow,50,70,255,64,20
44,43,Gloom,Weed Pokémon,Common,No,Grass,Poison,Grass,,Chlorophyll,Wimp Out,Stench,60,65,70,85,75,40,395,9,19,79,"2'07""",Humanoid,0.5,Slow,50,12,120,138,20
45,44,Vileplume,Flower Pokémon,Common,No,Grass,Poison,Grass,,Chlorophyll,Wimp Out,Effect Spore,75,80,85,110,90,50,490,19,41,119,"3'11""",Humanoid,0.5,Slow,40,-57,45,245,20
46,,Paras,Mushroom Pokémon,Common,No,Bug,Grass,Bug,Grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,5,12,30,"1'00""",Armor,0.5,Fast,70,48,190,57,20
47,46,Parasect,Mushroom Pokémon,Common,No,Bug,Grass,Bug,Grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,29,65,99,"3'03""",Armor,0.5,Fast,60,-25,75,142,20
48,,Venonat,Insect Pokémon,Common,No,Bug,Poison,Bug,,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,30,66,99,"3'03""",Humanoid,0.5,Fast,70,48,190,61,20
49,48,Venomoth,Poison Moth Pokémon,Common,No,Bug,Poison,Bug,,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,13,28,150,"4'11""",Bug,0.5,Fast,60,-25,75,158,20
50,,Diglett,Mole Pokémon,Common,No,Ground,,Field,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,1,2,20,"0'08""",Blob,0.5,Fast,50,70,255,53,20
50A,,Diglett (Alola Form),Mole Pokémon,Common,No,Ground,Steel,Field,,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90,265,1,2,20,"0'08""",Blob,0.5,Fast,50,70,255,53,20
51,50,Dugtrio,Mole Pokémon,Common,No,Ground,,Field,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,33,73,71,"2'04""",Heads,0.5,Fast,40,-29,50,149,20
51A,50A,Dugtrio (Alola Form),Mole Pokémon,Common,No,Ground,Steel,Field,,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110,425,67,147,71,"2'04""",Heads,0.5,Fast,40,-29,50,149,20
52,,Meowth,Scratch Cat Pokémon,Uncommon,Special,Normal,,Field,,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,4,9,41,"1'04""",Quadruped,0.5,Fast,50,70,255,58,20
52A,,Meowth (Alola Form),Scratch Cat Pokémon,Uncommon,No,Dark,,Field,,Pickup,Technician,Rattled,40,35,35,50,40,90,290,4,9,41,"1'04""",Quadruped,0.5,Fast,50,70,255,58,20
53,52,Persian,Classy Cat Pokémon,Uncommon,No,Normal,,Field,,Limber,Technician,Unnerve,65,70,60,65,65,115,440,32,71,99,"3'03""",Quadruped,0.5,Fast,50,-15,90,154,20
53A,52A,Persian (Alola Form),Classy Cat Pokémon,Uncommon,No,Dark,,Field,,Fur Coat,Technician,Rattled,65,60,60,75,65,115,440,33,73,109,"3'07""",Quadruped,0.5,Fast,50,-15,90,154,20
54,,Psyduck,Duck Pokémon,Uncommon,Special,Water,,Water 1,Field,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,20,43,79,"2'07""",Upright,0.5,Fast,50,48,190,64,20
55,54,Golduck,Duck Pokémon,Uncommon,No,Water,,Water 1,Field,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,77,169,170,"5'07""",Upright,0.5,Fast,40,-25,75,175,20
56,,Mankey,Pig Monkey Pokémon,Common,No,Fighting,,Field,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,28,62,51,"1'08""",Upright,0.5,Fast,70,48,190,61,20
57,56,Primeape,Pig Monkey Pokémon,Common,No,Fighting,,Field,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,32,71,99,"3'03""",Upright,0.5,Fast,60,-25,75,159,20
58,,Growlithe,Puppy Pokémon,Uncommon,Special,Fire,,Field,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,19,42,71,"2'04""",Quadruped,0.75,Very Slow,50,48,190,70,20
59,58,Arcanine,Legendary Pokémon,Uncommon,No,Fire,,Field,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,155,342,191,"6'03""",Quadruped,0.75,Very Slow,40,-25,75,194,20
60,,Poliwag,Tadpole Pokémon,Common,No,Water,,Water 1,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,12,27,61,"2'00""",Legs,0.5,Slow,50,70,255,60,20
61,60,Poliwhirl,Tadpole Pokémon,Common,No,Water,,Water 1,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,20,44,99,"3'03""",Humanoid,0.5,Slow,50,12,120,135,20
62,61,Poliwrath,Tadpole Pokémon,Common,No,Water,Fighting,Water 1,,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,54,119,130,"4'03""",Humanoid,0.5,Slow,40,-57,45,255,20
63,,Abra,Psi Pokémon,Uncommon,No,Psychic,,Human-Like,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,20,43,89,"2'11""",Upright,0.75,Slow,50,50,200,62,20
64,63,Kadabra,Psi Pokémon,Uncommon,No,Psychic,,Human-Like,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,57,125,130,"4'03""",Upright,0.75,Slow,50,10,100,140,20
65,64,Alakazam,Psi Pokémon,Uncommon,No,Psychic,,Human-Like,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,48,106,150,"4'11""",Humanoid,0.75,Slow,40,-56,50,250,20
65M,65,Alakazam (Mega Alakazam),Psi Pokémon,Uncommon,No,Psychic,,Human-Like,,Trace,Inner Focus,Magic Guard,55,50,65,175,95,150,590,48,106,119,"3'11""",Humanoid,0.75,Slow,40,-56,50,250,20
66,,Machop,Superpower Pokémon,Uncommon,Special,Fighting,,Human-Like,,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,20,43,79,"2'07""",Upright,0.75,Slow,50,46,180,61,20
67,66,Machoke,Superpower Pokémon,Uncommon,No,Fighting,,Human-Like,,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,70,155,150,"4'11""",Humanoid,0.75,Slow,50,1,90,142,20
68,67,Machamp,Superpower Pokémon,Uncommon,No,Fighting,,Human-Like,,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,130,287,160,"5'03""",Humanoid,0.75,Slow,40,-57,45,253,20
69,,Bellsprout,Flower Pokémon,Common,No,Grass,Poison,Grass,,Chlorophyll,Symbiosis,Gluttony,50,75,35,70,30,40,300,4,9,71,"2'04""",Humanoid,0.5,Slow,70,70,255,60,20
70,69,Weepinbell,Flycatcher Pokémon,Common,No,Grass,Poison,Grass,,Chlorophyll,Symbiosis,Gluttony,65,90,50,85,45,55,390,6,14,99,"3'03""",Blob,0.5,Slow,70,12,120,137,20
71,70,Victreebel,Flycatcher Pokémon,Common,No,Grass,Poison,Grass,,Chlorophyll,Symbiosis,Gluttony,80,105,65,100,70,70,490,16,34,170,"5'07""",Blob,0.5,Slow,60,-57,45,221,20
72,,Tentacool,Jellyfish Pokémon,Common,No,Water,Poison,Water 3,,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,45,100,89,"2'11""",Tentacles,0.5,Very Slow,50,48,190,67,20
73,72,Tentacruel,Jellyfish Pokémon,Common,No,Water,Poison,Water 3,,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,55,121,160,"5'03""",Tentacles,0.5,Very Slow,40,-26,60,180,20
74,,Geodude,Rock Pokémon,Common,No,Rock,Ground,Mineral,,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,20,44,41,"1'04""",Arms,0.5,Slow,70,70,255,60,15
74A,,Geodude (Alola Form),Rock Pokémon,Common,No,Rock,Electric,Mineral,,Magnet Pull,Sturdy,Galvanize,40,80,100,30,30,20,300,20,45,41,"1'04""",Arms,0.5,Slow,70,70,255,60,15
75,74,Graveler,Rock Pokémon,Common,No,Rock,Ground,Mineral,,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,105,232,99,"3'03""",Humanoid,0.5,Slow,70,12,120,137,15
75A,74A,Graveler (Alola Form),Rock Pokémon,Common,No,Rock,Electric,Mineral,,Magnet Pull,Sturdy,Galvanize,55,95,115,45,45,35,390,110,243,99,"3'03""",Humanoid,0.5,Slow,70,12,120,137,15
76,75,Golem,Megaton Pokémon,Common,No,Rock,Ground,Mineral,,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,300,661,140,"4'07""",Humanoid,0.5,Slow,60,-57,45,223,15
76A,75A,Golem (Alola Form),Megaton Pokémon,Common,No,Rock,Electric,Mineral,,Magnet Pull,Sturdy,Galvanize,80,120,130,55,65,45,495,316,697,170,"5'07""",Humanoid,0.5,Slow,60,-57,45,223,15
77,,Ponyta,Fire Horse Pokémon,Common,No,Fire,,Field,,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,30,66,99,"3'03""",Quadruped,0.5,Fast,50,48,190,82,20
78,77,Rapidash,Fire Horse Pokémon,Common,No,Fire,,Field,,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,95,209,170,"5'07""",Quadruped,0.5,Fast,40,-26,60,175,20
79,,Slowpoke,Dopey Pokémon,Common,No,Water,Psychic,Monster,Water 1,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,36,79,119,"3'11""",Quadruped,0.5,Fast,50,48,190,63,20
80,79,Slowbro,Hermit Crab Pokémon,Common,No,Water,Psychic,Monster,Water 1,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,79,173,160,"5'03""",Upright,0.5,Fast,40,-25,75,172,20
80M,80,Slowbro (Mega Slowbro),Hermit Crab Pokémon,Common,No,Water,Psychic,Monster,Water 1,Shell Armor,Own Tempo,Regenerator,95,75,180,130,80,30,590,120,265,201,"6'07""",Upright,0.5,Fast,40,-25,75,172,20
81,,Magnemite,Magnet Pokémon,Common,No,Electric,Steel,Mineral,,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,6,13,30,"1'00""",Arms,,Fast,50,48,190,65,20
82,81,Magneton,Magnet Pokémon,Common,No,Electric,Steel,Mineral,,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,60,132,99,"3'03""",Heads,,Fast,40,-26,60,163,20
83,,Farfetch’d,Wild Duck Pokémon,Common,No,Normal,Flying,Flying,Field,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,15,33,79,"2'07""",Wings,0.5,Fast,50,-10,45,132,20
84,,Doduo,Twin Bird Pokémon,Common,No,Normal,Flying,Flying,,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,39,86,140,"4'07""",Legs,0.5,Fast,70,48,190,62,20
85,84,Dodrio,Triple Bird Pokémon,Common,No,Normal,Flying,Flying,,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,100,460,85,188,180,"5'11""",Legs,0.5,Fast,60,-30,45,165,20
86,,Seel,Sea Lion Pokémon,Common,No,Water,,Water 1,Field,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,90,198,109,"3'07""",Fish,0.5,Fast,70,48,190,65,20
87,86,Dewgong,Sea Lion Pokémon,Common,No,Water,Ice,Water 1,Field,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,120,265,170,"5'07""",Fish,0.5,Fast,60,-25,75,166,20
88,,Grimer,Sludge Pokémon,Common,No,Poison,,Amorphous,,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,30,66,89,"2'11""",Arms,0.5,Fast,70,48,190,65,20
88A,,Grimer (Alola Form),Sludge Pokémon,Common,No,Poison,Dark,Amorphous,,Poison Touch,Gluttony,Power of Alchemy,80,80,50,40,50,25,325,42,93,71,"2'04""",Arms,0.5,Fast,70,48,190,65,20
89,88,Muk,Sludge Pokémon,Common,No,Poison,,Amorphous,,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,30,66,119,"3'11""",Arms,0.5,Fast,60,-25,75,175,20
89A,88A,Muk (Alola Form),Sludge Pokémon,Common,No,Poison,Dark,Amorphous,,Poison Touch,Gluttony,Power of Alchemy,105,105,75,65,100,50,500,52,115,99,"3'03""",Arms,0.5,Fast,60,-25,75,175,20
90,,Shellder,Bivalve Pokémon,Common,No,Water,,Water 3,,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,4,9,30,"1'00""",Ball,0.5,Very Slow,50,48,190,61,20
91,90,Cloyster,Bivalve Pokémon,Common,No,Water,Ice,Water 3,,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,132,292,150,"4'11""",Ball,0.5,Very Slow,40,-26,60,184,20
92,,Gastly,Gas Pokémon,Uncommon,No,Ghost,Poison,Amorphous,,Levitate,Corrosion,Prankster,30,35,30,100,35,80,310,0,0,130,"4'03""",Ball,0.5,Slow,50,48,190,62,20
93,92,Haunter,Gas Pokémon,Uncommon,No,Ghost,Poison,Amorphous,,Levitate,Corrosion,Prankster,45,50,45,115,55,95,405,0,0,160,"5'03""",Arms,0.5,Slow,50,1,90,142,20
94,93,Gengar,Shadow Pokémon,Uncommon,No,Ghost,Poison,Amorphous,,Cursed Body,Corrosion,Prankster,60,65,60,130,75,110,500,41,89,150,"4'11""",Upright,0.5,Slow,40,-57,45,250,20
94M,94,Gengar (Mega Gengar),Shadow Pokémon,Uncommon,No,Ghost,Poison,Amorphous,,Shadow Tag,Corrosion,Prankster,60,65,80,170,95,130,600,41,89,140,"4'07""",Upright,0.5,Slow,40,-57,45,250,20
95,,Onix,Rock Snake Pokémon,Common,No,Rock,Ground,Mineral,,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,210,463,879,"28'10""",Squiggle,0.5,Fast,50,-10,45,77,25
96,,Drowzee,Hypnosis Pokémon,Common,No,Psychic,,Human-Like,,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328,32,71,99,"3'03""",Humanoid,0.5,Fast,70,48,190,66,20
97,96,Hypno,Hypnosis Pokémon,Common,No,Psychic,,Human-Like,,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,76,167,160,"5'03""",Humanoid,0.5,Fast,60,-25,75,169,20
98,,Krabby,River Crab Pokémon,Common,No,Water,,Water 3,,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325,6,14,41,"1'04""",Armor,0.5,Fast,50,63,225,65,20
99,98,Kingler,Pincer Pokémon,Common,No,Water,,Water 3,,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475,60,132,130,"4'03""",Armor,0.5,Fast,40,-26,60,166,20
100,,Voltorb,Ball Pokémon,Common,No,Electric,,Mineral,,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,10,23,51,"1'08""",Ball,,Fast,70,48,190,66,20
