Name,Description,Rank Requirement,Build Cost,Upgrade Cost,Overhaul Cost
Bound Field,Grows Bound Seeds,Bronze Rank,300₽; Rich Soil * 2; Spring Water * 2; Bound Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Bound Seed * 3,1000₽; Rare Soil * 4; Rainbow Drops * 4; Bound Seed * 4; Communication Field
Communication Field,Grows Communication Seeds,Gold Rank,300₽; Rich Soil * 3; Spring Water * 3; Communication Seeds * 2,600₽; Ancient Soil * 4; Well Water * 4; Commuication Seed * 3,1000₽; Rare Soil * 5; Rainbow Drops * 5; Communication Seed * 4; Encourage Field
Encourage Field,Grows Encourage Seeds,Gold Rank,300₽; Rich Soil * 3; Spring Water * 3; Encourage Seeds * 2,600₽; Ancient Soil * 4; Well Water * 4; Encourage Seed * 3,1000₽; Rare Soil * 5; Rainbow Drops * 5; Encourage Seed * 4; Blast Field
Blast Field,Grows Blast Seeds,Normal Rank,300₽; Rich Soil * 2; Spring Water * 2; Blast Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Blast Seed * 3,1000₽; Rare Soil * 5; Rainbow Drops * 5; Blast Seed * 5; Violent Field
Violent Field,Grows Violent Seeds,Platinum Rank,300₽; Rich Soil * 3; Spring Water * 3; Violente Seeds * 2,600₽; Ancient Soil * 4; Well Water * 4; Violent Seed * 3,1000₽; Rare Soil * 5; Rainbow Drops * 5; Violent Seed * 4; Pure Field
Pure Field,Grows Pure Seeds,Master Rank,300₽; Rich Soil * 2; Spring Water * 2; Pure Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Pure Seed * 3,1000₽; Rare Soil * 6; Rainbow Drops * 6; Pure Seed * 6; Vile Field
Vile Field,Grows Vile Seeds,Diamond Rank,300₽; Rich Soil * 2; Spring Water * 2; Vile Seeds * 2,600₽; Ancient Soil * 3; Well Water * 3; Vile Seed * 3,1000₽; Rare Soil * 5; Rainbow Drops * 5; Vile Seed * 5; Normal Dojo
Normal Dojo,Trains up Normal-type moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Fire Dojo
Fire Dojo,Trains up Fire-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Grass Dojo
Grass Dojo,Trains up Grass-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Water Dojo
Water Dojo,Trains up Water-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Electric Dojo
Electric Dojo,Trains up Electric-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Ice Dojo
Ice Dojo,Trains up Ice-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Fighting Dojo
Fighting Dojo,Trains up Fighting-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Poison Dojo
Poison Dojo,Trains up Poison-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Ground Dojo
Ground Dojo,Trains up Ground-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Flying Dojo
Flying Dojo,Trains up Flying-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Psychic Dojo
Psychic Dojo,Trains up Psychic-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Bug Dojo
Bug Dojo,Trains up Bug-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Rock Dojo
Rock Dojo,Trains up Rock-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Ghost Dojo
Ghost Dojo,Trains up Ghost-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 15,1000₽; Gilded Metal * 7; Endless Stone * 7; Dragon Dojo
Dragon Dojo,Trains up Dragon-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Dark Dojo
Dark Dojo,Trains up Dark-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7; Steel Dojo
Steel Dojo,Trains up Steel-type Moves,Normal Rank,300₽; Lustrous Metal * 2; Hard Fragments * 2,600₽; Reflective Alloy * 5; Unbreakable Rock * 5,1000₽; Gilded Metal * 7; Endless Stone * 7
