ID,Name,Description,Old Name,Old Description,
14,Heal Ball,A remedial Poké Ball that restores the HP of a Pokémon caught with it and eliminates any status conditions.,heal-ball,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.,
15,Quick Ball,A somewhat different Poké Ball that has a more successful catch rate if used at the start of a wild encounter.,quick-ball,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn.",
16,Cherish Ball,A quite rare Poké Ball that has been crafted in order to commemorate a special occasion of some sort.,cherish-ball,Tries to catch a wild Pokémon.,
17,Potion,A spray-type medicine for treating wounds. It can be used to restore 20 HP to an injured Pokémon.,potion,Restores 20 HP.,
18,Antidote,A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.,antidote,Cures poison.,
19,Burn Heal,A spray-type medicine for treating burns. It can be used once to heal a Pokémon suffering from a burn.,burn-heal,Cures a burn.,
20,Ice Heal,A spray-type medicine for freezing. It can be used once to defrost a Pokémon that has been frozen solid.,ice-heal,Cures freezing.,
21,Awakening,A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.,awakening,Cures sleep.,
22,Paralyze Heal,A spray-type medicine for paralysis. It can be used once to free a Pokémon that has been paralyzed.,paralyze-heal,Cures paralysis.,
23,Full Restore,A medicine that can be used to fully restore the HP of a single Pokémon and heal any status conditions it has.,full-restore,Restores HP to full and cures any status ailment and confusion.,
24,Max Potion,A spray-type medicine for treating wounds. It will completely restore the max HP of a single Pokémon.,max-potion,Restores HP to full.,
25,Hyper Potion,A spray-type medicine for treating wounds. It can be used to restore 120 HP to an injured Pokémon.,hyper-potion,Restores 200 HP.,
26,Super Potion,A spray-type medicine for treating wounds. It can be used to restore 60 HP to an injured Pokémon.,super-potion,Restores 50 HP.,
27,Full Heal,A spray-type medicine that is broadly effective. It can be used once to heal all the status conditions of a Pokémon.,full-heal,Cures any status ailment and confusion.,
28,Revive,A medicine that can revive fainted Pokémon. It also restores half of a fainted Pokémon’s maximum HP.,revive,Revives with half HP.,
29,Max Revive,A medicine that can revive fainted Pokémon. It also fully restores a fainted Pokémon’s maximum HP.,max-revive,Revives with full HP.,
30,Fresh Water,"Water with a high mineral content. When consumed, it restores up to 30 HP to an injured Pokémon.",fresh-water,Restores 50 HP.,
31,Soda Pop,"A highly carbonated soda drink. When consumed, it restores up to 50 HP to an injured Pokémon.",soda-pop,Restores 60 HP.,
32,Lemonade,"A very sweet and refreshing drink. When consumed, it restores up to 70 HP to an injured Pokémon.",lemonade,Restores 80 HP.,
33,Moomoo Milk,"A bottle of highly nutritious milk. When consumed, it restores up to 100 HP to an injured Pokémon.",moomoo-milk,Restores 100 HP.,
34,Energy Powder,"A very bitter medicinal powder. When consumed, it restores up to 60 HP to an injured Pokémon.",energy-powder,"Restores 50 HP, but lowers happiness.",
35,Energy Root,"An extremely bitter medicinal root. When consumed, it restores up to 120 HP to an injured Pokémon.",energy-root,"Restores 200 HP, but lowers happiness.",
36,Heal Powder,A very bitter medicinal powder. It can be used once to heal all the status conditions of a Pokémon.,heal-powder,"Cures any status ailment, but lowers happiness.",
37,Revival Herb,A terribly bitter medicinal herb. It revives a fainted Pokémon and fully restores its maximum HP.,revival-herb,"Revives with full HP, but lowers happiness.",
38,Ether,This medicine can restore 10 PP to a single selected move that has been learned by a Pokémon.,ether,Restores 10 PP for one move.,
39,Max Ether,This medicine can fully restore the PP of a single selected move that has been learned by a Pokémon.,max-ether,Restores PP to full for one move.,
40,Elixir,This medicine can restore 10 PP to each of the moves that have been learned by a Pokémon.,elixir,Restores 10 PP for each move.,
41,Max Elixir,This medicine can fully restore the PP of all of the moves that have been learned by a Pokémon.,max-elixir,Restores PP to full for each move.,
42,Lava Cookie,Lavaridge Town’s local specialty. It can be used once to heal all the status conditions of a Pokémon.,lava-cookie,Cures any status ailment and confusion.,
43,Berry Juice,"A 100 percent pure juice made of Berries. When consumed, it restores 20 HP to an injured Pokémon.",berry-juice,Restores 20 HP.,
44,Sacred Ash,"This rare ash can revive all fainted Pokémon in a party. In doing so, it also fully restores their maximum HP.",sacred-ash,Revives all fainted Pokémon with full HP.,
45,HP Up,"A nutritious drink for Pokémon. When consumed, it raises the base HP of a single Pokémon.",hp-up,Raises HP effort and happiness.,
46,Protein,"A nutritious drink for Pokémon. When consumed, it raises the base Attack stat of a single Pokémon.",protein,Raises Attack effort and happiness.,
47,Iron,"A nutritious drink for Pokémon. When consumed, it raises the base Defense stat of a single Pokémon.",iron,Raises Defense effort and happiness.,
48,Carbos,"A nutritious drink for Pokémon. When consumed, it raises the base Speed stat of a single Pokémon.",carbos,Raises Speed effort and happiness.,
49,Calcium,"A nutritious drink for Pokémon. When consumed, it raises the base Sp. Atk stat of a single Pokémon.",calcium,Raises Special Attack effort and happiness.,
50,Rare Candy,"A candy that is packed with energy. When consumed, it will instantly raise the level of a single Pokémon by one.",rare-candy,Causes a level-up and raises happiness.,
51,PP Up,A medicine that can slightly raise the maximum PP of a single move that has been learned by the target Pokémon.,pp-up,Raises a move's max PP by 20%.,
52,Zinc,"A nutritious drink for Pokémon. When consumed, it raises the base Sp. Def stat of a single Pokémon.",zinc,Raises Special Defense and happiness.,
53,PP Max,A medicine that can optimally raise the maximum PP of a single move that has been learned by the target Pokémon.,pp-max,Raises a move's max PP by 60%.,
54,Old Gateau,The Old Chateau’s hidden specialty. It can be used once to heal all the status conditions of a Pokémon.,old-gateau,Cures any status ailment and confusion.,
55,Guard Spec.,An item that prevents stat reduction among the Trainer’s party Pokémon for five turns after it is used in battle.,guard-spec,Prevents stat changes in battle for five turns in battle.  Raises happiness.,
56,Dire Hit,An item that raises the critical-hit ratio greatly. It can be used only once and wears off if the Pokémon is withdrawn.,dire-hit,Increases the chance of a critical hit in battle.  Raises happiness.,
57,X Attack,An item that sharply boosts the Attack stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,x-attack,Raises Attack by one stage in battle.  Raises happiness.,
58,X Defense,An item that sharply boosts the Defense stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,x-defense,Raises Defense by one stage in battle.  Raises happiness.,
59,X Speed,An item that sharply boosts the Speed stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,x-speed,Raises Speed by one stage in battle.  Raises happiness.,
60,X Accuracy,An item that sharply boosts the accuracy of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,x-accuracy,Raises accuracy by one stage in battle.  Raises happiness.,
61,X Sp. Atk,An item that sharply boosts the Sp. Atk stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,x-sp-atk,Raises Special Attack by one stage in battle.  Raises happiness.,
62,X Sp. Def,An item that sharply boosts the Sp. Def stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,x-sp-def,Raises Special Defense by one stage in battle.  Raises happiness.,
63,Poké Doll,A doll that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.,poke-doll,Ends a wild battle.,
64,Fluffy Tail,A toy that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.,fluffy-tail,Ends a wild battle.,
65,Blue Flute,A flute made from blue glass that awakens sleeping Pokémon.,blue-flute,Cures sleep.,
66,Yellow Flute,A flute made from yellow glass that snaps Pokémon out of confusion.,yellow-flute,Cures confusion.,
67,Red Flute,A flute made from red glass that snaps Pokémon out of infatuation.,red-flute,Cures attraction.,
68,Black Flute,A flute made from black glass. It makes it easier to encounter strong Pokémon in the place you use it.,black-flute,Halves the wild Pokémon encounter rate.,
69,White Flute,A flute made from white glass. It makes it easier to encounter weak Pokémon in the place you use it.,white-flute,Doubles the wild Pokémon encounter rate.,
70,Shoal Salt,Salt that you found inside Shoal Cave.,shoal-salt,No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.,
71,Shoal Shell,A seashell that you found inside Shoal Cave.,shoal-shell,No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.,
72,Red Shard,A small red shard. It appears to be a fragment of some sort of implement made long ago.,red-shard,No effect. Can be traded for items or moves.,
73,Blue Shard,A small blue shard. It appears to be a fragment of some sort of implement made long ago.,blue-shard,No effect. Can be traded for items or moves.,
74,Yellow Shard,A small yellow shard. It appears to be a fragment of some sort of implement made long ago.,yellow-shard,No effect. Can be traded for items or moves.,
75,Green Shard,A small green shard. It appears to be a fragment of some sort of implement made long ago.,green-shard,No effect. Can be traded for items or moves.,
76,Super Repel,An item that prevents any low-level wild Pokémon from jumping out at you for a while. It lasts longer than Repel.,super-repel,"For 200 steps, prevents wild encounters of level lower than your party's lead Pokémon.",
77,Max Repel,An item that prevents any low-level wild Pokémon from jumping out at you for a while. It lasts longer than Super Repel.,max-repel,"For 250 steps, prevents wild encounters of level lower than your party's lead Pokémon.",
78,Escape Rope,A long and durable rope. Use it to escape instantly from a cave or a dungeon.,escape-rope,Transports user to the outside entrance of a cave.,
79,Repel,An item that prevents any low-level wild Pokémon from jumping out at you for a while.,repel,"For 100 steps, prevents wild encounters of level lower than your party's lead Pokémon.",
80,Sun Stone,A peculiar stone that can make certain species of Pokémon evolve. It burns as red as the evening sun.,sun-stone,"Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora.",
81,Moon Stone,A peculiar stone that can make certain species of Pokémon evolve. It is as black as the night sky.,moon-stone,"Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty.",
82,Fire Stone,A peculiar stone that can make certain species of Pokémon evolve. The stone has a fiery orange heart.,fire-stone,"Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales.",
83,Thunder Stone,A peculiar stone that can make certain species of Pokémon evolve. It has a distinct thunderbolt pattern.,thunder-stone,"Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu.",
84,Water Stone,A peculiar stone that can make certain species of Pokémon evolve. It is the blue of a pool of clear water.,water-stone,"Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie.",
85,Leaf Stone,A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable leaf pattern.,leaf-stone,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel.",
86,Tiny Mushroom,A very small and rare mushroom. It’s popular with a certain class of collectors and sought out by them.,tiny-mushroom,"Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars.",
87,Big Mushroom,A very large and rare mushroom. It’s popular with a certain class of collectors and sought out by them.,big-mushroom,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars.",
88,Pearl,A rather small pearl that has a very nice silvery sheen to it. It can be sold cheaply to shops.,pearl,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars.",
89,Big Pearl,A rather large pearl that has a very nice silvery sheen. It can be sold to shops for a high price.,big-pearl,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars.",
90,Stardust,"Lovely red sand that flows between the fingers with a loose, silky feel. It can be sold at a low price to shops.",stardust,"Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars.",
91,Star Piece,A small shard of a beautiful gem that demonstrates a distinctly red sparkle. It can be sold at a high price to shops.,star-piece,"Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars.",
92,Nugget,A nugget of the purest gold that gives off a lustrous gleam in direct light. It can be sold at a high price to shops.,nugget,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars.",
93,Heart Scale,"A pretty, heart-shaped scale that is extremely rare. Some people are happy to receive one.",heart-scale,No effect. Can be traded for prior Level-up moves.,
94,Honey,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in tall grass, in caves, or on special trees.",honey,,
95,Growth Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect.",growth-mulch,"Growing time of berries is reduced, but the soil dries out faster.",
96,Damp Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect.",damp-mulch,"Growing time of berries is increased, but the soil dries out slower.",
97,Stable Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect.",stable-mulch,Berries stay on the plant for longer than their usual time.,
98,Gooey Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect.",gooey-mulch,Berries regrow from dead plants an increased number of times.,
99,Root Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It looks as if it could be part of a plant’s root.,root-fossil,Can be revived into a Lileep.,
100,Claw Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It appears to be a fragment of a claw.,claw-fossil,Can be revived into an Anorith.,
101,Helix Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It might be a piece of a seashell.,helix-fossil,Can be revived into an Omanyte.,
102,Dome Fossil,A fossil from a prehistoric Pokémon that once lived in the sea. It could be a shell or carapace.,dome-fossil,Can be revived into a Kabuto.,
103,Old Amber,"A piece of amber that still contains the genetic material of an ancient Pokémon. It’s clear with a tawny, reddish tint.",old-amber,Can be revived into an Aerodactyl.,
104,Armor Fossil,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.,armor-fossil,Can be revived into a Shieldon.,
105,Skull Fossil,A fossil from a prehistoric Pokémon that once lived on the land. It appears as though it’s part of a head.,skull-fossil,Can be revived into a Cranidos.,
106,Rare Bone,A rare bone that is extremely valuable for the study of Pokémon archeology. It can be sold for a high price to shops.,rare-bone,"Sell for 5000 Pokédollars, or to Bone Man for 10000 Pokédollars.",
107,Shiny Stone,A peculiar stone that can make certain species of Pokémon evolve. It shines with a dazzling light.,shiny-stone,"Evolves a Minccino into Cinccino, a Roselia into Roserade, or a Togetic into Togekiss.",
108,Dusk Stone,A peculiar stone that can make certain species of Pokémon evolve. It holds shadows as dark as can be.,dusk-stone,"Evolves a Lampent into Chandelure, a Misdreavus into Mismagius, or a Murkrow into Honchkrow.",
109,Dawn Stone,A peculiar stone that can make certain species of Pokémon evolve. It sparkles like a glittering eye.,dawn-stone,Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.,
110,Oval Stone,A peculiar stone that can make certain species of Pokémon evolve. It’s as round as a Pokémon Egg.,oval-stone,Level-up during Day on a Happiny: Holder evolves into Chansey.,
111,Odd Keystone,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.,odd-keystone,Use on the tower on Route 209 to encounter Spiritomb if you have at least 32 Underground greetings.,
112,Adamant Orb,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.,adamant-orb,Boosts the damage from Dialga's Dragon-type and Steel-type moves by 20%.,
113,Lustrous Orb,A beautifully glowing orb to be held by Palkia. It boosts the power of Dragon- and Water-type moves when it is held.,lustrous-orb,Boosts the damage from Palkia's Dragon-type and Water-type moves by 20%.,
126,Grass Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from paralysis on its own in battle.",grass-mail,Lets a Trainer write a message and send it via Pokémon trade.,
127,Flame Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from sleep on its own in battle.",flame-mail,Lets a Trainer write a message and send it via Pokémon trade.,
128,Bubble Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from poisoning on its own in battle.",bubble-mail,Lets a Trainer write a message and send it via Pokémon trade.,
129,Bloom Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from a burn on its own in battle.",bloom-mail,Lets a Trainer write a message and send it via Pokémon trade.,
130,Tunnel Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from being frozen on its own in battle.",tunnel-mail,Lets a Trainer write a message and send it via Pokémon trade.,
131,Steel Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore 10 PP to a depleted move during battle.",steel-mail,Lets a Trainer write a message and send it via Pokémon trade.,
132,Heart Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore its own HP by 10 points during battle.",heart-mail,Lets a Trainer write a message and send it via Pokémon trade.,
133,Snow Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from confusion on its own in battle.",snow-mail,Lets a Trainer write a message and send it via Pokémon trade.,
134,Space Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from any status condition during battle.",space-mail,Lets a Trainer write a message and send it via Pokémon trade.,
135,Air Mail,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore its own HP by a small amount during battle.",air-mail,Lets a Trainer write a message and send it via Pokémon trade.,
136,Mosaic Mail,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste.",mosaic-mail,Lets a Trainer write a message and send it via Pokémon trade.,
137,Brick Mail,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste.",brick-mail,Lets a Trainer write a message and send it via Pokémon trade.,
138,Cheri Berry,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste.",cheri-berry,Held: Consumed when paralyzed to cure paralysis.,
139,Chesto Berry,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste.",chesto-berry,Held: Consumed when asleep to cure sleep.,
140,Pecha Berry,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste.",pecha-berry,Held: Consumed when poisoned to cure poison.,
141,Rawst Berry,Used to make Pokéblocks that will enhance your Coolness. Its red flesh is spicy when eaten.,rawst-berry,Held: Consumed when burned to cure a burn.,
142,Aspear Berry,Used to make Pokéblocks that will enhance your Beauty. Its blue flesh is sour when eaten.,aspear-berry,Held: Consumed when frozen to cure frozen.,
143,Leppa Berry,Used to make Pokéblocks that will enhance your Cuteness. Its pink flesh is sweet when eaten.,leppa-berry,Held: Consumed when a move runs out of PP to restore its PP by 10.,
144,Oran Berry,Used to make Pokéblocks that will enhance your Cleverness. Its green flesh is bitter when eaten.,oran-berry,Held: Consumed at 1/2 max HP to recover 10 HP.,
145,Persim Berry,Used to make Pokéblocks that will enhance your Toughness. Its yellow flesh is sour when eaten.,persim-berry,Held: Consumed when confused to cure confusion.,
146,Lum Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base HP.,lum-berry,Held: Consumed to cure any status condition or confusion.,
147,Sitrus Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Attack.,sitrus-berry,Held: Consumed at 1/2 max HP to recover 1/4 max HP.,
148,Figy Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Defense.,figy-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike spicy flavor.,
149,Wiki Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Sp. Atk.,wiki-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike dry flavor.,
150,Mago Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Sp. Def.,mago-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.,
151,Aguav Berry,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Speed.,aguav-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.,
152,Iapapa Berry,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions.",iapapa-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.,
153,Razz Berry,"Used to make Pokéblocks that will enhance your Cuteness, this Berry is rare in other regions.",razz-berry,Used for creating PokéBlocks and Poffins.,
154,Bluk Berry,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions.",bluk-berry,Used for creating PokéBlocks and Poffins.,
155,Nanab Berry,"Used to make Pokéblocks that will enhance your Toughness, this Berry is rare in other regions.",nanab-berry,Used for creating PokéBlocks and Poffins.,
156,Wepear Berry,"Used to make Pokéblocks that will enhance your Cuteness, this Berry is rare in other regions.",wepear-berry,Used for creating PokéBlocks and Poffins.,
157,Pinap Berry,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions.",pinap-berry,Used for creating PokéBlocks and Poffins.,
158,Pomeg Berry,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions.",pomeg-berry,Drops HP Effort Values by 10 and raises happiness.,
159,Kelpsy Berry,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions.",kelpsy-berry,Drops Attack Effort Values by 10 and raises happiness.,
160,Qualot Berry,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions.",qualot-berry,Drops Defense Effort Values by 10 and raises happiness.,
161,Hondew Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fire-type attack.",hondew-berry,Drops Special Attack Effort Values by 10 and raises happiness.,
162,Grepa Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Water-type attack.",grepa-berry,Drops Special Defense Effort Values by 10 and raises happiness.,
163,Tamato Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Electric-type attack.",tamato-berry,Drops Speed Effort Values by 10 and raises happiness.,
164,Cornn Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Grass-type attack.",cornn-berry,Used for creating PokéBlocks and Poffins.,
165,Magost Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ice-type attack.",magost-berry,Used for creating PokéBlocks and Poffins.,
166,Rabuta Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fighting-type attack.",rabuta-berry,Used for creating PokéBlocks and Poffins.,
167,Nomel Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Poison-type attack.",nomel-berry,Used for creating PokéBlocks and Poffins.,
168,Spelon Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ground-type attack.",spelon-berry,Used for creating PokéBlocks and Poffins.,
169,Pamtre Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Flying-type attack.",pamtre-berry,Used for creating PokéBlocks and Poffins.,
170,Watmel Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Psychic-type attack.",watmel-berry,Used for creating PokéBlocks and Poffins.,
171,Durin Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Bug-type attack.",durin-berry,Used for creating PokéBlocks and Poffins.,
172,Belue Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Rock-type attack.",belue-berry,Used for creating PokéBlocks and Poffins.,
173,Occa Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ghost-type attack.",occa-berry,Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.,
174,Passho Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Dragon-type attack.",passho-berry,Held: Consumed when struck by a super-effective Water-type attack to halve the damage.,
175,Wacan Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Dark-type attack.",wacan-berry,Held: Consumed when struck by a super-effective Electric-type attack to halve the damage.,
176,Rindo Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Steel-type attack.",rindo-berry,Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.,
177,Yache Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one Normal-type attack.",yache-berry,Held: Consumed when struck by a super-effective Ice-type attack to halve the damage.,
178,Chople Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Attack stat will increase when it’s in a pinch.",chople-berry,Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.,
179,Kebia Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Defense stat will increase when it’s in a pinch.",kebia-berry,Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.,
180,Shuca Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Speed stat will increase when it’s in a pinch.",shuca-berry,Held: Consumed when struck by a super-effective Ground-type attack to halve the damage.,
181,Coba Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Atk stat will increase when it’s in a pinch.",coba-berry,Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.,
182,Payapa Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Def stat will increase when it’s in a pinch.",payapa-berry,Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.,
183,Tanga Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its critical-hit ratio will increase when it’s in a pinch.",tanga-berry,Held: Consumed when struck by a super-effective Bug-type attack to halve the damage.,
184,Charti Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, one of its stats will sharply increase when it’s in a pinch.",charti-berry,Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.,
185,Kasib Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, being hit by a supereffective attack will restore its HP.",kasib-berry,Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.,
