DexId,Name,Types,Weaknesses,Resistances,Immunities,Locations,Species,EggGroups
19,Rattata,normal,fighting,none,ghost,"sinnoh-route-225-area (diamond, pearl, platinum),sinnoh-sea-route-226-area (diamond, pearl, platinum),johto-route-29-area (gold, silver, crystal, heartgold, soulsilver),johto-route-30-area (gold, silver, heartgold, soulsilver),johto-route-31-area (gold, silver, heartgold, soulsilver),sprout-tower-2f (gold, silver, crystal, heartgold, soulsilver),sprout-tower-3f (gold, silver, crystal, heartgold, soulsilver),johto-route-32-area (gold, silver, crystal, heartgold, soulsilver),union-cave-1f (gold, silver, crystal, heartgold, soulsilver),union-cave-b1f (gold, silver, crystal, heartgold, soulsilver),union-cave-b2f (gold, silver, heartgold, soulsilver),johto-route-33-area (gold, silver, crystal, heartgold, soulsilver),johto-route-34-area (gold, silver, crystal, heartgold, soulsilver),burned-tower-1f (gold, silver, crystal, heartgold, soulsilver),burned-tower-b1f (gold, silver, crystal, heartgold, soulsilver),bell-tower-2f (gold, silver, crystal, heartgold, soulsilver),bell-tower-3f (gold, silver, crystal, heartgold, soulsilver),bell-tower-4f (gold, silver, crystal, heartgold, soulsilver),bell-tower-5f (gold, silver, crystal, heartgold, soulsilver),bell-tower-6f (gold, silver, crystal, heartgold, soulsilver),bell-tower-7f (gold, silver, crystal, heartgold, soulsilver),bell-tower-8f (gold, silver, crystal, heartgold, soulsilver),bell-tower-9f (gold, silver, crystal, heartgold, soulsilver),johto-route-38-area (gold, silver, crystal, heartgold),johto-route-39-area (gold, silver, crystal, heartgold),johto-route-42-area (crystal),mt-mortar-1f (gold, silver, crystal, heartgold, soulsilver),mt-mortar-lower-cave (gold, silver, crystal, heartgold, soulsilver),mt-mortar-b1f (gold, silver, heartgold, soulsilver),johto-route-46-area (gold, silver, crystal, heartgold, soulsilver),bell-tower-10f (heartgold, soulsilver),unknown-all-rattata-area (heartgold, soulsilver),kanto-route-1-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-2-south-towards-viridian-city (red, blue, yellow, firered, leafgreen),kanto-route-3-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-4-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-5-area (yellow),kanto-route-6-area (yellow, crystal),kanto-route-7-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-8-area (yellow, gold, silver),kanto-route-9-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-10-area (yellow),kanto-route-11-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-16-area (red, blue, yellow, firered, leafgreen),kanto-route-17-area (firered, leafgreen),kanto-route-18-area (yellow, firered, leafgreen),kanto-sea-route-21-area (red, blue, yellow, crystal),kanto-route-22-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),tohjo-falls-area (gold, silver, crystal, heartgold, soulsilver),pokemon-mansion-1f (yellow, firered, leafgreen),pokemon-mansion-2f (yellow, firered, leafgreen),pokemon-mansion-3f (yellow, firered, leafgreen),pokemon-mansion-b1f (firered, leafgreen),castelia-city-area (black-2, white-2),castelia-sewers-area (black-2, white-2),castelia-sewers-unknown-area-38 (black-2, white-2),relic-passage-castelia-sewers-entrance (black-2, white-2)",rattata,ground
23,Ekans,poison,"ground,psychic","bug,fairy,fighting,grass,poison",none,"sinnoh-route-212-east-towards-pastoria-city (diamond, pearl, platinum),johto-route-32-area (silver, crystal, soulsilver),johto-route-33-area (silver, crystal, soulsilver),johto-route-42-area (crystal),kanto-route-26-area (crystal),kanto-route-27-area (crystal),kanto-route-3-area (silver, crystal, soulsilver),kanto-route-4-area (red, silver, crystal, firered, soulsilver),kanto-route-8-area (red, firered),kanto-route-9-area (red, firered),kanto-route-10-area (red, firered),kanto-route-11-area (red, firered),kanto-route-23-area (red, firered),azalea-town-area (crystal)",ekans,"ground,dragon"
15,Beedrill,"bug,poison","fire,flying,psychic,rock","bug,fairy,fighting,fighting,grass,grass,poison",none,"ilex-forest-area (silver, crystal),johto-route-34-area (silver),johto-route-35-area (silver),johto-route-36-area (silver),johto-route-37-area (silver),johto-route-38-area (silver),johto-route-39-area (silver),lake-of-rage-area (silver),kanto-route-26-area (silver),kanto-route-27-area (silver),kanto-route-2-south-towards-viridian-city (silver, soulsilver),kanto-route-2-north-towards-pewter-city (soulsilver),viridian-forest-area (soulsilver),unova-route-12-area (black),azalea-town-area (silver)",beedrill,bug
17,Pidgeotto,"normal,flying","electric,ice,rock","bug,grass","ghost,ground","johto-route-37-area (gold, silver, crystal, heartgold, soulsilver),johto-route-38-area (crystal),johto-route-39-area (crystal),johto-route-43-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-12-area (yellow),kanto-route-2-south-towards-viridian-city (gold, silver, crystal, heartgold, soulsilver),kanto-route-5-area (yellow, crystal),kanto-route-6-area (yellow),kanto-route-7-area (yellow),kanto-route-8-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-11-area (yellow, crystal),kanto-route-13-area (yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-14-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-15-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-sea-route-21-area (red, blue, yellow),kanto-route-24-area (yellow),kanto-route-25-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-2-north-towards-pewter-city (heartgold, soulsilver),viridian-forest-area (yellow, heartgold, soulsilver),berry-forest-area (firered, leafgreen),bond-bridge-area (firered, leafgreen),five-isle-meadow-area (firered, leafgreen)",pidgeotto,flying
20,Raticate,normal,fighting,none,ghost,"sinnoh-route-225-area (diamond, pearl, platinum),sinnoh-sea-route-226-area (diamond, pearl, platinum),union-cave-b2f (gold, silver, crystal, heartgold, soulsilver),burned-tower-1f (gold, silver, crystal, heartgold, soulsilver),johto-route-38-area (gold, silver, crystal, heartgold, soulsilver),johto-route-39-area (gold, silver, crystal, heartgold, soulsilver),johto-route-42-area (crystal),mt-mortar-1f (crystal),mt-mortar-lower-cave (crystal),mt-mortar-upper-cave (gold, silver, crystal, heartgold, soulsilver),mt-mortar-b1f (gold, silver, crystal, heartgold, soulsilver),johto-route-43-area (crystal),johto-route-47-area (heartgold, soulsilver),kanto-route-26-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-27-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-1-area (crystal),kanto-route-3-area (crystal),kanto-route-4-area (crystal),kanto-route-6-area (crystal),kanto-route-7-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-9-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-10-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-11-area (yellow, crystal),kanto-route-16-area (red, blue, yellow, firered, leafgreen),kanto-route-17-area (red, blue, firered, leafgreen),kanto-route-18-area (red, blue, yellow, firered, leafgreen),kanto-sea-route-21-area (red, blue, yellow, crystal),tohjo-falls-area (gold, silver, crystal, heartgold, soulsilver),pokemon-mansion-1f (yellow, firered, leafgreen),pokemon-mansion-2f (yellow, firered, leafgreen),pokemon-mansion-3f (yellow, firered, leafgreen),pokemon-mansion-b1f (yellow, firered, leafgreen),dreamyard-area (black, white, black-2, white-2),dreamyard-b1f (black, white, black-2, white-2),strange-house-1f (black-2, white-2),strange-house-b1f (black-2, white-2),relic-passage-relic-castle-entrance (black-2, white-2)",raticate,ground
25,Pikachu,electric,ground,"electric,flying,steel",none,"trophy-garden-area (diamond, pearl, platinum),pallet-town-area (yellow),kanto-route-2-south-towards-viridian-city (gold, silver, crystal),viridian-forest-area (red, blue, firered, leafgreen, heartgold, soulsilver),power-plant-area (red, blue, firered, leafgreen),hoenn-safari-zone-sw (ruby, sapphire, emerald),hoenn-safari-zone-se (ruby, sapphire, emerald),kalos-route-3-area (x, y),santalune-forest-area (x, y),slateport-city-contest-hall (omega-ruby, alpha-sapphire),verdanturf-town-contest-hall (omega-ruby, alpha-sapphire),fallarbor-town-contest-hall (omega-ruby, alpha-sapphire),lilycove-city-contest-hall (omega-ruby, alpha-sapphire)",pikachu,"ground,fairy"
22,Fearow,"normal,flying","electric,ice,rock","bug,grass","ghost,ground","stark-mountain-area (diamond, pearl, platinum),sinnoh-route-225-area (diamond, pearl, platinum),sinnoh-route-227-area (diamond, pearl, platinum),sinnoh-sea-route-226-area (diamond, pearl, platinum),johto-route-42-area (crystal),johto-route-47-area (heartgold, soulsilver),johto-route-48-area (heartgold, soulsilver),kanto-route-9-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-10-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-16-area (yellow, gold, silver, crystal, heartgold, soulsilver),kanto-route-17-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-18-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-22-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-23-area (red, blue, yellow, firered, leafgreen),mt-ember-area (firered, leafgreen),kindle-road-area (firered, leafgreen),treasure-beach-area (firered, leafgreen),cape-brink-area (firered, leafgreen),water-path-area (firered, leafgreen),ruin-valley-area (firered, leafgreen),canyon-entrance-area (firered, leafgreen),sevault-canyon-area (firered, leafgreen),unova-route-15-area (black, white)",fearow,flying
26,Raichu,electric,ground,"electric,flying,steel",none,"cerulean-cave-1f (red, blue),cerulean-cave-b1f (red, blue),power-plant-area (blue)",raichu,"ground,fairy"
16,Pidgey,"normal,flying","electric,ice,rock","bug,grass","ghost,ground","sinnoh-route-229-area (diamond, pearl, platinum),johto-route-29-area (gold, silver, crystal, heartgold, soulsilver),johto-route-30-area (gold, silver, crystal, heartgold, soulsilver),johto-route-31-area (gold, silver, crystal, heartgold, soulsilver),johto-route-32-area (crystal),ilex-forest-area (crystal),johto-route-34-area (crystal),johto-route-35-area (gold, silver, crystal, heartgold, soulsilver),national-park-area (gold, silver, crystal, heartgold, soulsilver),johto-route-36-area (gold, silver, crystal, heartgold, soulsilver),johto-route-37-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-12-area (red, blue, yellow, firered, leafgreen),kanto-route-1-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-2-south-towards-viridian-city (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-3-area (red, blue, firered, leafgreen),kanto-route-5-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-6-area (red, blue, yellow, gold, silver, firered, leafgreen, heartgold, soulsilver),kanto-route-7-area (red, blue, yellow, firered, leafgreen),kanto-route-8-area (red, blue, yellow, firered, leafgreen),kanto-route-11-area (yellow),kanto-route-13-area (red, blue, yellow, firered, leafgreen),kanto-route-14-area (red, blue, firered, leafgreen),kanto-route-15-area (red, blue, firered, leafgreen),kanto-sea-route-21-area (red, blue, yellow),kanto-route-24-area (red, blue, yellow, firered, leafgreen),kanto-route-25-area (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),kanto-route-2-north-towards-pewter-city (heartgold, soulsilver),viridian-forest-area (yellow, heartgold, soulsilver),berry-forest-area (firered, leafgreen),bond-bridge-area (firered, leafgreen),five-isle-meadow-area (firered, leafgreen),kalos-route-2-area (x, y),kalos-route-3-area (x, y)",pidgey,flying
31,Nidoqueen,"poison,ground","ground,ice,psychic,water","bug,fairy,fighting,poison,poison,rock",electric,,nidoqueen,no-eggs
33,Nidorino,poison,"ground,psychic","bug,fairy,fighting,grass,poison",none,"valor-lakefront-area (diamond, pearl, platinum),sinnoh-route-221-area (diamond, pearl, platinum),kanto-route-9-area (yellow),kanto-route-13-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-14-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-15-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-23-area (yellow),kanto-safari-zone-middle (red, blue, yellow, firered, leafgreen),kanto-safari-zone-area-1-east (red, firered),kanto-safari-zone-area-2-north (red, blue, firered, leafgreen),kanto-safari-zone-area-3-west (red, yellow, firered),kalos-route-11-area (x, y)",nidorino,"monster,ground"
32,Nidoran-M,poison,"ground,psychic","bug,fairy,fighting,grass,poison",none,"sinnoh-route-201-area (diamond, pearl, platinum),johto-route-35-area (gold, silver, crystal, heartgold, soulsilver),national-park-area (crystal),johto-route-36-area (gold, silver, heartgold, soulsilver),kanto-route-2-south-towards-viridian-city (yellow),kanto-route-3-area (firered, leafgreen),kanto-route-9-area (yellow),kanto-route-10-area (yellow),kanto-route-22-area (red, blue, yellow),kanto-safari-zone-middle (red, yellow, firered),kanto-safari-zone-area-1-east (red, blue, yellow, firered, leafgreen),kanto-safari-zone-area-2-north (red, yellow, firered),kanto-safari-zone-area-3-west (red, blue, yellow, firered, leafgreen)",nidoran-m,"monster,ground"
29,Nidoran-F,poison,"ground,psychic","bug,fairy,fighting,grass,poison",none,"sinnoh-route-201-area (diamond, pearl, platinum),johto-route-35-area (gold, silver, crystal, heartgold, soulsilver),national-park-area (crystal),johto-route-36-area (gold, silver, heartgold, soulsilver),kanto-route-2-south-towards-viridian-city (yellow),kanto-route-3-area (firered, leafgreen),kanto-route-9-area (yellow),kanto-route-10-area (yellow),kanto-route-22-area (red, blue, yellow),kanto-safari-zone-middle (blue, yellow, leafgreen),kanto-safari-zone-area-1-east (red, blue, yellow, firered, leafgreen),kanto-safari-zone-area-2-north (blue, yellow, leafgreen),kanto-safari-zone-area-3-west (red, blue, yellow, firered, leafgreen)",nidoran-f,"monster,ground"
34,Nidoking,"poison,ground","ground,ice,psychic,water","bug,fairy,fighting,poison,poison,rock",electric,,nidoking,"monster,ground"
35,Clefairy,fairy,"poison,steel","bug,dark,fighting",dragon,"mt-coronet-route-207 (platinum),mt-coronet-2f (diamond, pearl, platinum),mt-coronet-3f (diamond, pearl, platinum),mt-coronet-snowfall (diamond, pearl),mt-coronet-blizzard (diamond, pearl),mt-coronet-4f (diamond, pearl, platinum),mt-coronet-5f (diamond, pearl, platinum),mt-coronet-6f (diamond, pearl, platinum),mt-coronet-7f (diamond, pearl, platinum),mt-coronet-cave (diamond, pearl, platinum),mt-coronet-route-216 (diamond, pearl, platinum),mt-coronet-b1f (diamond, pearl, platinum),mt-moon-1f (red, blue, yellow, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),mt-moon-2f (heartgold, soulsilver),kanto-route-3-area (crystal),kanto-route-4-area (crystal),mt-moon-b1f (red, blue, yellow),mt-moon-b2f (red, blue, yellow, firered, leafgreen),giant-chasm-outside (black-2, white-2),giant-chasm-area (black-2, white-2),giant-chasm-forest (black, white, black-2, white-2),giant-chasm-forest-cave (black-2, white-2)",clefairy,fairy
24,Arbok,poison,"ground,psychic","bug,fairy,fighting,grass,poison",none,"great-marsh-area-1 (diamond, pearl, platinum),great-marsh-area-2 (diamond, pearl, platinum),great-marsh-area-3 (diamond, pearl, platinum),great-marsh-area-4 (diamond, pearl, platinum),great-marsh-area-5 (diamond, pearl, platinum),great-marsh-area-6 (diamond, pearl, platinum),johto-route-42-area (crystal),mt-silver-outside (crystal),kanto-route-26-area (silver, crystal, soulsilver),kanto-route-27-area (silver, crystal, soulsilver),kanto-route-28-area (crystal),kanto-route-3-area (silver, crystal, soulsilver),kanto-route-4-area (silver, crystal, soulsilver),cerulean-cave-1f (red),cerulean-cave-b1f (red),kanto-route-23-area (red, firered),kanto-victory-road-2-1f (firered),kanto-victory-road-2-2f (firered),kanto-victory-road-2-3f (firered)",arbok,"ground,dragon"
38,Ninetales,fire,"ground,rock,water","bug,fairy,fire,grass,ice,steel",none,"abundant-shrine-area (black, white, black-2, white-2)",ninetales,ground
30,Nidorina,poison,"ground,psychic","bug,fairy,fighting,grass,poison",none,"valor-lakefront-area (diamond, pearl, platinum),sinnoh-route-221-area (diamond, pearl, platinum),kanto-route-9-area (yellow),kanto-route-13-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-14-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-15-area (gold, silver, crystal, heartgold, soulsilver),kanto-route-23-area (yellow),kanto-safari-zone-middle (red, blue, firered, leafgreen),kanto-safari-zone-area-1-east (blue, yellow, leafgreen),kanto-safari-zone-area-2-north (red, blue, yellow, firered, leafgreen),kanto-safari-zone-area-3-west (blue, leafgreen),kalos-route-11-area (x, y)",nidorina,no-eggs
27,Sandshrew,ground,"grass,ice,water","poison,rock",electric,"wayward-cave-1f (diamond, pearl, platinum),wayward-cave-b1f (diamond, pearl, platinum),union-cave-1f (gold, crystal, heartgold),union-cave-b1f (gold, heartgold),mt-moon-1f (yellow, gold, crystal, heartgold),mt-moon-2f (heartgold),kanto-route-3-area (yellow),kanto-route-4-area (blue, yellow, leafgreen),kanto-route-8-area (blue, leafgreen),kanto-route-9-area (blue, leafgreen),kanto-route-10-area (blue, leafgreen),kanto-route-11-area (blue, leafgreen),kanto-route-23-area (blue, leafgreen),hoenn-route-111-area (ruby, sapphire, emerald),hoenn-route-113-area (ruby, sapphire),mirage-tower-area (emerald),desert-resort-entrance (black-2, white-2),desert-resort-area (black-2, white-2),relic-castle-a (black-2, white-2)",sandshrew,ground
37,Vulpix,fire,"ground,rock,water","bug,fairy,fire,grass,ice,steel",none,"sinnoh-route-209-area (diamond, pearl, platinum),sinnoh-route-214-area (diamond, pearl, platinum),johto-route-36-area (silver, soulsilver),johto-route-37-area (silver, soulsilver),johto-route-48-area (soulsilver),kanto-route-7-area (blue, silver, leafgreen, soulsilver),kanto-route-8-area (blue, silver, leafgreen, soulsilver),pokemon-mansion-1f (blue, leafgreen),pokemon-mansion-2f (blue, leafgreen),pokemon-mansion-3f (blue, leafgreen),pokemon-mansion-b1f (blue, leafgreen),mt-pyre-outside (ruby, sapphire, emerald),abundant-shrine-area (black, white, black-2, white-2)",vulpix,ground
39,Jigglypuff,"normal,fairy","poison,steel","bug,dark","dragon,ghost","johto-route-34-area (crystal),johto-route-35-area (crystal),johto-route-46-area (gold, silver),kanto-route-3-area (red, blue, gold, silver, firered, leafgreen, heartgold, soulsilver),kanto-route-4-area (gold, silver, heartgold, soulsilver),kanto-route-5-area (yellow, crystal),kanto-route-6-area (yellow, crystal),kanto-route-7-area (yellow, crystal),kanto-route-8-area (yellow, crystal),hoenn-route-115-area (ruby, sapphire, emerald),dreamyard-area (black-2, white-2),dreamyard-b1f (black-2, white-2),unova-route-1-area (black-2, white-2),unova-route-2-area (black-2, white-2),unova-route-14-area (black, white),kalos-route-20-area (x, y),pokemon-village-area (x, y)",jigglypuff,fairy
40,Wigglytuff,"normal,fairy","poison,steel","bug,dark","dragon,ghost","cerulean-cave-2f (red, blue),dreamyard-area (black-2, white-2),unova-route-1-area (black-2, white-2),unova-route-2-area (black-2, white-2),unova-route-14-area (black, white)",wigglytuff,fairy
36,Clefable,fairy,"poison,steel","bug,dark,fighting",dragon,"giant-chasm-outside (black-2, white-2),giant-chasm-forest (black, white, black-2, white-2),giant-chasm-forest-cave (black-2, white-2)",clefable,fairy
46,Paras,"bug,grass","bug,fire,fire,flying,flying,ice,poison,rock","electric,fighting,grass,grass,ground,ground,water",none,"ilex-forest-area (gold, silver, crystal, heartgold, soulsilver),mt-moon-1f (red, blue, gold, silver, crystal, firered, leafgreen, heartgold, soulsilver),mt-moon-2f (heartgold, soulsilver),mt-moon-b1f (red, blue, yellow, firered, leafgreen),mt-moon-b2f (red, blue, yellow, firered, leafgreen),kanto-safari-zone-middle (yellow),kanto-safari-zone-area-1-east (red, blue, firered, leafgreen),kanto-safari-zone-area-2-north (red, blue, firered, leafgreen)",paras,"bug,plant"
45,Vileplume,"grass,poison","fire,flying,ice,psychic","electric,fairy,fighting,grass,grass,water",none,,vileplume,plant
