Name,Description,Old Name,Old Description
Unnerve,,unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.
Defiant,,defiant,Boosts the Pokémon’s Attack stat sharply when its stats are lowered.
Defeatist,,defeatist,Halves the Pokémon’s Attack and Sp. Atk stats when its HP becomes half or less.
Cursed Body,,cursed-body,May disable a move used on the Pokémon.
Healer,,healer,Sometimes heals an ally’s status condition.
Friend Guard,,friend-guard,Reduces damage done to allies.
Weak Armor,,weak-armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.
Heavy Metal,,heavy-metal,Doubles the Pokémon’s weight.
Light Metal,,light-metal,Halves the Pokémon’s weight.
Multiscale,,multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.
Toxic Boost,,toxic-boost,Powers up physical attacks when the Pokémon is poisoned.
Flare Boost,,flare-boost,Powers up special attacks when the Pokémon is burned.
Harvest,,harvest,May create another Berry after one is used.
Telepathy,,telepathy,Anticipates an ally’s attack and dodges it.
Moody,,moody,Raises one stat sharply and lowers another every turn.
Overcoat,,overcoat,Protects the Pokémon from things like sand hail and powder.
Poison Touch,,poison-touch,May poison a target when the Pokémon makes contact.
Regenerator,,regenerator,Restores a little HP when withdrawn from battle.
Big Pecks,,big-pecks,Protects the Pokémon from Defense-lowering effects.
Sand Rush,,sand-rush,Boosts the Pokémon’s Speed stat in a sandstorm.
Wonder Skin,,wonder-skin,Makes status moves more likely to miss.
Analytic,,analytic,Boosts move power when the Pokémon moves last.
Illusion,,illusion,Comes out disguised as the Pokémon in the party’s last spot.
Imposter,,imposter,The Pokémon transforms itself into the Pokémon it’s facing.
Infiltrator,,infiltrator,Passes through the opposing Pokémon’s barrier substitute and the like and strikes.
Mummy,,mummy,Contact with the Pokémon changes the attacker’s Ability to Mummy.
Moxie,,moxie,The Pokémon shows moxie and that boosts the Attack stat after knocking out any Pokémon.
Justified,,justified,Being hit by a Dark-type move boosts the Attack stat of the Pokémon for justice.
Rattled,,rattled,Dark- Ghost- and Bug-type moves scare the Pokémon and boost its Speed stat.
Magic Bounce,,magic-bounce,Reflects status moves instead of getting hit by them.
Sap Sipper,,sap-sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.
Prankster,,prankster,Gives priority to a status move.
Sand Force,,sand-force,Boosts the power of Rock- Ground- and Steel-type moves in a sandstorm.
Iron Barbs,,iron-barbs,Inflicts damage on the attacker upon contact with iron barbs.
Zen Mode,,zen-mode,Changes the Pokémon’s shape when HP is half or less.
Victory Star,,victory-star,Boosts the accuracy of its allies and itself.
Turboblaze,,turboblaze,Moves can be used on the target regardless of its Abilities.
Teravolt,,teravolt,Moves can be used on the target regardless of its Abilities.
Aroma Veil,,aroma-veil,Protects itself and its allies from attacks that limit their move choices.
Flower Veil,,flower-veil,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.
Cheek Pouch,,cheek-pouch,Restores HP as well when the Pokémon eats a Berry.
Protean,,protean,Changes the Pokémon’s type to the type of the move it’s about to use.
Fur Coat,,fur-coat,Halves the damage from physical moves.
Magician,,magician,The Pokémon steals the held item of a Pokémon it hits with a move.
Bulletproof,,bulletproof,Protects the Pokémon from some ball and bomb moves.
Competitive,,competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.
Strong Jaw,,strong-jaw,The Pokémon’s strong jaw boosts the power of its biting moves.
Refrigerate,,refrigerate,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.
Sweet Veil,,sweet-veil,Prevents itself and ally Pokémon from falling asleep.
Stance Change,,stance-change,The Pokémon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King’s Shield.
Gale Wings,,gale-wings,Gives priority to Flying-type moves when the Pokémon’s HP is full.
Mega Launcher,,mega-launcher,Powers up aura and pulse moves.
Grass Pelt,,grass-pelt,Boosts the Pokémon’s Defense stat on Grassy Terrain.
Symbiosis,,symbiosis,The Pokémon passes its item to an ally that has used up an item.
Tough Claws,,tough-claws,Powers up moves that make direct contact.
Pixilate,,pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.
Gooey,,gooey,Contact with the Pokémon lowers the attacker’s Speed stat.
Aerilate,,aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.
Parental Bond,,parental-bond,Parent and child each attacks.
Dark Aura,,dark-aura,Powers up each Pokémon’s Dark-type moves.
Fairy Aura,,fairy-aura,Powers up each Pokémon’s Fairy-type moves.
Aura Break,,aura-break,The effects of “Aura” Abilities are reversed to lower the power of affected moves.
Primordial Sea,,primordial-sea,The Pokémon changes the weather to nullify Fire-type attacks.
Desolate Land,,desolate-land,The Pokémon changes the weather to nullify Water-type attacks.
Delta Stream,,delta-stream,The Pokémon changes the weather to eliminate all of the Flying type’s weaknesses.
Stamina,,stamina,Boosts the Defense stat when hit by an attack.
Wimp Out,,wimp-out,The Pokémon cowardly switches out when its HP becomes half or less.
Emergency Exit,,emergency-exit,The Pokémon sensing danger switches out when its HP becomes half or less.
Water Compaction,,water-compaction,Boosts the Pokémon’s Defense stat sharply when hit by a Water-type move.
Merciless,,merciless,The Pokémon’s attacks become critical hits if the target is poisoned.
Shields Down,,shields-down,When its HP becomes half or less the Pokémon’s shell breaks and it becomes aggressive.
Stakeout,,stakeout,Doubles the damage dealt to the target’s replacement if the target switches out.
Water Bubble,,water-bubble,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.
Steelworker,,steelworker,Powers up Steel-type moves.
Berserk,,berserk,Boosts the Pokémon’s Sp. Atk stat when it takes a hit that causes its HP to become half or less.
Slush Rush,,slush-rush,Boosts the Pokémon’s Speed stat in a hailstorm.
Long Reach,,long-reach,The Pokémon uses its moves without making contact with the target.
Liquid Voice,,liquid-voice,All sound-based moves become Water-type moves.
Triage,,triage,Gives priority to a healing move.
Galvanize,,galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.
Surge Surfer,,surge-surfer,Doubles the Pokémon’s Speed stat on Electric Terrain.
Schooling,,schooling,When it has a lot of HP the Pokémon forms a powerful school. It stops schooling when its HP is low.
Disguise,,disguise,Once per battle the shroud that covers the Pokémon can protect it from an attack.
Battle Bond,,battle-bond,Defeating an opposing Pokémon strengthens the Pokémon’s bond with its Trainer and it becomes Ash-Greninja. Water Shuriken gets more powerful.
Power Construct,,power-construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.
Corrosion,,corrosion,The Pokémon can poison the target even if it’s a Steel or Poison type.
Comatose,,comatose,It’s always drowsing and will never wake up. It can attack without waking up.
Queenly Majesty,,queenly-majesty,Its majesty pressures the opposing Pokémon making it unable to attack using priority moves.
Innards Out,,innards-out,Damages the attacker landing the finishing hit by the amount equal to its last HP.
Dancer,,dancer,When another Pokémon uses a dance move it can use a dance move following it regardless of its Speed.
Battery,,battery,Powers up ally Pokémon’s special moves.
Fluffy,,fluffy,Halves the damage taken from moves that make direct contact but doubles that of Fire-type moves.
Dazzling,,dazzling,Surprises the opposing Pokémon making it unable to attack using priority moves.
Soul-Heart,,soul-heart,Boosts its Sp. Atk stat every time a Pokémon faints.
Tangling Hair,,tangling-hair,Contact with the Pokémon lowers the attacker’s Speed stat.
Receiver,,receiver,The Pokémon copies the Ability of a defeated ally.
Power of Alchemy,,power-of-alchemy,The Pokémon copies the Ability of a defeated ally.
Beast Boost,,beast-boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
RKS System,,rks-system,Changes the Pokémon’s type to match the memory disc it holds.
Electric Surge,,electric-surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.
Psychic Surge,,psychic-surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.
Misty Surge,,misty-surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.
Grassy Surge,,grassy-surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.
Full Metal Body,,full-metal-body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
Shadow Shield,,shadow-shield,Reduces the amount of damage the Pokémon takes while its HP is full.
Prism Armor,,prism-armor,Reduces the power of supereffective attacks taken.
Neuroforce,,neuroforce,Powers up moves that are super effective.
