id,identifier,name,flavor_text,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
41,twineedle,Twineedle,The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.,1,7,25,20,100,0,10,2,78,20,1,9,7
42,pin-missile,Pin Missile,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,1,7,25,20,95,0,10,2,30,,1,10,7
43,leer,Leer,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.,1,1,,30,100,0,11,1,20,100,1,24,19
44,bite,Bite,The target is bitten with viciously sharp fangs. This may also make the target flinch.,1,17,60,25,100,0,10,2,32,30,5,5,5
45,growl,Growl,The user growls in an endearing way making opposing Pokémon less wary. This lowers their Attack stat.,1,1,,40,100,0,11,1,19,,3,28,19
46,roar,Roar,The target is scared off and a different Pokémon is dragged out. In the wild this ends a battle against a single Pokémon.,1,1,,20,,-6,10,1,29,,1,21,19
47,sing,Sing,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.,1,1,,15,55,0,10,1,2,,3,18,19
48,supersonic,Supersonic,The user generates odd sound waves from its body that confuse the target.,1,1,,20,55,0,10,1,50,,4,21,19
49,sonic-boom,Sonic Boom,The target is hit with a destructive shock wave that always inflicts 20 HP damage.,1,1,,20,90,0,10,3,131,,1,12,5
50,disable,Disable,For four turns this move prevents the target from using the move it last used.,1,1,,20,100,0,10,1,87,,4,18,19
51,acid,Acid,The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat.,1,4,40,30,100,0,11,3,73,10,4,4,5
52,ember,Ember,The target is attacked with small flames. This may also leave the target with a burn.,1,10,40,25,100,0,10,3,5,10,2,1,5
53,flamethrower,Flamethrower,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,1,10,90,15,100,0,10,3,5,10,2,1,17
54,mist,Mist,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,1,15,,30,,0,4,1,47,,2,15,13
55,water-gun,Water Gun,The target is blasted with a forceful shot of water.,1,11,40,25,100,0,10,3,1,,3,1,5
56,hydro-pump,Hydro Pump,The target is blasted by a huge volume of water launched under great pressure.,1,11,110,5,80,0,10,3,1,,2,1,17
57,surf,Surf,The user attacks everything around it by swamping its surroundings with a giant wave.,1,11,90,15,100,0,9,3,258,,2,2,17
58,ice-beam,Ice Beam,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,1,15,90,10,100,0,10,3,6,10,2,23,17
59,blizzard,Blizzard,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,1,15,110,5,70,0,11,3,261,10,2,1,17
60,psybeam,Psybeam,The target is attacked with a peculiar ray. This may also leave the target confused.,1,14,65,20,100,0,10,3,77,10,2,21,17
61,bubble-beam,Bubble Beam,A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat.,1,11,65,20,100,0,10,3,71,10,2,5,2
62,aurora-beam,Aurora Beam,The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.,1,15,65,20,100,0,10,3,69,10,2,23,17
63,hyper-beam,Hyper Beam,The target is attacked with a powerful beam. The user can’t move on the next turn.,1,1,150,5,90,0,10,3,81,,1,6,22
64,peck,Peck,The target is jabbed with a sharply pointed beak or horn.,1,3,35,35,100,0,10,2,1,,1,1,5
65,drill-peck,Drill Peck,A corkscrewing attack with a sharp beak acting as a drill.,1,3,80,20,100,0,10,2,1,,1,1,5
66,submission,Submission,The user grabs the target and recklessly dives for the ground. This also damages the user a little.,1,2,80,20,80,0,10,2,49,,1,3,5
67,low-kick,Low Kick,A powerful low kick that makes the target fall over. The heavier the target the greater the move’s power.,1,2,,20,100,0,10,2,197,,5,4,5
68,counter,Counter,A retaliation move that counters any physical attack inflicting double the damage taken.,1,2,,20,100,-5,1,2,90,,5,16,15
69,seismic-toss,Seismic Toss,The target is thrown using the power of gravity. It inflicts damage equal to the user’s level.,1,2,,20,100,0,10,2,88,,5,23,5
70,strength,Strength,The target is slugged with a punch thrown at maximum power.,1,1,80,15,100,0,10,2,1,,5,23,5
71,absorb,Absorb,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,1,12,20,25,100,0,10,3,4,,4,9,20
72,mega-drain,Mega Drain,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,1,12,40,15,100,0,10,3,4,,4,4,20
73,leech-seed,Leech Seed,A seed is planted on the target. It steals some HP from the target every turn.,1,12,,10,90,0,10,1,85,,4,8,21
74,growth,Growth,The user’s body grows all at once raising the Attack and Sp. Atk stats.,1,1,,20,,0,7,1,317,,2,32,11
75,razor-leaf,Razor Leaf,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily.,1,12,55,25,95,0,11,2,44,,1,2,5
76,solar-beam,Solar Beam,In this two-turn attack the user gathers light then blasts a bundled beam on the next turn.,1,12,120,10,100,0,10,3,152,,1,1,6
77,poison-powder,Poison Powder,The user scatters a cloud of poisonous dust that poisons the target.,1,4,,35,75,0,10,1,67,,4,33,19
78,stun-spore,Stun Spore,The user scatters a cloud of numbing powder that paralyzes the target.,1,12,,30,75,0,10,1,68,,4,14,19
79,sleep-powder,Sleep Powder,The user scatters a big cloud of sleep-inducing dust around the target.,1,12,,15,75,0,10,1,2,,4,5,19
80,petal-dance,Petal Dance,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.,1,12,120,10,100,0,8,3,28,,2,6,21
81,string-shot,String Shot,The opposing Pokémon are bound with silk blown from the user’s mouth that harshly lowers the Speed stat.,1,7,,40,95,0,11,1,61,,4,9,19
82,dragon-rage,Dragon Rage,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.,1,16,,10,100,0,10,3,42,,1,26,5
83,fire-spin,Fire Spin,The target becomes trapped within a fierce vortex of fire that rages for four to five turns.,1,10,35,15,85,0,10,3,43,100,2,24,21
84,thunder-shock,Thunder Shock,A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.,1,13,40,30,100,0,10,3,7,10,1,1,5
85,thunderbolt,Thunderbolt,A strong electric blast crashes down on the target. This may also leave the target with paralysis.,1,13,90,15,100,0,10,3,7,10,1,1,17
86,thunder-wave,Thunder Wave,The user launches a weak jolt of electricity that paralyzes the target.,1,13,,20,90,0,10,1,68,,1,14,19
87,thunder,Thunder,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.,1,13,110,10,70,0,10,3,153,30,1,8,17
88,rock-throw,Rock Throw,The user picks up and throws a small rock at the target to attack.,1,6,50,15,90,0,10,2,1,,5,12,5
89,earthquake,Earthquake,The user sets off an earthquake that strikes every Pokémon around it.,1,5,100,10,100,0,9,2,148,,5,5,18
90,fissure,Fissure,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.,1,5,,5,30,0,10,2,39,,5,14,9
91,dig,Dig,The user burrows then attacks on the next turn.,1,5,80,10,100,0,10,2,257,,4,15,6
92,toxic,Toxic,A move that leaves the target badly poisoned. Its poison damage worsens every turn.,1,4,,10,90,0,10,1,34,,4,33,19
93,confusion,Confusion,The target is hit by a weak telekinetic force. This may also confuse the target.,1,14,50,25,100,0,10,3,77,10,4,9,5
94,psychic,Psychic,The target is hit by a strong telekinetic force. This may also lower the target’s Sp. Def stat.,1,14,90,10,100,0,10,3,73,10,4,5,17
95,hypnosis,Hypnosis,The user employs hypnotic suggestion to make the target fall into a deep sleep.,1,14,,20,60,0,10,1,2,,4,5,19
96,meditate,Meditate,The user meditates to awaken the power deep within its body and raise its Attack stat.,1,14,,40,,0,7,1,11,,2,32,11
97,agility,Agility,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.,1,14,,30,,0,7,1,53,,1,30,1
98,quick-attack,Quick Attack,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.,1,1,40,30,100,1,10,2,104,,1,30,1
99,rage,Rage,As long as this move is in use the power of rage raises the Attack stat each time the user is hit in battle.,1,1,20,20,100,0,10,2,82,,1,17,11
100,teleport,Teleport,Use it to flee from any wild Pokémon.,1,14,,20,,-6,7,1,154,,1,15,1
101,night-shade,Night Shade,The user makes the target see a frightening mirage. It inflicts damage equal to the user’s level.,1,8,,15,100,0,10,3,88,,4,23,5
102,mimic,Mimic,The user copies the target’s last move. The move can be used during battle until the Pokémon is switched out.,1,1,,10,,0,10,1,83,,3,19,12
103,screech,Screech,An earsplitting screech harshly lowers the target’s Defense stat.,1,1,,40,85,0,10,1,60,,4,5,10
104,double-team,Double Team,By moving rapidly the user makes illusory copies of itself to raise its evasiveness.,1,1,,15,,0,7,1,17,,1,16,1
105,recover,Recover,Restoring its own cells the user restores its own HP by half of its max HP.,1,1,,10,,0,7,1,33,,4,23,8
106,harden,Harden,The user stiffens all the muscles in its body to raise its Defense stat.,1,1,,30,,0,7,1,12,,5,16,13
107,minimize,Minimize,The user compresses its body to make itself look smaller which sharply raises its evasiveness.,1,1,,10,,0,7,1,109,,3,16,13
108,smokescreen,Smokescreen,The user releases an obscuring cloud of smoke or ink. This lowers the target’s accuracy.,1,1,,20,100,0,10,1,24,,4,22,10
109,confuse-ray,Confuse Ray,The target is exposed to a sinister ray that triggers confusion.,1,8,,10,100,0,10,1,50,,4,21,10
110,withdraw,Withdraw,The user withdraws its body into its hard shell raising its Defense stat.,1,11,,40,,0,7,1,12,,3,15,13
111,defense-curl,Defense Curl,The user curls up to conceal weak spots and raise its Defense stat.,1,1,,40,,0,7,1,157,,3,16,13
112,barrier,Barrier,The user throws up a sturdy wall that sharply raises its Defense stat.,1,14,,20,,0,7,1,52,,1,15,13
113,light-screen,Light Screen,A wondrous wall of light is put up to reduce damage from special attacks for five turns.,1,14,,30,,0,4,1,36,,2,15,13
114,haze,Haze,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.,1,15,,30,,0,12,1,26,,2,33,13
115,reflect,Reflect,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.,1,14,,20,,0,4,1,66,,4,15,13
116,focus-energy,Focus Energy,The user takes a deep breath and focuses so that critical hits land more easily.,1,1,,30,,0,7,1,48,,1,5,11
117,bide,Bide,The user endures attacks for two turns then strikes back to cause double the damage taken.,1,1,,10,,1,7,2,27,,5,15,15
118,metronome,Metronome,The user waggles a finger and stimulates its brain into randomly using nearly any move.,1,1,,10,,0,7,1,84,,3,17,14
119,mirror-move,Mirror Move,The user counters the target by mimicking the target’s last move.,1,3,,20,,0,10,1,10,,4,19,15
120,self-destruct,Self-Destruct,The user attacks everything around it by causing an explosion. The user faints upon using this move.,1,1,200,5,100,0,9,2,8,,2,7,9
121,egg-bomb,Egg Bomb,A large egg is hurled at the target with maximum force to inflict damage.,1,1,100,10,75,0,10,2,1,,5,1,5
122,lick,Lick,The target is licked with a long tongue causing damage. This may also leave the target with paralysis.,1,8,30,30,100,0,10,2,7,30,5,4,16
123,smog,Smog,The target is attacked with a discharge of filthy gases. This may also poison the target.,1,4,30,20,70,0,10,3,3,40,5,5,5
124,sludge,Sludge,Unsanitary sludge is hurled at the target. This may also poison the target.,1,4,65,20,100,0,10,3,3,30,5,4,18
125,bone-club,Bone Club,The user clubs the target with a bone. This may also make the target flinch.,1,5,65,20,85,0,10,2,32,10,5,10,5
126,fire-blast,Fire Blast,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.,1,10,110,5,85,0,10,3,5,10,2,1,17
127,waterfall,Waterfall,The user charges at the target and may make it flinch.,1,11,80,15,100,0,10,2,32,20,5,28,5
128,clamp,Clamp,The target is clamped and squeezed by the user’s very thick and sturdy shell for four to five turns.,1,11,35,15,85,0,10,2,43,100,5,24,5
129,swift,Swift,Star-shaped rays are shot at the opposing Pokémon. This attack never misses.,1,1,60,20,,0,11,3,18,,1,27,17
130,skull-bash,Skull Bash,The user tucks in its head to raise its Defense stat on the first turn then rams the target on the next turn.,1,1,130,10,100,0,10,2,146,100,5,4,6
131,spike-cannon,Spike Cannon,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,1,1,20,15,100,0,10,2,30,,1,10,7
132,constrict,Constrict,The target is attacked with long creeping tentacles vines or the like. This may also lower the target’s  Speed stat.,1,1,10,35,100,0,10,2,71,10,5,9,21
133,amnesia,Amnesia,The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.,1,14,,20,,0,7,1,55,,3,32,11
134,kinesis,Kinesis,The user distracts the target by bending a spoon. This lowers the target’s accuracy.,1,14,,15,80,0,10,1,24,,4,24,11
135,soft-boiled,Soft-Boiled,The user restores its own HP by up to half of its max HP.,1,1,,10,,0,7,1,33,,2,1,8
136,high-jump-kick,High Jump Kick,The target is attacked with a knee kick from a jump. If it misses the user is hurt instead.,1,2,130,10,90,0,10,2,46,,1,3,5
137,glare,Glare,The user intimidates the target with the pattern on its belly to cause paralysis.,1,1,,30,100,0,10,1,68,,5,5,19
138,dream-eater,Dream Eater,The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.,1,14,100,15,100,0,10,3,9,,4,8,20
139,poison-gas,Poison Gas,A cloud of poison gas is sprayed in the face of opposing Pokémon poisoning those hit.,1,4,,40,90,0,11,1,67,,4,33,5
140,barrage,Barrage,Round objects are hurled at the target to strike two to five times in a row.,1,1,15,20,85,0,10,2,30,,5,12,7
141,leech-life,Leech Life,The user drains the target’s blood. The user’s HP is restored by half the damage taken by the target.,1,7,80,10,100,0,10,2,4,,4,9,20
142,lovely-kiss,Lovely Kiss,With a scary face the user tries to force a kiss on the target. If it succeeds the target falls asleep.,1,1,,10,75,0,10,1,2,,2,5,19
143,sky-attack,Sky Attack,A second-turn attack move where critical hits land more easily. This may also make the target flinch.,1,3,140,5,90,0,10,2,76,30,1,2,6
144,transform,Transform,The user transforms into a copy of the target right down to having the same move set.,1,1,,10,,0,10,1,58,,4,17,23
145,bubble,Bubble,A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.,1,11,40,30,100,0,11,3,71,10,3,8,2
146,dizzy-punch,Dizzy Punch,The target is hit with rhythmically launched punches. This may also leave the target confused.,1,1,70,10,100,0,10,2,77,20,1,4,16
147,spore,Spore,The user scatters bursts of spores that induce sleep.,1,12,,15,100,0,10,1,2,,2,5,10
148,flash,Flash,The user flashes a bright light that cuts the target’s accuracy.,1,1,,20,100,0,10,1,24,,2,22,10
149,psywave,Psywave,The target is attacked with an odd psychic wave. The attack varies in intensity.,1,14,,15,100,0,10,3,89,,4,14,5
150,splash,Splash,The user just flops and splashes around to no effect at all...,1,1,,40,,0,7,1,86,,3,28,16
151,acid-armor,Acid Armor,The user alters its cellular structure to liquefy itself sharply raising its Defense stat.,1,4,,20,,0,7,1,52,,5,32,11
152,crabhammer,Crabhammer,The target is hammered with a large pincer. Critical hits land more easily.,1,11,100,10,90,0,10,2,44,,5,2,18
153,explosion,Explosion,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.,1,1,250,5,100,0,9,2,8,,2,7,9
154,fury-swipes,Fury Swipes,The target is raked with sharp claws or scythes quickly two to five times in a row.,1,1,18,15,80,0,10,2,30,,5,10,7
155,bonemerang,Bonemerang,The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.,1,5,50,10,90,0,10,2,45,,5,1,7
156,rest,Rest,The user goes to sleep for two turns. This fully restores the user’s HP and heals any status conditions.,1,14,,10,,0,7,1,38,,3,16,8
157,rock-slide,Rock Slide,Large boulders are hurled at the opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.,1,6,75,10,90,0,11,2,32,30,5,5,5
158,hyper-fang,Hyper Fang,The user bites hard on the target with its sharp front fangs. This may also make the target flinch.,1,1,80,15,90,0,10,2,32,10,1,4,18
159,sharpen,Sharpen,The user makes its edges more jagged  which raises its Attack stat.,1,1,,30,,0,7,1,11,,3,32,11
160,conversion,Conversion,The user changes its type to become the same type as the move at the top of the list of moves it knows.,1,1,,30,,0,7,1,31,,2,12,23
161,tri-attack,Tri Attack,The user strikes with a simultaneous three-beam attack. May also burn freeze or paralyze the target.,1,1,80,10,100,0,10,3,37,20,2,8,5
162,super-fang,Super Fang,The user chomps hard on the target with its sharp front fangs. This cuts the target’s HP in half.,1,1,,10,90,0,10,2,41,,5,14,5
163,slash,Slash,The target is attacked with a slash of claws or blades. Critical hits land more easily.,1,1,70,20,100,0,10,2,44,,1,2,5
164,substitute,Substitute,The user makes a copy of itself using some of its HP. The copy serves as the user’s decoy.,1,1,,10,,0,7,1,80,,4,16,23
165,struggle,Struggle,This attack is used in desperation only if the user has no PP. It also damages the user a little.,1,1,50,1,,0,8,2,255,,1,1,5
166,sketch,Sketch,It enables the user to permanently learn the move last used by the target. Once used Sketch disappears.,2,1,,1,,0,10,1,96,,4,19,23
167,triple-kick,Triple Kick,A consecutive three-kick attack that becomes more powerful with each successful hit.,2,2,10,10,90,0,10,2,105,,1,1,7
168,thief,Thief,The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item.,2,17,60,25,100,0,10,2,106,,5,20,12
169,spider-web,Spider Web,The user ensnares the target with thin gooey silk so it can’t flee from battle.,2,7,,10,,0,10,1,107,,4,18,13
170,mind-reader,Mind Reader,The user senses the target’s movements with its mind to ensure its next attack does not miss the target.,2,1,,5,,0,10,1,95,,4,24,20
171,nightmare,Nightmare,A sleeping target sees a nightmare that inflicts some damage every turn.,2,8,,15,100,0,10,1,108,,4,5,19
172,flame-wheel,Flame Wheel,The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.,2,10,60,25,100,0,10,2,126,10,2,1,7
173,snore,Snore,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.,2,1,50,15,100,0,10,3,93,30,3,1,5
174,curse,Curse,A move that works differently for the Ghost type than for all other types.,2,8,,10,,0,1,1,110,,5,31,21
175,flail,Flail,The user flails about aimlessly to attack. The less HP the user has the greater the move’s power.,2,1,,15,100,0,10,2,100,,3,26,15
176,conversion-2,Conversion 2,The user changes its type to make itself resistant to the type of the attack the opponent used last.,2,1,,30,,0,10,1,94,,2,12,23
177,aeroblast,Aeroblast,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.,2,3,100,5,95,0,10,3,44,,1,2,22
178,cotton-spore,Cotton Spore,The user releases cotton-like spores that cling to the opposing Pokémon which harshly lowers their Speed stat.,2,12,,40,100,0,11,1,61,,2,10,1
179,reversal,Reversal,An all-out attack that becomes more powerful the less HP the user has.,2,2,,15,100,0,10,2,100,,1,28,15
180,spite,Spite,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.,2,8,,10,100,0,10,1,101,,5,26,19
181,powder-snow,Powder Snow,The user attacks with a chilling gust of powdery snow. This may also freeze the opposing Pokémon.,2,15,40,25,100,0,11,3,6,10,2,1,5
182,protect,Protect,Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.,2,1,,10,,4,7,1,112,,3,15,16
183,mach-punch,Mach Punch,The user throws a punch at blinding speed. This move always goes first.,2,2,40,30,100,1,10,2,104,,1,30,1
184,scary-face,Scary Face,The user frightens the target with a scary face to harshly lower its Speed stat.,2,1,,10,100,0,10,1,61,,5,10,2
185,feint-attack,Feint Attack,The user approaches the target disarmingly then throws a sucker punch. This attack never misses.,2,17,60,20,,0,10,2,18,,4,27,18
186,sweet-kiss,Sweet Kiss,The user kisses the target with a sweet angelic cuteness that causes confusion.,2,18,,10,75,0,10,1,50,,3,18,19
187,belly-drum,Belly Drum,The user maximizes its Attack stat in exchange for HP equal to half its max HP.,2,1,,10,,0,7,1,143,,3,32,11
188,sludge-bomb,Sludge Bomb,Unsanitary sludge is hurled at the target. This may also poison the target.,2,4,90,10,100,0,10,3,3,30,5,10,18
189,mud-slap,Mud-Slap,The user hurls mud in the target’s face to inflict damage and lower its accuracy.,2,5,20,10,100,0,10,3,74,100,3,10,5
190,octazooka,Octazooka,The user attacks by spraying ink in the target’s face or eyes. This may also lower the target’s accuracy.,2,11,65,10,85,0,10,3,74,50,5,10,4
191,spikes,Spikes,The user lays a trap of spikes at the opposing team’s feet. The trap hurts Pokémon that switch into battle.,2,5,,20,,0,6,1,113,,4,18,13
192,zap-cannon,Zap Cannon,The user fires an electric blast like a cannon to inflict damage and cause paralysis.,2,13,120,5,50,0,10,3,7,100,1,1,4
193,foresight,Foresight,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.,2,1,,40,,0,10,1,114,,4,33,20
194,destiny-bond,Destiny Bond,After using this move if the user faints the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession.,2,8,,5,,0,7,1,99,,4,7,9
195,perish-song,Perish Song,Any Pokémon that hears this song faints in three turns unless it switches out of battle.,2,1,,5,,0,14,1,115,,2,14,10
196,icy-wind,Icy Wind,The user attacks with a gust of chilled air. This also lowers the opposing Pokémon’s Speed stats.,2,15,55,15,95,0,11,3,71,100,2,5,2
197,detect,Detect,Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.,2,2,,5,,4,7,1,112,,1,16,16
198,bone-rush,Bone Rush,The user strikes the target with a hard bone two to five times in a row.,2,5,25,10,90,0,10,2,30,,5,1,7
199,lock-on,Lock-On,The user takes sure aim at the target. This ensures the next attack does not miss the target.,2,1,,5,,0,10,1,95,,4,24,20
200,outrage,Outrage,The user rampages and attacks for two to three turns. The user then becomes confused.,2,16,120,10,100,0,8,2,28,,1,6,7
201,sandstorm,Sandstorm,A five-turn sandstorm is summoned to hurt all combatants except the Rock Ground and Steel types. It raises the Sp. Def stat of Rock types.,2,6,,10,,0,12,1,116,,5,21,13
202,giga-drain,Giga Drain,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,2,12,75,10,100,0,10,3,4,,4,10,20
203,endure,Endure,The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.,2,1,,10,,4,7,1,117,,5,16,13
204,charm,Charm,The user gazes at the target rather charmingly making it less wary. This harshly lowers its Attack stat.,2,18,,20,100,0,10,1,59,,3,23,19
205,rollout,Rollout,The user continually rolls into the target over five turns. It becomes more powerful each time it hits.,2,6,30,20,90,0,10,2,118,,5,24,7
206,false-swipe,False Swipe,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.,2,1,40,40,100,0,10,2,102,,1,5,16
207,swagger,Swagger,The user enrages and confuses the target. However this also sharply raises the target’s Attack stat.,2,1,,15,85,0,10,1,119,,3,27,19
208,milk-drink,Milk Drink,The user restores its own HP by up to half of its max HP.,2,1,,10,,0,7,1,33,,3,12,8
