[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Hito]	[MBTI]	[Loves]	[Hates]	[Description]	[Characteristic]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Eevee Sylveon	Female	Lyra	Chronos	74872117	20/05/1986	WOL, Grass Continent	Chronos Vice-Leader	Hetero	Sub	Bottom	88	20	40	Rialto Ste'd #f731f0	Ryan Bartley/Wakana Minami		ENFP																							
Eevee Sylveon	Male			71382850	09/11/1995																																			
Eevee Umbreon	Female			81209830	22/08/1990																																			
Eevee Umbreon	Male	Kosuke	Toriumi	55876207	30/09/1995	WOL, Mist Continent	Magnagate Scientist	Bi	Dom	Top	111	29	30	Polymer #353535	Tom Bauer/Kosuke Toriumi		INTP			Red eyes with blue pupils, yellow stripes are pale, black fur instead of navy.		65	65	65	110	130	90	70	Dark	Fairy	Bold	Entercards (19): Summon long-range dungeons from ley lines using 4 cards.	Foul Play: (95/AT/Dark) Uses foe's AT instead of user's ~ Toxic (Poison) Badly poisons foe ~ Assurance (60/AT/Dark) Double power if foe has been hurt in the same turn ~ New Moon (Normal) Heals 0% HP at midday, 100% HP at midnight	Yamidakunai: (190/AT/Dark) +1 Priority	Magin Sync: Reflects status conditions		None	Leaves foes intoxicated and hurt for the team to finish, and moves to the next.	Without team and items, helpless.	Wife: Ai Nonaka
Eevee Vaporeon	Female			80713401	18/11/1974																																			
Eevee Vaporeon	Male			70267200	31/05/1978																																			
Ekans Arbok	Male			97774062	12/04/1983																																			
Emolga	Female			13306547	15/11/1993																																			
Emolga	Male			72336600	11/06/1972																																			
Fennekin Braixen Delphox	Female			78212224	15/09/2010																																			
Fletchling Fletchinder Talonflame	Female			49844071	29/08/1979																																			
Fomantis Lurantis	Female			16172888	28/11/2006																																			
Froakie Frogadier Greninja	Male			25289480	21/11/1981																																			
Furfrou	Female			33542125	19/04/1989																																			
Gastly Haunter Gengar	Male			89989104	01/09/1974																																			
Genesect	Male	Sid	Tensei	37534090	08/02/2008	WOD, Texas, Houston	Fugitive	Unknown	Unknown	Unknown	228	156	Unknown	Xanadu #5e3b71	Andrew Russel/Kouji Ishii		INFJ																							
Gible Gabite Garchomp	Male	Hankari	Park	33695810	31/07/2006	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Top	202	107	73	Duvall #44359c	Kirk Thornton/Ken Uo		ISTJ																							
Giratina	Male	Samael	Amphithere	35779100	27/04/1988	WOL, Mystery Continent	Dimension Guard	Hetero	Dom	Switch	703	694	139	Corben #cb1c1b	Bob Carter/Junichi Suwabe		ENTP																							
Golett Golurk	Male			16795075	15/12/1982																																			
Goomy Sliggoo Goodra	Male			27590845	15/05/1993																																			
Groudon	Male	Behemoth	Mikado	99770697	01/10/2010	WOL, Mystery Continent	Weather Guard	Hetero	Dom	Bottom	354	996	75	Souvenir #f65439	Phillip Reich/Yoshikazu Nagano		ESTP																							
Gurdurr	Male			27363654	14/10/1983																																			
Heatmor	Male			80823390	18/04/1981																																			
Helioptile Heliolisk	Male			20869029	18/10/1991																																			
Ho-Oh	Female	Fenhuang	Estrus	13225966	17/06/2006	WOL, Mystery Continent	WOD Sky Guard Leader	Hetero	Sub	Bottom	320	144	115	Kyma #f69b16	Cindy Robinson/Miyuki Sawashiro		ESFJ																							
Igglybuff Jigglypuff Wigglytuff	Male			81438841	15/01/1991																																			
Jangmo-o Hakamo-o Kommo-o	Male			63665378	16/01/1984																																			
Jirachi	Female			95478305	27/02/2009																																			
Joltik Galvantula	Male			13722937	12/08/1977																																			
Joltik Galvantula	Female			63046529	11/08/2006																																			
Kartana	Unknown			84265650	23/03/1971																																			
Keldeo	Male	Lewis	Kelpie	52656156	11/01/1977	WOD, UK, Scotland, Edinburgh	Arms Dealer	Bi	Sub	Top	137	42	60	Helvetica Neue #6de7e9	Landon McDonald/Atsushi Abe		ENFJ																							
Kyogre	Male	Leviathan	Mikado	11020341	12/03/1994	WOL, Mystery Continent	Weather Guard	Hetero	Dom	Bottom	488	360	87	Classica #0935c8	Peter Beckman/Kenta Miyake		ESTP																							
Kyurem	Unknown	Wuji	Zettairedo	87437405	17/08/1984	WOL, Mystery Continent	Mystery Continent Dungeon Keeper	Unknown	Unknown	Unknown	301	324	132	Bodoni #8db8dd	Dave Fennoy/Mitsuru Ogata		INFJ																							
Lapras	Female			27328982	05/08/1970																																			
Larvesta Volcarona	Female			67755572	01/10/1981																																			
Larvitar Pupitar Tyranitar	Male			72793150	06/03/2004																																			
Latias	Female	Floras	Overfield	15067769	15/06/2000	WOD, Italy, Lombardy, Monza	Weapon	Bi	Sub	Switch	129	33	64	Onryu #ebbe1d	Lisa Ortiz/Kazuna Sayaka		INFP																							
Latios	Male	Flaros	Overfield	95287268	09/09/1998	WOD, Italy, Lombardy, Pavia	Haruna Fujisancho Administrator	Bi	Dom	Switch	211	64	66	Hakidame #1100f5	Steven Ogg/Take Tora		INTP																							
Lillipup Herdier Stoutland	Male			11155524	05/02/1993																																			
Litten Torracat Incineroar	Female			40573995	11/01/2007																																			
Litwick Lampent Chandelure	Male			13132009	20/11/1979																																			
Lugia	Male	Ryuujin	Estrus	22204428	01/07/1953	WOL, Mystery Continent	WOD Ocean Guard Leader	Bi	Dom	Switch	600	341	204	Criticized #a8bde2	Christopher Bevins/Toru Okawa		ESFP																							
Lunala	Female	Peahina	Houkuu	33139627	07/05/1996	WOL, Mystery Continent	Ultra Wormhole Guard	Hetero	Sub	Bottom	395	117	100	Sabor #6434c4	Xanthe Huynh/Ai Kayano		ISFJ																							
Mareep Flaaffy Ampharos	Male			92037653	24/09/1985																																			
Mareep Flaaffy Ampharos	Female			58051660	14/05/1972																																			
Marshadow	Male	Jake	Northstar	96433531	26/01/2006	WOD, USA, Illinois, Chicago	Martial Arts Trainer	Unknown	Unknown	Unknown	60	22	Unknown	Samdan #262c29			ISTP																							
Mawile	Female			96487310	26/10/1998																																			
Meditite Medicham	Female			14564578	28/01/2004																																			
Meloetta	Female			80867638	04/04/1979																																			
Mew	Both?	Libidine	Ludibrium	14378192	07/09/1991	WOL, Unknown	Geneticist	Bi	Switch	Switch	36	3	Unknown	MV Boli #e79cd1	Skyler Davenport/Hitomi Ueda		ESFP																							
Mewtwo	Female	Myuuichi	Jikken	21773830	26/01/1978	WOD, Unknown	Gene Tester	Hetero	Sub	Bottom	200	122	Unknown	Galaxy #7b3fac	Brittney Lee Harvey/Yukana Nogami		ESTJ																							
Mewtwo	Male	Myuurei	Jikken	61543177	09/09/1983	WOD, Unknown	Gene Tester	Hetero	Dom	Top	200	122	Unknown	Fusion #644380	Erik Kimerer/Masaya Fukunishi		ENTP																							
Mienfoo Mienshao	Female	Sheng	Zhandou	37472737	08/12/1984	WOD, China, Hebei, Beijing	Vice-President of Nuricom Alliance	Hetero	Sub	Switch	138	31	40	Parmapetit #f3f1a3	Jessica Straus/Eri Kitamura		ENTJ																							
Mienfoo Mienshao	Male			26334516	24/01/2004																																			
Milotic	Female			38765662	04/03/2001																																			
Milotic	Male			25364044	17/06/1986																																			
Minccino Cinccino	Male			69719590	20/09/1973																																			
Minccino Cinccino	Female			28327960	31/07/1985																																			
Minun	Male			91514131	21/11/2000																																			
Mudkip Marshtomp Swampert	Male			21678907	12/04/2009																																			
Munna Musharna	Female			35398788	10/02/1999																																			
Necrozma	Unknown	Cavum	Nirum	18633327	29/07/1988	WOL, Unknown	Nuricom Alliance Guard	Unknown	Unknown	Unknown	244	244	Unknown	Segoe #d5d5d5	Travis Willingham/Hiroki Yasumoto		ENTJ																							
Nidoran Nidorina Nidoqueen	Female			35891921	31/05/1983																																			
Nidoran Nidorino Nidoking	Male			16451106	05/03/1976																																			
Nihilego	Unknown			11137896	04/12/1998																																			
Noibat Noivern	Female	Fluctus	Pennae	33871920	03/10/1996	WOL, Water Continent	Sound Engineer	Hetero	Sub	Bottom	139	77	53	Bedlam #923ff6	Brianna Knickerbocker/Aya Endo		ISFP																							
Noibat Noivern	Male			61846344	17/07/1979																																			
Oricorio	Female			26058914	18/03/2010																																			
Oricorio	Male			74501165	26/02/2004																																			
Oshawott Dewott Samurott	Male	Dairou	Tengoku	74040426	03/05/2004	WOD, Japan, Kansai, Sekigahara	Tengoku Leader	Bi	Dom	Top	164	97	101	Libertinus Serif #5584e5	Griffin Burns/Masayuki Kato		INTP			Blue eyes, more vibrant colors, vine band on each arm.		100	110	90	100	70	70	71	Water	Steel	Relaxed	Hope Scarf: Enhanced Reunion Cape that allows teleportation ~ Mystic Water: Boosts Water moves	Tempest Blade: (25/AT/Water) Hits 3 to 5 times ~ Octopus Slash (10/AT/Water) Hits 8 times, +1 Crit chance ~ Hydro Pump (110/SA/Water) ~ Retaliate (70/AT/Normal) Double power if ally fainted	Zantetsuken (400/AT/Steel) 1 turn charge, +1 Priority	Torrent: Boosts Water moves in a pinch			Training with the Tempest Blade gives him an edge in the offensive.	Not very effective without Tsutami.	Wife: Tsutami Tengoku ~ Son: Tsutarou Tengoku
Oshawott Dewott Samurott	Male			13528376	08/11/2006																																			
Pachirisu	Female	Jeongi	Park	95312170	02/12/1996	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Switch	78	11	57	Southpaw #1eaac9	Reba Buhr/Ayane Sakura		ESTP																							
Palkia	Male	Shinju	Izanagi	87136214	22/05/1977	WOL, Mystery Continent	Dimension Guard	Hetero	Dom	Bottom	422	335	143	Comfortaa Sans #cc80c2	Mike Mcfarland/Kazuhiro Yamaji		INFJ																							
Pancham Pangoro	Male			78128671	26/09/1977																																			
Pawniard Bisharp	Male			55891011	23/04/1991																																			
Pawniard Bisharp	Male			25895495	24/08/1989																																			
Petilil Lilligant	Female			25891808	17/06/2002																																			
Pichu Pikachu Raichu (Alola)	Female	Nezumi	Tengoku	45345893	29/04/1992	WOL, Mist Continent	Tengoku Commander	Hetero	Sub	Bottom	71	19	19	Sitka #90decd	Christine Marie Cabanos/Shiori Mikami		ENFP																							
Pichu Pikachu Raichu	Male	Adam	Eden	48239801	28/08/1970	WOD, USA, California, Los Angeles	Eden Leader	Hetero	Switch	Top	86	32	26	Futura #f2ca0a			ENFJ																							
Pidove Tranquill Unfeazant	Male			43840600	05/11/1979																																			
Pikipek Trumbeak Toucannon	Female			60248689	25/10/1991																																			
Piplup Prinplup Empoleon	Male			93103200	27/07/1976																																			
Plusle	Female			53911830	14/08/1983																																			
Popplio Brionne Primarina	Female	Cefca	Pagliaccio	74778800	27/10/1997	WOD, Spain, Catalunya, Montmeló	Teacher in the Seashell Conservatoire	Bi	Switch	Switch	179	43	87	Waltograph #547fec	Susan Calloway/Mika Nakashima		ESFP	Dragons, Sex, Children	Only very small and trivial things.	Black beads, stars and fins, blue eyes and nose. All blue hues turn green during Regik.		90	74	74	126	116	60	69	Water/Fairy	Psychic	Jolly	Hair Beads: All Infatuated foes don't recover.	Hydro Pump (110/SA/Water) ~ Moonblast (95/SA/Fairy) 30% Chance -1 SA to foe ~ Sparkling Aria (90/SA/Water) Hits all foes, cures Burn ~ Scald (80/SA/Water) Burns foe, cures Frozen		Fluid Voice: All sound moves become Water Type	None	Regik: Refills and doubles HP stat, completely random effect every turn.	Her Regik makes her fighting style completely unpredictable...	...But can backfire pretty hard.	Non-Consensual Sex Slaves: Nirvana Moksha, Matilde Quemar, Flaros Overfield
Popplio Brionne Primarina	Male	Elton	Armada	85346059	09/02/2005	WOL, Fire Continent	Student in the Seashell Conservatoire	Bi	Sub	Bottom	183	49	47	Trask's Hand #e31cef	Chris Rickabaugh/Ayumu Murase		ISFP																							
Purrloin Liepard	Female			21603781	17/07/2003																																			
Ralts Kirlia Gallade	Male			91404468	24/01/1970																																			
Ralts Kirlia Gardevoir	Female			44068063	05/07/1988																																			
Rayquaza	Female	Ziz	Mikado	74498264	30/10/1975	WOL, Mystery Continent	Weather Guard	Unknown	Unknown	Unknown	841	238	Unknown	Bennington #3dae37	Dorothy Fahn/Yoshino Otori		ENTJ																							
Reshiram	Female	Shiro	Ryuumouto	30298868	22/09/1955	WOL, Mystery Continent	Mystery Continent Guard	Hetero	Sub	Bottom	286	299	114	Benguiat Sans #ccbebd	Allegra Clark/Mie Sonozaki		INTJ	Humans, Kuro, Puzzles	Organizations, Lies, Cowards	Claws, rings, and other metallic parts are red.		100	120	100	150	120	90	76	Dragon/Fire	Fire	Quiet	Focus Sash: Resists OHKO's with 1HP left.	Fusion Flare: (100/SA/Fire) 2x power if used with Fusion Bolt ~ Blue Flare (130/SA/Fire) 20% Chance of Burn, might miss ~ Draco Meteor (130/SA/Dragon) -2 SA ~ Roost (Flying) Heals 50% HP		Turboblaze: All Moves and their effects ignore foe's ability.	Yang: Doubles nearby Zekrom's speed	None	Completely walls Steel types, unstoppable with a trainer, or Kuro.	Kyurem, doesn't handle status conditions well.	Brother: Kuro Ryuuniki
Riolu Lucario	Male	Vega	Chronos	11944075	30/10/1984	WOD, Canada, Britcol, Vancouver	Chronos Leader	Hetero	Dom	Top	164	66	50	Rialto Ant'd #0c14d2	Kyle Hebert/Hiroki Takahashi		ENTP																							
Riolu Lucario	Male			60858472	25/04/1988																																			
Rockruff Lycanroc	Female			39870140	19/10/1981																																			
Rockruff Lycanroc	Male			83359197	24/09/1979																																			
Rowlet Dartrix Decidueye	Male			56327696	19/07/1978																																			
Rufflet Braviary	Male			52755645	01/12/1976																																			
Sableye	Male			74162161	01/07/2010																																			
Salandit Salazzle	Female			71035848	20/08/1987																																			
Sandile Krokorok Krookodile	Male			18637555	29/03/1997																																			
Sandshrew Sandslash	Female	Kenkyo	Kaze	38673020	20/03/1997	WOL, Sand Continent	Sand Continent Guard	Hetero	Switch	Bottom	105	46	25	Diavlo #259dc0	Julia McIlvaine/Hitomi Nabatame		ISFJ																							
Sandshrew Sandslash (Alola)	Male	Hokori	Kaze	13356248	04/03/1999	WOL, Sand Continent	Sand Continent Guard	Hetero	Switch	Top	134	60	23	Dekar #c0b025	John Snyder/Daisuke Ono		ISTJ																							
Scraggy Scrafty	Male			12125803	08/06/1976																																			
Sentret Furret	Female			79916007	28/02/1986																																			
Seviper	Male			50282773	07/02/1980																																			
Sewaddle Swadloon Leavanny	Female			32247060	24/06/1988																																			
Shinx Luxio Luxray	Female	Sirius	Chronos	16677907	26/11/1980	WOL, Grass Continent	Chronos Officer	Hetero	Sub	Bottom	120	35	42	Garamond #093585	Cassandra Lee Morris/Ayana Taketatsu		ENFP																							
Shinx Luxio Luxray	Male			49687393	30/01/1973																																			
Shroomish Breloom	Male			77646414	17/02/1981																																			
Skarmory	Male			90251952	10/10/2004																																			
Skitty Delcatty	Female	Mocha	Otonanou	50828121	08/03/2002	WOD, Japan, Kyushu, Nagasaki	Classified Package Delivery	Hetero	Sub	Bottom	99	27	40	Vibur #f80ea7	Ari Ozawa/Bonnie Gordon		INFP																							
Skitty Delcatty	Female	Eve	Eden	40918855	11/04/1977	WOL, Air Continent	Eden Vice-Leader	Hetero	Switch	Bottom	109	31	32	Cambria #d5c496	Erica Mendez/Mariko Nagai		INTJ																							
Sneasel Weavile	Female			84435224	26/09/2007																																			
Snivy Servine Serperior	Female	Nirvana	Moksha	11647112	17/12/1995	WOD, France, Sarthe, Le Mans	Student at Académie de Nantes	Hetero	Sub	Switch	363	77	128	Adamantium #10bd4d	Hellena Taylor/Aya Hisakawa		ISFJ	Scarves. Giratinas, Dubstep	Human weapons, Bullying, Being tied into a pretzel	Black backside, stripes glow green, magenta eyes, pale green belly.		75	75	95	113	95	75	37	Grass/Dragon	Fire	Careful	Griseous Pendant: A necklace with a Griesous Orb shard as trinket, heals status conditions in 1 turn ~ Soccermom Scarf: It's a scarf.	Tera Drain: (75/SA/Grass) 75% health drain ~ Leaf Storm: (130/SA/Grass) -2 SA ~ Substitute: (Normal) Takes 1/4 HP to place a Substitute ~ Hidden Power: (70/SA/???)		Devil's Advocate: Stat changes have an opposite effect.	None	Fallout: Any foe hit by Nirvana is poisoned, and cannot heal from poison.	Fallout and Devil's Advocate turns Nirvana into an untankable, radioactive menace.	Slow and frail, weak against other sweepers.	Roommates: Matilde Quemar, Cefca Pagliaccio, Flaros Overfield
Snivy Servine Serperior	Female	Tsutami	Tengoku	19246558	10/07/2005	WOL, Mist Continent	Tengoku Vice-Leader	Bi	Sub	Bottom	321	64	107	Libertinus Sans #67eb3a	Kayli Mills/Aki Toyosaki		ENFJ			Red eyes, more vibrant colors, shell behind her neck.		75	75	100	75	95	110	70	Grass	Poison	Quirky	Hope Scarf: Enhanced Reunion Cape that allows teleportation ~ Miracle Seed: Boosts Grass moves	Hurricane Blade: (25/AT/Grass) Hits 3 to 5 times ~ Safeguard: (Normal) Prevents conditions for 5 turns ~ Leaf Tornado (70/SA/Grass) 50% -1 AC to foe  ~ Leech Seed: (Grass) Drains 1/8 HP every turn	Taiyouken (400/SA/Steel) 1 turn charge, +1 Priority	Overgrow: Boosts Grass moves in a pinch			Training with the Hurricane Blade gives her an edge in the offensive.	Not very effective without Dairou.	Husband: Dairou Tengoku ~ Son: Tsutarou Tengoku
Snivy Servine Serperior	Male	Tsutarou	Tengoku	84561931	11/09/2020	WOL, Mist Continent	Evolution Researcher	Bi	Dom	Switch	372	79	88	Libertinus Math #058005	Edward Bosco/Tatsuhisa Suzuki		ESFJ																							
Solgaleo	Male	Lailona	Houkuu	70104609	02/12/2009	WOL, Mystery Continent	Ultra Wormhole Guard	Hetero	Dom	Top	365	210	82	Rockwell #e8940f	Richard Epcar/Hidenari Ugaki		ISTJ																							
Squirtle Wartortle Blastoise	Male			16590598	21/06/2000																																			
Starly Staravia Staraptor	Female			46517701	13/08/1980																																			
Taillow Swellow	Male			52274829	10/06/2002																																			
Tepig Pignite Emboar	Male	Susanoo	Tengoku	19152291	19/09/2003	WOL, Mist Continent	Tengoku Vice-Leader	Bi	Dom	Switch	153	155	81	Libertinus Mono #b8470f	Reuben Langdon/Yuji Kishi		INFJ																							
Terrakion	Male			81530416	21/07/1988																																			
Timburr	Male			63189135	30/07/1987																																			
Togepi Togetic Togekiss	Male			66537143	13/11/1985																																			
Torchic Combusken Blaziken	Female			81863175	20/10/1994																																			
Totodile Croconaw Feraligatr	Male			79066780	04/11/2001																																			
Trapinch Vibrava Flygon	Male	Doreikun	Furai	88855548	24/01/2005	WOL, Fire Continent	Unclassified Package Delivery	Homo	Sub	Bottom	162	60	18	Base Nine #79ee07	Paul Dobson/Hiroyuki Yoshino		ISFP																							
Treecko Grovyle Sceptile	Male			38904369	08/11/1999																																			
Tropius	Male			13527299	23/05/1996																																			
Tynamo Eelektrik Eelektross	Male			60798422	29/09/1974																																			
TypeNull Silvally	Female			13292077	22/10/2006																																			
TypeNull Silvally	Male	Midas	Theos	48337903	02/08/2007	WOL, Mystery Continent	Astronomer	Bi	Switch	Switch	251	100	102	Elephant #969696	Keith Silverstein/Toru Okawa		ISTJ																							
Turtwig Grotle Torterra	Male			29459080	03/05/1990																																			
Venipede Whirlipede Scolipede	Male			60174185	31/12/1970																																			
Victini	Male			52796440	12/05/1996																																			
Victini	Female			49491614	27/08/1981																																			
Virizion	Female			12253320	04/05/1973																																			
Vulpix Ninetales (Alola)	Female	Betelgeuse	Chronos	86184529	11/09/1990	WOL, Grass Continent	Chronos Officer	Hetero	Sub	Bottom	104	19	35	Challenge #69b7e0	Erica Lindbeck/Sakura Momoka		ESFP																							
Vulpix Ninetales	Male	Seikon	Tsukitsune	15323773	??/??/????	WOL, Mystery Continent	Shrine Guardian	Hetero	Dom	Top	143	22	42	Ingrid #e0c369	Mike Debonis/Go Shinomiya		ENTP			Red kitsune patterns on his face, tails, and hair.		91	81	81	81	120	107	93	Fire	Ice	Gentle	Carubyncle: Red gem slotted in her scythe, grants eternal youth. ~ Eevee Beads: Praying beads with each of the evolutionary stones attached: Fire, Water, Thunder, Leaf, Ice, Moon, Sun, Shiny, Dusk, and Dawn. Can evolve and devolve any Eevee or Eeveelution.	Overheat: (130/SA/Fire) -2 SA ~ Will O' Wisp (Fire) Causes Burn ~ Shadow Claw (70/AT/Ghost) +1 Crit chance ~ Hidden Power: (70/SA/???)	Miracle (Fairy) Fully revives a fainted ally.	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Taiyou: Team is immune to Curse, Grudge, and Perish Song.	None	Can take quite a beating, and get back up in an instant. Seems to defy calamity.	Not a great fighter, physically and mentally.	
Wimpod Golisopod	Male			62273362	30/04/2005																																			
