[Species]	[Gender]	[Name]	[Surname]	[ID Number]	[Birthday]	[Birthplace]	[Occupation]	[Orientation]	[Role]	[Position]	[Height/Length (Cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max (Cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[LV]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Buneary Lopunny	Female	Barbara	Limestone	P54934769	11/04/1977		Team Charm Leader								Jessica Straus/Eri Kitamura				Easter Egg Jokes		66	114	86	56	96	114	0	Normal 	Ground	Naughty	Shin Guards: Fighting type moves never miss ~ Lopunnite: Grants Megaevolution	Return (AT/Normal) Uses Love for damage calculation ~ High Jump Kick (130/AT/Fighting) 50% Recoil if it misses ~ Low Sweep (65/AT/Fighting) -1 SP to foe ~ Ear Clap (100/AT/Fighting) Causes Flinch, might miss	Rising Sawblade Kick (70/AT/Fighting) Hits 3 to 5 times, turns off Megaevolution	Cute Charm: 30% Infatuation chance on contact	Recoil Boost: Moves that recoil do 2X damage.	Megaevolution: Form Change Enlightenment	She kicks like a meteor.	Gets tired quickly, thrown off guard if she does little damage.	
Buzzwole	Unknown			P98432349	14/01/2000																107	140	140	53	53	80	0	Bug Fighting	Fire	Impish	Buginium Z: Turns a Bug move into Savage Spinout ~ Macho Brace: Maxes out Ev's and Iv's in exchange of Speed	Hammer Arm (100/AT/Fighting) -1 SP ~ Toxic (Poison) Badly poisons foe ~ Taunt (Dark) Foe can't use status moves for 3 turns ~ Lunge (80/AT/Bug) -1 AT to foe	None	Beast Boost: +1 highest stat for each foe defeated	Steamroll: Ignores types and abilities lowering a move's damage.	None	Blocks your path and punches you into the next one.	Special users can smack it away easily.	
Celebi	Female			P22189436	06/07/1991																100	100	100	100	100	100	0	Psychic Grass	Normal	Bashful	Power Seed (43): Allows changing a move's type to user's Hidden Power	Psychic (90/SA/Psychic) 10% chance -1 SD to foe ~ Giga Drain (75/SA/Grass) Heals 50% damage ~ Recover (Normal) Heals 50% HP ~ Leaf Storm (130/SA/Grass) -2 SA	Timeline Shift (Psychic) Randomizes everyone's status	Natural Cure: Heals all status conditions on switch	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	None	Can stall for a long time... a long, LONG time.	Ew, bugs! Eeek!	
Charmander Charmeleon Charizard	Female			P98361684	29/07/1981																75	80	75	110	85	100	0	Fire Flying	Poison	Impish	Charizardite X: Triggers Megaevolution ~ Charizardite Y: Triggers Megaevolution	Flare Blitz (120/AT/Fire) 33% recoil, 10% burn chance ~ Roost (Flying) Heals 50% HP, removes Flying type ~ Dragon Claw (80/AT/Dragon) ~ Fire Blast (110/SA/Fire) 10% Burn chance, might miss	None	Blaze: Boosts Fire moves in a pinch	Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	Megaevolution: Form Change Enlightenment	Two megaevolutions, and powerful moves to exploit both.	Awful at pretty much everything else.	
Chatot	Male	Chichi	Sora	P71964340	22/08/1996		Pukurin Vice-Guildmaster														75	65	45	99	45	99	0	Normal Flying	Grass	Hasty	Scope Lens: +1 Crit Chance	Confide (Normal) -1 SA to foe, never misses ~ Chatter (65/Flying/SA) Causes confusion ~ Mirror Move (Flying) Uses foe's last used move ~ Sky Attack (140/AT/Flying) 1 turn charge, 30% Flinch chance, +1 Crit chance	None	Keen Eye: AC can't be lowered, ignores foe's EV	Wary Walk: The whole Team is immune to traps.	None	High IQ, expert in dungeon survival.	Not great during battle.	
Chespin Quilladin Chesnaught	Male			P44331636	21/08/1999																88	107	122	75	75	60	0	Grass Fighting	Ground	Naughty	Ammo Belt: Holds Throwing Items ~ Curve Band: Can redirect thrown items in mid air	Spikes (Ground) Damage on switch-in, calculated from Spikes amount ~ Wood Hammer (120/AT/Grass) 33% Recoil ~ Roar (Normal) Launches foe away ~ Synthesis (Grass) Heals by weather dependent amount	None	Bulletproof: Immune to ballistic moves	Notorious Healing: The rate at which HP restores naturally is sped up. 	None	Bulky Spikes user with access to healing.	Leaves too much time for foes to set up a sweep.	
Chikorita Bayleef Meganium	Female			P21751527	01/07/1986																80	80	100	80	100	80	0	Grass	Ice	Calm	Evergreen Leaf: +30% Power of healing moves	Aromatherapy (Grass) Heals all status conditions ~ Synthesis (Grass) Heals by weather dependent amount ~ Giga Drain (75/SA/Grass) Heals 50% damage ~ Bullet Seed (25/AT/Grass) Hits 2-5 times.	None	Leaf Guard: Immune to status conditions during sunny day	Food Finder: Tiny Apples spawn much more often.	None	Great cleric...?	Gets scared easily.	
Chimchar Monferno Infernape	Male			P76148546	09/12/1996										Colleen Clinkenbeard/Chie Sato						75	105	70	100	70	105	0	Fire Fighting	Rock	Naughty	Double Edge Knuckles: Fighting moves do 2X damage, but have 33% recoil	Flare Blitz (120/AT/Fire) 33% recoil, 10% burn chance ~ Close Combat (120/AT/Fighting) -1 DF and SD ~ Stone Edge (100/AT/Rock) +1 Crit chance, might miss ~ Vacuum Wave (40/SA/Fighting) +1 Priority	None	Gold Fist: +1 AC while using Fighting type moves	Link Boost: The power of linked moves is boosted.	None	Pummels hard, quick, and without any buildup.	Quite reckless, ignores his own safety.	
Cobalion	Male			P11317376	17/01/2008																90	90	130	90	70	110	0	Steel Fighting	Ghost	Quiet	Savior Cape: +1 DF and SD for each teammate wearing a Savior Cape	Sacred Sword (90/AT/Fighting) Ignores stat changes ~ Iron Head (80/AT/Steel) 30% Flinch chance ~ Rock Polish (Rock) +2 SP ~ Superpower (120/AT/Fighting) -1 AT and DF	None	Justified: +1 AT if hit by Dark move	Small Stomach: Anyone in the team can fill up their belly with any food.	None	Versatile, can adapt to many situations.	Master of none.	
Cranidos Rampardos	Male			P69719590	20/09/1973																90	180	60	65	50	55	0	Rock	Ice	Lonely	Treasure Helmet: Can smash open Treasure Boxes	Head Smash (150/AT/Rock) 50% Recoil ~ Superpower (120/AT/Fighting) -1 AT and DF ~ Dig (80/AT/Ground) 1 turn charge ~ Giga Impact (150/AT/Normal) 1 turn recharge	None	Sheer Force: +30% Damage, removes all move effects	Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None	Horrifying ability turns him into an outstanding sweeper.	Can't use status moves, goes down in one hit.	
Cresselia	Female			P74332662	17/07/1973																130	70	130	75	130	80	0	Psychic	Ice	Hardy	Lunar Wing: If held by Cresselia, Lunar Dance leaves 1 HP instead of fainting	Lunar Dance (Psychic) User faints, fully revives teammate ~ Moonlight (Fairy) Heals by weather dependent amount ~ Psyshock (80/SA/Psychic) Uses foe's DF instead of SD ~ Ice Beam (90/SA/Ice) 10% Freeze chance	None	Levitate: Immune to Ground Type	Funnel Fun: Corridors restore HP faster.	None	Absurd bulk, and fainting her last when she's in a team will be a big mistake.	Status conditions... all of them.	
Cubone Marowak (Alola)	Male	Cole	Sand	H86300610	09/07/2008	WOD, USA, Colorado, Denver	Vigilante	Hetero	Dom	Top	103	32	22	Fira Sans #49678d	Zachary Gordon/Kurumi Mamiya	Good perseverance	ENFJ	Unknown	Unknown	Bright green skin and flames, black belly.	60	80	110	60	70	60	66	Fire Ghost	Psychic	Adamant	Thick Club: 2X AT when held by Marowak ~ Amber Tear (12): Guarantees one recruit ~ Lagging Tail: Holder moves last 	Shadow Bone (85/AT/Ghost) 20% Chance -1 DF to foe ~ Knock Off (65/AT/Dark) +50% if foe holds item, knocks off item ~ Fling (???/AT/Dark) Damage and effect depends on held item ~ Swords Dance (Normal) +2 AT	None	Cursed Body: 30% Chance of disabling foe's move when hit.	Brawl: Teammates get a bit stronger when there are many foes.	None	Can hold off on his own very well, immense spirit, fights for justice.	...doesn't know what that is.	
Cubone Marowak	Female	Awan	Ganden	P52431933	25/10/1986	WOL, Air Continent	Ganden Enforcer	Hetero	Dom	Bottom	99	44	23	Dutch #cebc7c	Chisa Suganuma/Ayumi Fujimura	Highly persistant	INTJ	Parents, Elderly, Her Skull	Children, Morse Code, Curses	Black instead of brown.	60	88	110	50	80	44	150	Ground	Normal	Lax	Glory Band: Enhanced Twist Band that prevents all stats from lowering. ~ Cubonium Z: Turns Bonemerang into Mother's Help ~ Rescue Toolbox: Allows Teams to hold more than 3 items	Bonemerang (50/AT/Ground) Hits 2 times, bypasses Flying type ~ Bone Club (65/AT/Ground) 10% Flinch Chance ~ Bone Rush (25/AT/Ground) Hits 2-5 times ~ Stone Edge (100/AT/Rock) +1 Crit Chance	None	Rock Head: Immune to recoil	Small Stomach: Anyone in the team can fill up their belly with any food.	None	With Trick Room, can bludgeon foes pretty hard	Requires a lengthy setup to bring out her potential	Friends: Adam Ganden, Eve Ganden
Cutiefly Ribombee	Female			H86300610	13/03/1979																60	55	60	95	70	125	0	Bug Fairy	Electric	Bold	Tiny Scarf: +1 EV	Sticky Web (Bug) -1 SP to foes on switch-in ~ Moonblast (95/SA/Fairy) 30% -1 SA chance ~ Stun Spore (Grass) Causes paralysis ~ Quiver Dance (Bug) +1 SA, SD, SP	None	Honey Gather: Generates Honey every floor	Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None	She's, um, quick.	Prefers helping foes rather than fighting them.	
Cyndaquil Quilava Typhlosion	Female	Matilde	Quemar	H60259177	28/11/1990	WOD, Germany, Rhineland, Nürburg	Haruna Fujisancho Bodyguard	Hetero	Switch	Bottom	184	96	88	Queasy #b71221	Jessica Madsen/Chie Nakamura	Quick tempered	ISTP	NGGGAAAAAAAHHH!!!	AAAAAGGGHHH!!!!	Gray and red instead of yellow and navy, pale white eyes	78	184	78	109	85	100	170	Fire Dark	Fighting	Hardy	Iron Ball: Halves speed, heavy damage when thrown.	Eruption (150/SA/Fire) Lower HP decreases power ~ Brightest Lariat (50/AT/Dark) Hits 2 times, ignores stat changes ~ Heat Crash (100/AT/Fire) Damage increased if foe is lighter ~ Fling (?/AT/Dark) Damage and effect depends on held item	TKO (444/AT/Dark) 1 turn charge	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Brawl: Teammates get a bit stronger when there are many foes.	None	Powerful Dark type moves with STAB, and a horrifyingly strong finisher.	Not effective in teams, low bulk.	Crush: Dairou Tengoku ~ Friends: Nirvana Moksha, Cefca Pagliaccio, Flaros Overfield
Cyndaquil Quilava Typhlosion	Male	Varm	Gravling	P35467529	17/04/2000	WOD, Sweden, Göte, Gothenburg	Journalist	Bi	Switch	Switch	191	92	73	Lexia #0e294b	Bryan Dechart/Eiji Hanawa	Alert to sounds	INFP	Interviews, Opinions, Explorers	Fake News, Politics, "Some Guilds"	Blue fur and flames, black eyes.	78	84	78	111	85	123	133	Fire	Water	Modest	Flame Orb: Burns holder	Switcheroo (Dark) Switches items with foe's ~ Eruption (150/SA/Fire) Lower HP decreases power ~ Fire Blast (110/SA/Fire) 10% Burn Chance ~ Inferno (100/SA/Fire) 100% Burn Chance, might miss	None	Blaze: Boosts Fire moves in a pinch	Blast Control: Damage the team takes from explosions is reduced. 	None	Feel the bern.	Outright refuses to even harm water types for some reason.	None
Darkrai	Female			P26967253	21/01/1984																90	90	90	140	90	140	0	Dark	Psychic	Timid	Black Cloak: If held by Darkrai, Dark Void never misses	Dark Void (Dark) Causes Sleep to all foes, might miss ~ Nasty Plot (Dark) +2 SA ~ Dark Pulse (80/SA/Dark) 20% Flinch chance ~ Dream Eater (100/SA/Psychic) Heals 50% damage, hits all foes, unless they're awake	None	Bad Dreams: Absorb 10% Max HP from all sleeping foes per turn	Common Quality: Each teammate gets a second tiny Rare Quality that's randomized in each floor.	None	Whatever you do, do not close your eyes.	Foes immune to sleep throw him off.	
Darumaka Darmanitan	Male			H38424255	02/05/1966																105	140	55	30	55	95	0	Fire	Fairy	Bashful	Absorb Bulb (13): +1 SA if hit by Water Type moves ~ Luminous Moss (11): +1 SD if hit by Water Type Moves	Belly Drum (Normal) -50% Max HP, +6 AT ~ Fire Punch (75/AT/Fire) 10% Burn chance ~ Rest (Psychic) Sleep, heals 100% HP and all status conditions ~ Sleep Talk (Normal) Uses random move while asleep	None	Zen Mode: If below 50% HP, triggers Zen	Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	Zen: Form Change Enlightenment	Pulls foes into a false sense of security, before blasting them away.	Requires extensive setup to pull this off.	
Deerling Sawsbuck	Female			P41328163	28/09/2000																80	100	70	60	70	95	0	Normal Grass	Ice	Adamant	White Flute: Increases wild encounters	Agility (Psychic) +2 SP ~ Horn Leech (75/AT/Grass) Heals 50% Damage ~ Grass Whistle (Grass) 55% Sleep chance to foe ~ Double Edge (120/AT/Normal) 33% Recoil ~ Grass Knot (Grass) Uses foe's weight for damage calculation	None	Serene Grace: Moves have 2X secondary effect	Heartstrings: If a teammate's connection faints, they get an extra Finisher.	Season Leaves: Form Change Enlightenment	Scary ability, will buff itself greatly before striking hard.	Priority Revenge sweepers cripple her hard.	
Deino Zweilous Hydreigon	Male			P91112010	27/06/1996																91	105	90	125	90	100	0	Dark Dragon	Bug	Naughty	Dragon Fang: Boosts Dragon moves ~ Dragonium Z: Turns a Dragon move into Devastating Drake	Draco Meteor (130/SA/Dragon) -2 SA ~ Dragon Rush (100/AT/Dragon) 20% Flinch chance, might miss ~ Brutal Swing (60/AT/Dark) Hits all foes ~ Earth Power (90/SA/Ground) 10% chance -1 SD to foe	Life Whisper (Normal) Humans and Humans turned Pokemon cannot faint for 5 turns.	Levitate: Immune to Ground Type	Evasive Rhythm: The team can dodge multi hit attacks much easier.	None	Surprisingly great with human teammates, especially in Tengoku.	Bulky walls with bad type matchups.	
Deoxys	Unknown			P33281711	28/01/2001																50	150	50	150	50	150	0	Psychic	Ghost	Hardy	Deoxium Z: Turns Psycho Boost into Ethereal Helix Storm	Psycho Boost (140/SA/Psychic) -2 SA ~ Cosmic Power (Psychic) +1 DF and SD ~ Psycho Shift (Psychic) Transfer all status conditions to foe ~ Shadow Ball (80/SA/Ghost) 20% Chance -1 SD to foe	None	Pressure: Foes use 2X PP	Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	Meteor Forms: Form Change Enlightenment	Form changes allow it to strike and retreat in seconds.	Reading his strategy is hard, but worth it	
Dialga	Female	Kongouseki	Izanami	P13670491	??/??/????	WOL, Mystery Continent	Dimension Guard Leader	Hetero	Dom	Bottom	533	678	142	Encode Sans #51c7d9	Janice Kawaye/Shiho Kawaragi	Often lost in thought	ENTJ	Loyalty, Time Gears, Glaceons	Red Chains, Primal Reversion, Clocks	Pink instead of cyan.	100	120	120	150	100	88	193	Steel Dragon	Bug	Adamant	Adamant Orb: Boosts Dragon and Steel type moves if held by a Dialga, grants Primal Reversion	Roar Of Time (150/SA/Dragon) 1 Turn Recharge ~ Metal Burst (Parry/Steel) Returns 50% extra damage ~ Giga Impact (150/AT/Normal) 1 Turn Recharge ~ Dragon Breath (60/SA/Dragon) 30% Paralysis Chance	Gravity Curvature (190/SA/Dragon) -3 SP to all foes	Pressure: Foes use 2X PP	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Primal Reversion: Form Change Enlightenment	Disorients and cripples foes that rely on speed.	Ground types can shrug off her most powerful blows.	Brother: Shinju Izanagi ~ Friend: Samael Amphithere
Ditto	Non Binary			P30697571	24/12/1980																50	50	50	50	50	50	50	Normal	Bug	Docile	Metal Powder: +1 DF and SD if held by Ditto	None	None	Imposter: Transforms into strongest foe	No U: Reflects teammates's Rare Qualities back at them.	None	Anything you try against it, it knows.	Surprisingly thrown off hard by Substitute.	
Dratini Dragonair Dragonite	Female			P23897958	14/07/1990																61	85	65	70	70	70	0	Ice	Normal	Sassy	Carubyncle: Red gem slotted in her tail, grants eternal youth. ~ Eviolite: +1 DF and SD if holder can evolve ~ Adrenaline Orb (32): If one stat decreases, another increases.	Icy Wind (55/SA/Ice) -1 SP to foe, hits all foes ~ Horn Drill (Normal) 30% OHKO chance, fails if lower level ~ Sky Attack (140/AT/Flying) 1 turn charge, 30% Flinch chance, +1 Crit chance ~ Hail (Ice) Causes hail	None	Marvel Scale: +1 DF if hit by status condition	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	None	Can't evolve, but she found a way to turn it into a strength with her Delta Typing	Really bad at handling traps.	
Dratini Dragonair Dragonite	Male			H78817525	08/05/1992																91	133	95	100	100	80	0	Dragon Flying	Dragon	Impish	Ride Pager: Allows calling for Ride teams or Couriers	Outrage (120/AT/Dragon) Lasts 2-3 turns, Confuses user ~ Extreme Speed (80/AT/Normal) +2 Priority ~ Fly (90/AT/Flying/Parry) 1 turn charge ~ Dragon Dance (Dragon) +1 AT and SP	None	Multiscale: -50% damage at full HP	Small Stomach: Anyone in the team can fill up their belly with any food.	None	Incredible scout, can also pack a punch when needed.	Can be oblivious to his surroundings.	
Drillbur Excadrill	Male			P18597762	31/03/1970																110	135	60	50	65	88	0	Ground Steel	Grass	Impish	Soft Sand: Boosts Ground moves	Earthquake (100/AT/Ground) hits all foes, 2X damage on digging foes ~ Rapid Spin (Normal) Removes all ground hazards ~ Drill Run (80/AT/Ground) +1 Crit chance ~ Rototiller (Ground) +1 AT and SA to all Grass type teammates	None	Sand Force: +50% Ground type damage during sandstorms	Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None	His Ground type moves do extensive damage under the right conditions.	Foes using the right items can cripple him.	
Drowzee Hypno	Male			H92574152	20/03/1995																85	73	73	73	115	66	0	Psychic	Dark	Impish	Hollow Coin: Psychic moves never miss	Hypnosis (Psychic) 60% Sleep chance ~ Disable (Normal) Disables a foe's move ~ Foul Play (95/AT/Dark) Uses foe's AT for damage calculation ~ Zen Headbutt (80/AT/Psychic) 20% Flinch Chance	None	Insomnia: Immune to Sleep	Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None	Do not close your eyes if you don't want to have an awful time.	Slow and slightly frail.	
Druddigon	Male	Odin		H61458922	25/05/2008	WOL, Mist Continent															77	120	90	60	90	50	0	Dragon	Poison	Careful	Expert Belt: Powers up super effective moves.	Toxic (Poison) Badly Poisons foe ~ Taunt (Dark) Foe can't use status moves for 3 turns ~ Dragon Tail (60/AT/Dragon) Launches foe away ~ Glare (Normal) Causes Paralysis	None	Mold Breaker: Moves ignore abilities	Heartstrings: If a teammate's connection faints, they get an extra Finisher.	None	Sentinel that sabotages foes with status moves and tanks their moves well.	Refrains from attacking despite favorable stats.	
Ducklett Swanna	Female			P63796728	02/06/1977																75	88	64	88	64	100	0	Water Flying	Fire	Timid	Fresh Bag: Holds Food ~ Portable Stand: Crafts Food anywhere	Scald (80/SA/Water) 30% Burn chance ~ Defog (Flying) Removes weather and field hazards ~ Roost (Flying) Heals 50% HP, removes flying type ~ Hurricane (110/SA/Flying) 30% Confusion Chance, never misses in rain	None	Hydration: Immune to status conditions during rain	Food Finder: Tiny Apples spawn much more often.	Bon Appetit!: Fills the room with food items if a teammate is starving	Outstanding chef, keeps the entire team well fed, buffed, and healed.	Old and frail, tries to avoid getting hurt.	
